SA1_7DIGITCODE_2016,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24,P_Grad_Dip_Cer_25_34,P_Grad_Dip_Cer_35_44,P_Grad_Dip_Cer_45_54,P_Grad_Dip_Cer_55_64,P_Grad_Dip_Cer_65_74,P_Grad_Dip_Cer_75_84,P_Grad_Dip_Cer_85_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
5106717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,5,0,0,3,0,0,17,0,3,10,3,0,0,0,0,16,6,4,3,10,3,3,3,0,38,0,4,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,5,6,8,10,14,3,5,3,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,11,14,23,20,3,10,7,0,88
5106718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5106719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5106720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,9,0,5,7,0,0,0,0,0,14,3,7,7,0,7,0,3,0,26,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,4,7,8,3,7,5,3,0,41,0,0,0,0,0,0,0,0,0,3,0,0,3,0,7,0,0,18,12,19,14,6,4,8,3,0,81
5106801,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,3,9,9,3,0,0,0,29,0,0,6,7,4,0,0,0,21,4,4,7,4,6,6,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,4,4,7,6,10,9,0,0,35,0,0,0,3,0,0,0,0,4,3,0,0,6,0,3,3,0,17,6,7,24,27,22,13,3,0,109
5106802,0,0,0,0,0,0,7,0,0,3,0,3,0,0,0,9,0,0,10,8,7,3,0,0,37,0,3,3,9,3,0,0,0,20,3,4,3,11,8,6,3,0,45,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,4,3,12,13,5,3,0,44,0,0,0,0,0,0,0,0,0,5,0,3,4,0,4,3,0,14,16,9,17,36,28,12,3,0,128
5106803,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,6,5,5,4,0,0,21,0,4,5,3,6,0,0,0,25,4,7,3,6,13,10,0,0,45,3,0,0,0,0,0,0,0,3,0,0,0,0,4,3,0,0,8,7,10,6,11,13,10,0,0,57,0,0,0,0,0,0,0,0,3,3,0,4,0,3,0,3,0,17,16,19,23,24,33,15,4,0,138
5106804,7,5,6,0,0,0,22,0,0,0,3,0,0,0,0,6,3,7,8,18,10,6,0,0,51,0,0,10,22,16,10,0,0,57,5,14,13,18,15,9,7,0,73,0,0,0,0,3,0,0,0,3,0,0,0,3,3,0,0,0,12,8,14,17,25,16,7,7,0,88,0,0,0,0,4,0,0,0,6,0,3,3,3,9,6,0,0,24,12,22,45,70,59,36,11,3,255
5106807,0,3,0,0,0,0,5,0,0,3,3,3,0,0,0,8,4,6,3,12,9,6,0,0,47,4,4,3,10,13,6,0,0,38,13,9,16,26,12,9,3,0,96,0,0,3,0,0,0,0,0,4,0,0,0,3,0,3,0,0,10,13,12,17,28,18,16,4,0,111,0,0,0,3,0,0,0,0,4,8,0,0,4,6,7,6,4,35,30,25,32,60,50,28,11,3,243
5106808,0,0,3,0,0,0,10,0,0,0,3,3,0,0,0,7,0,7,4,7,9,10,3,0,36,0,0,3,8,6,4,0,0,21,3,6,3,10,11,7,0,0,33,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,4,6,0,10,10,7,0,0,37,0,0,0,3,0,0,0,0,3,3,0,0,10,3,3,0,0,17,8,15,12,41,35,23,3,0,130
