SA1_7DIGITCODE_2016,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
5126814,12,16,36,15,19,3,34,17,0,146
5126815,0,0,0,0,0,0,0,0,0,0
5126816,30,27,51,26,17,16,39,19,5,220
5126817,0,0,0,0,0,0,0,0,0,0
5126901,11,0,22,3,10,0,15,11,3,89
5126902,21,56,91,22,29,21,30,31,7,308
5126903,26,39,26,11,29,14,24,9,9,183
5126904,83,76,91,15,59,29,22,20,7,401
5126905,0,0,0,0,0,0,0,0,0,0
5126906,5,0,10,0,3,3,6,0,0,34
5126907,37,47,78,23,46,20,30,16,4,309
5126908,43,92,63,36,30,17,32,30,12,356
5126909,6,35,28,6,17,0,18,8,3,130
5126910,0,0,0,0,0,0,0,0,0,0
5126911,39,40,57,17,26,12,19,20,7,239
5126912,23,14,28,16,17,9,8,9,0,119
5126913,7,9,5,0,0,0,0,0,0,21
5126914,31,32,39,16,24,3,19,24,3,194
5126915,83,123,328,17,32,4,267,119,22,996
5126916,0,0,0,0,0,0,0,0,0,0
5127001,9,3,30,8,19,13,12,7,3,98
5127002,12,9,24,8,9,9,14,18,0,99
5127003,16,30,58,16,28,15,33,18,4,217
5127004,15,21,73,18,32,18,43,32,4,254
5127005,6,10,31,14,13,11,36,38,3,156
5127006,44,38,53,28,32,40,48,29,9,316
5127007,21,25,55,20,16,24,36,23,4,217
5127008,13,31,59,16,20,10,37,24,8,224
5127009,11,28,64,28,19,17,29,22,10,222
5127010,5,15,49,16,16,12,26,27,7,175
5127011,0,8,24,7,11,10,14,4,5,84
5127012,3,29,39,11,13,8,8,12,4,135
5127013,17,30,43,30,22,15,27,46,3,226
5127014,17,18,79,10,13,6,16,17,3,185
5127015,4,13,19,14,7,6,7,6,0,82
5127016,9,15,27,13,6,5,21,15,7,108
5127017,12,20,67,21,29,19,28,26,0,231
5127018,10,19,22,16,7,10,15,13,9,131
5127019,13,21,39,21,16,11,37,24,3,176
5127020,23,53,93,40,51,31,59,49,13,401
5127021,9,15,34,10,25,12,17,15,4,142
5127022,13,27,34,16,29,9,15,20,0,174
5127023,12,23,62,26,36,10,36,27,3,231
5127024,0,0,0,0,0,0,0,0,0,0
5127025,44,55,179,25,10,3,70,43,8,434
5127026,0,0,0,0,0,0,0,0,0,0
5127101,36,28,66,16,23,9,38,9,5,238
5127102,0,0,0,0,0,0,0,0,0,4
5127103,214,403,2065,69,189,6,487,1075,86,4602
5127104,103,201,671,28,72,3,791,193,29,2096
5127105,265,529,2209,70,185,7,654,1138,65,5126
5127106,16,11,51,9,5,0,36,82,7,218
5127107,9,13,37,7,4,3,50,8,3,129
5127108,15,17,58,16,25,11,58,19,3,222
5127109,5,8,19,12,17,5,21,3,0,86
5127110,14,30,54,7,12,6,45,16,3,196
5127111,14,20,45,16,19,5,52,11,3,191
5127112,33,34,68,20,22,4,97,16,6,301
5127113,11,13,34,11,12,9,29,13,3,133
5127114,9,9,36,3,14,8,18,7,0,101
5127115,33,63,95,14,15,10,138,31,6,404
5127116,24,28,63,13,19,7,44,28,10,228
5127117,17,27,49,17,13,5,47,8,9,195
5127118,36,31,74,27,28,9,47,38,8,307
5127119,11,15,49,3,11,7,39,13,4,153
5127120,18,18,34,6,10,9,24,10,0,133
5127121,66,130,266,33,36,8,408,76,15,1024
5127122,50,51,145,25,35,9,205,35,15,572
5127201,8,32,32,22,17,13,14,14,10,156
5127202,23,30,40,16,17,7,11,3,8,151
5127203,16,22,23,10,5,6,10,5,7,106
5127204,35,34,114,17,38,13,14,21,7,302
5127205,16,21,55,8,24,4,23,17,3,172
5127206,22,30,119,19,20,11,41,56,14,327
5127207,11,22,40,15,23,10,16,15,3,148
5127208,10,14,21,7,5,6,7,11,0,82
5127209,9,20,31,6,5,9,24,17,3,114
5127210,0,0,0,0,0,0,0,0,0,3
5127211,6,24,32,9,18,4,17,12,4,126
5127212,7,14,24,10,16,7,12,20,5,120
5127213,26,39,55,8,38,14,20,26,0,224
5127214,15,12,10,9,4,7,7,13,0,83
5127215,26,29,45,18,18,14,25,19,8,197
5127216,20,56,99,10,12,0,39,48,8,296
5127217,21,23,38,17,14,7,17,12,0,150
5127218,0,5,32,0,12,11,16,10,0,94
5127219,35,46,70,38,42,24,36,20,7,318
5127220,13,19,39,21,19,8,18,34,0,176
5127221,13,14,22,19,18,14,20,21,3,137
5127222,0,6,19,3,11,5,10,3,5,70
5127223,22,16,44,17,33,12,39,21,3,208
5127224,30,32,50,26,33,16,20,28,9,234
5127225,7,30,47,5,25,0,11,6,5,150
5127226,18,12,53,17,29,17,35,24,9,217
5127227,23,11,50,25,15,30,20,33,6,204
5127228,18,20,27,11,16,10,20,16,5,147
5127229,167,202,224,96,139,49,97,90,25,1092
5127230,19,27,31,12,23,8,17,13,6,157
5127231,16,17,61,16,27,15,24,20,5,198
5127232,18,16,43,21,15,19,20,35,7,191
5127233,19,57,38,19,45,22,18,35,3,252
5127234,8,14,34,6,20,6,9,0,3,105
5127235,7,11,21,8,15,7,14,7,0,86
5127236,8,28,27,7,14,7,11,19,6,122
5127237,12,24,22,9,15,6,9,8,0,96
5127238,10,17,27,5,10,7,9,11,3,104
5127239,0,0,0,0,0,0,0,0,0,0
5127240,16,10,40,18,21,14,16,8,5,153
5127241,30,51,39,26,36,13,37,12,4,252
5127242,9,9,30,13,12,13,23,13,0,122
5127243,0,3,0,0,0,0,0,0,0,5
5127244,35,80,180,23,38,24,61,67,3,517
5127245,19,31,46,26,38,7,17,14,0,197
5127246,19,19,29,13,17,17,16,19,6,151
5127247,61,127,68,27,36,27,25,16,7,393
5127301,8,33,77,10,25,5,53,22,3,242
5127302,14,22,73,18,20,7,46,30,4,216
