SA1_7DIGITCODE_2016,P_15_19_Mgrs,P_15_19_Profnls,P_15_19_Techs_trades_workers,P_15_19_Comm_psnl_serv_wrkrs,P_15_19_Cler_admin_wrkrs,P_15_19_Sales_wrkrs,P_15_19_Mach_oper_dvrs,P_15_19_Labrs,P_15_19_Inad_desc_Ns,P_15_19_Tot,P_20_24_Mgrs,P_20_24_Profnls,P_20_24_Techs_trades_wrkrs,P_20_24_Comm_psnl_serv_wrkrs,P_20_24_Cler_admin_wrkrs,P_20_24_Sales_wrkrs,P_20_24_Mach_oper_dvrs,P_20_24_Labrs,P_20_24_Inad_desc_Ns,P_20_24_Tot,P_25_34_Mgrs,P_25_34_Profnls,P_25_34_Techs_trades_wrkrs,P_25_34_Comm_psnl_serv_wrkrs,P_25_34_Cler_admin_wrkrs,P_25_34_Sales_wrkrs,P_25_34_Mach_oper_dvrs,P_25_34_Labrs,P_25_34_Inad_desc_Ns,P_25_34_Tot,P_35_44_Mgrs,P_35_44_Profnls,P_35_44_Techs_trades_wrkrs,P_35_44_Comm_psnl_serv_wrkrs,P_35_44_Cler_admin_wrkrs,P_35_44_Sales_wrkrs,P_35_44_Mach_oper_dvrs,P_35_44_Labrs,P_35_44_Inad_desc_Ns,P_35_44_Tot,P_45_54_Mgrs,P_45_54_Profnls,P_45_54_Techs_trades_wrkrs,P_45_54_Comm_psnl_serv_wrkrs,P_45_54_Cler_admin_wrkrs,P_45_54_Sales_wrkrs,P_45_54_Mach_oper_dvrs,P_45_54_Labrs,P_45_54_Inad_desc_Ns,P_45_54_Tot,P_55_64_Mgrs,P_55_64_Profnls,P_55_64_Techs_trades_wrkrs,P_55_64_Comm_psnl_serv_wrkrs,P_55_64_Cler_admin_wrkrs,P_55_64_Sales_wrkrs,P_55_64_Mach_oper_dvrs,P_55_64_Labrs,P_55_64_Inad_desc_Ns,P_55_64_Tot,P_65_74_Mgrs,P_65_74_Profnls,P_65_74_Techs_trades_wrkrs,P_65_74_Comm_psnl_serv_wrkrs,P_65_74_Cler_admin_wrkrs,P_65_74_Sales_wrkrs,P_65_74_Mach_oper_dvrs,P_65_74_Labrs,P_65_74_Inad_desc_Ns,P_65_74_Tot,P_75_84_Mgrs,P_75_84_Profnls,P_75_84_Techs_trades_wrkrs,P_75_84_Comm_psnl_serv_wrkrs,P_75_84_Cler_admin_wrkrs,P_75_84_Sales_wrkrs,P_75_84_Mach_oper_dvrs,P_75_84_Labrs,P_75_84_Inad_desc_Ns,P_75_84_Tot,P_85_over_Mgrs,P_85_over_Profnls,P_85_over_Techs_trades_wrkrs,P_85_over_Com_psnl_serv_wrkrs,P_85_over_Cler_admin_wrkrs,P_85_over_Sales_wrkrs,P_85_over_Mach_oper_dvrs,P_85_over_Labrs,P_85_over_Inad_desc_Ns,P_85_over_Tot,P_Tot_Mgrs,P_Tot_Profnls,P_Tot_Techs_trades_wrkrs,P_Tot_Comm_psnl_serv_wrkrs,P_Tot_Cler_admin_wrkrs,P_Tot_Sales_wrkrs,P_Tot_Mach_oper_dvrs,P_Tot_Labrs,P_Tot_Inad_desc_Ns,P_Tot_Tot
5127230,0,0,0,0,0,4,0,3,0,13,0,3,7,0,0,0,0,0,3,16,4,14,14,5,9,3,8,6,0,51,8,7,5,4,3,0,3,0,0,33,5,3,3,0,3,0,3,8,0,21,0,3,3,0,3,0,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,27,31,12,23,8,17,13,6,157
5127231,0,0,0,0,0,3,0,0,0,8,0,0,6,3,0,0,3,0,0,17,3,8,14,3,10,3,7,5,0,43,3,6,14,4,9,0,5,3,0,51,0,7,7,3,4,3,3,8,3,38,3,0,10,5,6,3,6,5,0,40,3,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,17,61,16,27,15,24,20,5,198
5127232,0,0,0,0,0,0,0,4,0,4,0,6,7,3,0,4,0,3,0,21,0,3,7,6,6,3,5,11,0,43,3,3,6,4,0,8,3,4,0,32,9,3,8,3,3,4,6,8,0,35,3,0,4,0,8,4,8,10,3,37,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,18,16,43,21,15,19,20,35,7,191
5127233,0,0,0,5,0,0,0,0,0,11,0,0,10,0,4,6,4,5,0,31,6,29,18,6,18,8,0,9,0,92,10,5,3,4,3,7,3,9,0,48,3,12,5,3,10,7,3,4,0,36,7,8,6,3,0,3,4,4,0,39,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,57,38,19,45,22,18,35,3,252
5127234,0,0,0,3,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,4,3,6,7,0,9,0,0,0,0,26,0,4,9,3,8,0,4,0,0,32,3,4,4,0,3,0,0,0,0,23,0,0,3,0,0,0,4,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,34,6,20,6,9,0,3,105
5127235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4,0,0,7,0,0,0,4,0,0,16,3,4,3,5,6,0,0,3,0,29,0,0,3,0,5,3,3,4,0,19,0,0,0,0,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,21,8,15,7,14,7,0,86
5127236,0,0,0,0,0,4,0,0,0,5,0,5,3,0,0,4,0,3,0,20,0,8,8,5,4,0,3,3,0,29,3,0,9,0,3,0,4,5,0,33,3,11,0,3,0,0,3,3,0,22,4,3,6,0,0,0,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,28,27,7,14,7,11,19,6,122
5127237,0,0,0,0,0,0,0,0,0,6,0,0,6,0,3,3,0,0,0,14,0,9,11,3,0,0,3,5,0,33,3,3,3,4,3,0,0,0,0,13,0,3,0,3,0,0,0,0,0,10,0,4,4,0,3,0,3,3,0,19,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24,22,9,15,6,9,8,0,96
5127238,0,0,0,0,0,0,0,3,0,5,0,3,3,0,0,0,0,0,0,9,0,5,9,0,4,0,6,3,0,29,5,4,3,3,3,3,3,0,0,27,0,3,6,0,5,0,5,0,0,22,0,0,4,0,0,0,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17,27,5,10,7,9,11,3,104
5127239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
