SA1_7DIGITCODE_2016,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
5101907,51,1300,466,180,1050,0.8,823,2.1
5101908,51,1500,720,150,1637,0.7,1241,2.2
5101909,41,1885,603,150,1586,0.7,1221,2.5
5101910,44,1733,689,250,2019,0.8,1778,2.8
5101911,45,1300,701,255,1451,0.7,1292,2.4
5101912,41,1083,526,170,1100,0.8,938,2.1
5101913,37,1083,597,218,1171,0.8,906,2.1
5101914,33,1517,734,285,1775,0.7,1614,2.7
5101915,39,927,486,180,971,0.7,768,2
5101916,38,1300,586,168,1266,0.7,979,2.2
5102001,58,1083,511,200,1166,0.6,866,1.8
5102002,56,1242,471,140,1104,0.8,875,2.1
5102003,48,1000,775,0,1766,0.6,1446,2.3
5102004,53,1300,453,120,1147,0.8,809,2.3
5102005,47,1599,631,150,1474,0.8,1259,2.4
5102006,52,1300,560,135,1273,0.7,1008,2.2
5102007,46,1034,497,171,1303,0.7,959,2.3
5102008,58,1811,547,200,1111,0.8,949,2
5102009,50,1252,489,180,1187,0.7,929,2.2
5102010,54,1500,520,150,1240,0.7,1040,2.2
5102011,37,934,481,180,1071,0.8,912,2.3
5102012,48,1463,615,255,1562,0.7,1449,2.6
5102013,49,1134,720,138,1412,0.9,1364,2.3
5102014,44,1300,594,210,1430,0.7,1035,2.3
5102101,45,2167,507,250,1392,0.8,1319,2.5
5102102,54,2275,502,200,1260,0.7,1083,2.3
5102103,51,1426,482,270,1067,0.7,774,2
5102104,38,2167,558,380,1696,0.7,1420,2.9
5102105,34,2000,609,353,1708,0.7,1470,2.8
5102106,38,2000,599,325,1562,0.6,1375,2.6
5102107,39,2167,639,384,1937,0.7,1843,3.3
5102108,33,2168,497,230,2024,0.8,1196,2.7
5102109,44,2167,763,470,1970,0.7,1962,2.6
5102110,0,0,0,0,0,0,0,0
5102111,33,2013,621,385,1792,0.7,1224,2.7
5102112,62,1404,448,310,1006,0.7,930,2.2
5102113,40,1733,524,345,1401,0.6,1238,2.5
5102114,37,2321,473,450,1875,0.7,1666,2.6
5102115,52,2000,495,300,1263,0.7,900,2.1
5102116,33,2000,575,400,1857,0.7,1768,3
5102117,51,1300,562,315,1437,0.7,1218,2.4
5102201,49,1717,479,340,1136,0.7,959,2.2
5102202,50,1500,528,375,1260,0.6,1202,2.5
5102203,42,1827,655,260,1625,0.7,1178,2.4
5102204,36,2085,605,380,1705,0.7,1482,2.8
5102205,54,2415,644,400,1875,0.6,1568,2.4
5102206,37,2167,571,363,1850,0.7,1270,2.6
