SA1_7DIGITCODE_2016,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_v,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_v,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_v,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_v,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Total_OS_v,P_Total_Total
5126237,7,17,4,3,11,11,0,58,3,5,0,3,12,5,0,23,4,3,0,0,3,0,0,7,0,0,0,0,0,0,0,0,54,61,25,21,55,67,5,293
5126238,4,13,0,0,3,11,0,31,0,4,3,3,0,0,0,13,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,71,110,30,28,36,17,0,293
5126239,3,18,8,3,10,10,3,49,5,3,4,0,5,9,3,23,4,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,83,112,35,24,71,78,8,410
5126240,19,46,8,5,28,14,0,117,22,45,18,10,53,14,0,166,7,11,4,4,13,3,0,45,0,0,0,0,0,0,0,0,87,139,44,32,130,71,25,521
5126301,9,4,3,0,17,19,0,53,8,8,9,3,10,9,4,56,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,37,40,18,10,76,250,20,450
5126302,41,65,20,12,76,34,4,259,36,58,12,15,59,30,4,215,3,6,8,3,18,14,0,54,3,0,0,0,3,0,0,7,175,236,71,62,252,152,15,964
5126303,3,4,10,0,0,0,0,19,0,6,3,0,0,0,0,11,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,3,19,31,73,7,13,13,0,157
5126304,3,18,9,3,6,6,0,52,3,11,0,3,13,3,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,71,103,53,63,75,74,3,438
5126305,11,14,4,3,27,12,0,70,3,5,8,3,14,10,0,50,4,0,0,0,5,0,0,15,0,0,0,0,11,0,0,11,44,68,25,20,81,68,0,309
5126306,25,28,11,11,39,5,4,141,12,29,14,4,21,3,11,88,0,3,0,0,4,0,0,9,3,0,0,0,0,0,0,3,113,142,99,43,141,47,64,640
5126307,23,36,13,4,21,16,3,107,7,5,11,5,6,3,0,37,3,3,0,0,3,0,0,14,0,0,0,0,0,0,0,0,116,130,44,39,103,60,6,495
5126308,0,5,0,5,3,0,0,14,0,0,0,0,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,21,16,59,82,16,0,202
5126309,0,3,3,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,13,21,12,0,0,81
5126310,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,27,4,4,8,4,0,62
