SA1_7DIGITCODE_2016,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,Inc_1_149_Family_hholds,Inc_1_149_NonFamHholds,Inc_1_149_Tot,Inc_150_299_Family_hholds,Inc_150_299_NonFamHholds,Inc_150_299_Tot,Inc_300_399_Family_hholds,Inc_300_399_NonFamHholds,Inc_300_399_Tot,Inc_400_499_Family_hholds,Inc_400_499_NonFamHholds,Inc_400_499_Tot,Inc_500_649_Family_hholds,Inc_500_649_NonFamHholds,Inc_500_649_Tot,Inc_650_799_Family_hholds,Inc_650_799_NonFamHholds,Inc_650_799_Tot,Inc_800_999_Family_hholds,Inc_800_999_NonFamHholds,Inc_800_999_Tot,Inc_1000_1249_Family_hholds,Inc_1000_1249_NonFamHholds,Inc_1000_1249_Tot,Inc_1250_1499_Family_hholds,Inc_1250_1499_NonFamHholds,Inc_1250_1499_Tot,Inc_1500_1749_Family_hholds,Inc_1500_1749_NonFamHholds,Inc_1500_1749_Tot,Inc_1750_1999_Family_hholds,Inc_1750_1999_NonFamHholds,Inc_1750_1999_Tot,Inc_2000_2499_Family_hholds,Inc_2000_2499_NonFamHholds,Inc_2000_2499_Tot,Inc_2500_2999_Family_hholds,Inc_2500_2999_NonFamHholds,Inc_2500_2999_Tot,Inc_3000_3499_Family_hholds,Inc_3000_3499_NonFamHholds,Inc_3000_3499_Tot,Inc_3500_3999_Family_hholds,Inc_3500_3999_NonFamHholds,Inc_3500_3999_Tot,Inc_4000orMore_Family_hholds,Inc_4000orMore_NonFamHholds,Inc_4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
5100111,0,0,0,0,0,0,0,7,7,0,0,0,4,3,9,0,4,5,6,3,10,9,0,6,12,5,12,18,3,23,6,3,10,5,0,5,13,0,17,3,0,3,3,0,3,0,0,4,3,3,7,17,0,18,0,4,4,99,42,140
5100112,3,0,6,0,4,4,0,0,0,0,0,4,4,0,3,3,0,3,10,0,7,5,0,5,12,3,20,7,0,6,4,0,3,3,3,4,4,4,9,3,0,0,3,0,3,4,0,3,4,0,4,14,3,15,0,4,4,86,29,112
5100113,0,0,0,0,0,0,3,0,3,0,12,13,9,3,13,3,7,9,12,0,12,6,7,12,7,3,10,3,3,3,3,0,3,3,0,3,6,0,6,8,3,7,3,0,3,0,0,0,0,0,0,8,0,10,3,0,4,71,37,115
5100114,0,3,3,0,0,0,3,0,3,0,4,9,3,8,13,9,5,14,10,4,6,4,10,11,13,8,15,12,6,20,14,0,14,18,0,18,17,3,17,14,0,14,4,0,4,7,0,7,3,0,3,18,4,22,0,0,3,151,47,199
5100115,3,5,3,0,0,0,3,3,7,0,5,5,4,6,12,3,7,7,5,11,12,5,6,12,7,6,14,10,0,10,6,0,5,14,0,14,11,3,9,5,0,5,5,0,5,0,3,3,5,0,12,12,0,12,3,3,5,99,47,152
5100116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100202,0,0,0,0,0,0,0,4,4,0,8,5,6,14,19,0,13,15,19,7,23,14,3,23,8,3,15,11,3,15,7,0,7,11,0,13,7,3,8,5,0,5,0,0,0,3,0,3,0,0,0,7,0,7,3,7,4,109,69,176
5100203,0,0,3,4,0,4,0,3,3,0,0,0,3,3,7,3,0,3,5,0,5,11,0,10,5,0,5,9,0,9,4,0,4,8,0,5,22,0,22,16,0,16,8,3,15,6,0,6,6,0,6,23,0,23,0,0,3,133,11,146
5100204,0,0,0,0,0,0,3,3,5,0,7,10,10,15,20,4,3,8,6,0,8,12,0,11,6,3,11,13,0,17,8,3,9,5,0,9,9,0,11,4,0,4,0,0,0,0,0,0,4,0,4,11,0,11,4,0,4,110,41,148
5100205,0,0,3,0,0,0,0,0,0,0,3,3,3,3,6,0,5,6,5,3,8,9,0,11,4,0,4,3,0,8,10,0,10,4,0,4,16,0,14,8,0,8,7,0,7,7,0,7,8,0,8,13,0,15,0,0,0,95,20,111
5100206,5,0,7,0,0,0,0,9,8,0,23,19,3,32,37,0,11,12,16,11,27,9,4,18,16,7,20,6,4,13,6,3,10,3,0,3,14,3,11,3,0,3,0,0,0,0,3,3,0,0,0,10,0,10,0,9,8,101,115,212
5100207,0,0,0,0,0,0,0,6,8,3,17,16,6,12,11,4,7,9,15,3,19,9,4,14,5,3,15,7,3,12,10,0,14,0,0,0,3,0,5,3,0,3,0,0,0,0,0,0,0,0,0,14,0,14,0,4,3,83,63,147
5100209,0,0,0,0,0,3,0,9,9,0,14,14,8,24,35,3,14,11,9,9,20,4,13,16,15,7,22,8,3,13,8,5,8,3,3,3,20,3,16,6,0,6,8,3,7,3,0,3,8,0,3,15,0,11,3,7,10,106,117,230
5100213,0,3,5,0,0,3,0,0,0,0,6,6,3,13,13,0,5,5,8,5,15,8,13,19,7,3,9,8,0,8,6,0,9,4,0,4,7,0,7,8,0,8,0,0,0,0,0,0,4,0,4,8,0,8,0,3,6,78,56,130
5100214,0,0,0,0,0,0,0,3,3,0,4,0,0,6,8,4,0,3,13,7,16,14,4,14,16,5,22,16,3,13,7,0,10,15,0,11,28,3,35,17,0,20,18,0,18,4,0,10,9,0,9,26,3,25,0,0,0,192,41,230
5100216,0,3,4,0,0,0,0,5,6,4,5,11,4,14,24,4,4,12,20,0,18,11,4,13,16,3,21,7,3,9,13,3,11,12,0,12,3,0,3,9,0,9,3,0,3,0,0,0,0,0,0,12,0,13,3,5,11,128,55,180
5100217,0,0,0,0,0,0,3,0,3,3,0,6,3,16,19,8,3,8,11,3,16,4,6,4,11,3,12,12,3,16,9,0,9,4,0,6,13,4,10,4,0,4,0,0,0,0,0,0,0,0,0,10,0,9,3,3,4,96,43,137
5100218,0,0,0,0,0,3,0,0,3,0,3,8,3,6,10,0,5,6,7,4,9,5,4,10,12,3,18,7,0,13,10,3,16,3,0,3,11,0,11,3,0,3,0,0,0,0,0,0,0,0,0,7,0,7,0,3,3,77,35,116
