SA1_7DIGITCODE_2016,P_Yr_8_bel_15_19_yr,P_Yr_8_bel_20_24_yr,P_Yr_8_bel_25_34_yr,P_Yr_8_bel_35_44_yr,P_Yr_8_bel_45_54_yr,P_Yr_8_bel_55_64_yr,P_Yr_8_bel_65_74_yr,P_Yr_8_bel_75_84_yr,P_Yr_8_bel_85_yr,P_Yr_8_bel_Tot,P_Did_not_go_to_school_15_19,P_Did_not_go_to_school_20_24,P_Did_not_go_to_school_25_34,P_Did_not_go_to_school_35_44,P_Did_not_go_to_school_45_54,P_Did_not_go_to_school_55_64,P_Did_not_go_to_school_65_74,P_Did_not_go_to_school_75_84,P_Did_not_go_to_school_85,P_Did_not_go_to_school_Tot,P_High_yr_sch_ns_15_19_yr,P_High_yr_sch_ns_20_24_yr,P_High_yr_sch_ns_25_34_yr,P_High_yr_sch_ns_35_44_yr,P_High_yr_sch_ns_45_54_yr,P_High_yr_sch_ns_55_64_yr,P_High_yr_sch_ns_65_74_yr,P_High_yr_sch_ns_75_84_yr,P_High_yr_sch_ns_85_yr,P_High_yr_sch_ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
5100319,0,0,0,0,0,0,0,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,5,3,0,19,3,5,23,24,30,60,57,47,9,260
5100320,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,7,3,8,3,4,0,43,7,13,71,106,86,57,57,22,12,428
5100321,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,15,12,3,26,93,60,42,33,15,3,291
5100322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,16,8,18,3,0,55,0,7,25,23,32,31,52,8,0,175
5100323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,5,5,28,41,27,35,23,8,6,171
5100324,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,3,0,0,9,0,11,6,3,0,30,6,9,27,51,43,71,30,15,3,262
5100325,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,3,7,0,0,12,3,0,4,0,0,27,13,10,70,116,55,53,46,14,8,383
5100326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,9,5,16,48,56,45,16,37,5,3,234
5100327,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,3,3,0,10,3,3,4,3,0,0,27,9,19,118,107,58,43,67,18,0,436
5100328,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,4,0,18,10,5,0,0,0,0,43,7,21,143,168,82,59,56,17,0,565
5100401,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,5,0,0,12,7,10,33,101,61,48,34,12,0,303
5100405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,20,13,24,30,19,4,0,113,8,21,67,78,106,94,36,15,0,427
5100406,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,3,3,0,3,3,4,4,0,0,3,23,6,16,59,69,68,71,38,10,7,341
5100407,0,0,0,0,0,0,3,3,3,12,0,0,0,0,0,0,0,0,3,3,0,0,5,4,3,11,3,7,0,43,8,12,77,38,35,50,46,45,42,351
5100408,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,3,3,13,8,12,5,6,8,0,57,5,18,60,54,52,52,37,16,6,305
5100410,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,4,3,3,0,4,4,0,0,28,23,51,160,124,51,50,41,12,0,513
5100411,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,7,22,3,5,6,3,0,0,57,5,32,71,33,42,46,34,9,4,272
5100412,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,5,0,5,6,17,7,0,0,0,43,9,11,39,58,70,73,40,15,10,327
5100413,0,0,0,0,0,0,0,4,0,5,0,0,0,3,0,0,0,0,0,3,3,0,0,3,3,3,3,5,0,20,12,11,42,107,85,68,29,29,3,380
5100414,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,11,10,6,11,4,0,51,4,13,57,84,94,70,59,16,3,402
5100415,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,3,4,9,6,0,0,33,13,3,25,40,45,35,29,14,4,200
5100416,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,10,9,8,9,0,0,51,3,8,47,90,77,66,48,18,8,372
5100417,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,3,3,6,8,6,3,0,0,38,6,12,41,68,71,90,36,15,4,353
