SA1_7DIGITCODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,INA_DS_Separate_house,INA_DS_SemD_ro_tr_h_th,INA_DS_Flat_or_Apart,INA_DS_Other_dwelling,INA_DS_Not_stated,INA_Total,INS_DS_Separate_house,INS_DS_SemD_ro_tr_h_th,INS_DS_Flat_or_Apart,INS_DS_Other_dwelling,INS_DS_Not_stated,INS_DS_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
5100203,130,0,3,7,0,137,4,0,0,0,0,4,6,0,0,0,0,6,134,0,3,7,0,144
5100204,104,17,0,0,0,115,25,5,0,0,0,30,3,0,0,0,0,3,131,19,0,0,0,150
5100205,102,0,0,0,0,102,5,0,0,0,0,5,4,0,0,0,0,4,112,0,0,0,0,112
5100206,86,40,0,0,0,130,22,50,0,0,0,65,3,7,0,0,0,14,112,100,0,0,0,209
5100207,87,18,0,0,0,102,24,13,0,0,0,34,3,0,0,0,0,4,114,27,0,0,0,146
5100209,106,29,0,0,0,139,34,16,0,5,0,58,8,8,0,0,0,12,146,53,0,4,0,205
5100213,67,24,0,0,0,98,14,8,0,0,0,24,0,3,0,0,0,3,83,41,0,0,0,122
5100214,216,0,0,0,0,216,13,0,0,0,0,13,3,0,0,0,0,3,224,0,0,0,0,224
5100216,105,16,0,0,0,122,39,5,0,0,0,45,4,0,0,0,0,4,157,26,0,0,0,179
5100217,95,12,0,0,0,101,22,9,0,0,0,34,0,0,0,0,0,0,113,22,0,0,0,133
5100218,81,3,0,0,0,86,19,0,0,0,0,21,4,0,0,0,0,4,105,3,0,0,0,112
5100219,121,26,0,0,3,150,28,22,0,0,0,41,0,7,0,0,0,5,151,50,0,0,3,200
5100220,130,31,0,0,3,171,43,19,0,0,0,60,7,6,0,0,0,14,181,56,0,0,3,244
5100222,136,0,0,0,0,140,3,0,0,0,0,3,3,0,0,0,0,3,141,0,0,0,0,144
5100223,84,0,0,0,0,84,7,0,0,0,0,7,0,0,0,0,0,0,95,0,0,0,0,95
5100224,102,0,0,0,0,102,13,0,0,0,0,13,0,0,0,0,0,0,109,0,0,0,0,109
5100226,117,0,0,0,0,113,12,0,0,0,0,10,0,0,0,0,0,0,128,0,0,0,0,127
5100227,36,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,38
5100229,160,12,0,0,0,178,9,0,0,0,0,8,4,0,0,0,0,4,170,12,0,5,0,191
5100230,60,20,0,0,0,83,18,14,0,0,0,30,6,10,0,0,0,10,82,42,0,0,0,126
5100231,134,9,0,0,0,145,4,0,0,0,0,4,3,0,0,0,0,3,141,13,0,0,0,155
5100232,81,0,0,0,0,88,8,0,0,0,0,8,0,0,0,0,0,0,93,0,0,0,0,93
5100233,118,7,0,0,0,128,20,3,0,0,0,28,0,0,0,0,0,0,140,11,0,0,0,153
5100234,160,0,0,13,11,183,16,4,0,14,0,33,8,0,0,4,0,12,186,4,0,29,6,228
5100235,142,7,0,0,0,153,32,12,0,0,0,47,0,0,0,0,0,4,179,23,0,0,0,197
5100236,136,5,0,0,0,140,31,6,0,0,0,34,6,0,0,0,0,6,168,12,0,0,0,186
5100237,98,7,3,12,0,122,10,0,4,3,0,22,0,0,3,0,0,7,105,16,16,12,0,151
5100238,103,5,0,0,0,108,18,0,0,0,0,23,3,0,0,0,0,3,118,3,4,0,0,129
5100239,63,15,0,0,0,75,12,4,0,0,0,11,0,0,0,0,0,0,71,16,0,0,0,86
5100240,110,3,0,0,0,116,13,0,0,0,0,16,4,0,0,0,0,4,132,4,0,0,0,138
5100241,116,7,0,0,0,125,23,0,0,0,0,23,3,0,0,0,0,3,147,7,0,0,0,148
5100243,140,0,0,0,0,140,9,0,0,0,0,9,0,0,0,0,0,0,152,0,0,0,0,152
5100244,128,6,0,0,0,133,21,6,0,0,0,22,7,0,0,0,0,7,154,12,0,0,0,165
5100246,59,0,0,0,0,59,11,0,0,0,0,11,3,0,0,0,0,3,74,0,0,0,0,74
5100247,117,11,0,0,0,125,14,3,0,0,0,16,0,0,0,0,0,0,130,14,0,0,0,146
5100249,61,0,0,5,0,70,15,0,0,0,0,14,3,0,0,0,0,3,77,3,0,9,0,91
5100250,79,5,0,0,0,84,6,3,0,0,0,11,0,0,0,0,0,0,95,7,0,0,0,103
5100251,71,8,0,0,0,75,15,0,0,0,0,15,0,0,0,0,0,0,83,10,0,0,0,94
5100252,83,0,0,0,0,89,5,0,0,0,0,7,0,0,0,0,0,0,91,0,0,0,0,97
5100253,205,4,0,3,0,219,11,0,0,0,0,11,3,0,0,0,0,3,225,4,0,3,0,232
5100254,62,4,0,0,0,71,19,6,0,0,0,28,3,0,0,0,0,0,85,10,0,0,0,95
5100255,4,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,14
5100256,78,25,0,0,0,103,26,13,0,0,0,43,0,0,0,0,0,0,109,39,0,0,0,144
5100257,101,0,0,0,0,101,3,0,0,0,0,3,0,0,0,0,0,0,103,0,0,0,0,103
5100258,88,0,0,0,0,88,5,0,0,0,0,5,3,0,0,0,0,3,93,0,0,0,0,93
5100259,116,0,0,0,0,116,9,0,0,0,0,9,4,0,0,0,0,4,124,0,0,0,0,124
5100260,38,3,0,49,0,93,8,0,0,28,0,38,0,0,0,10,0,11,48,5,0,89,0,146
5100261,113,0,0,0,0,113,8,0,0,0,0,8,5,0,0,0,0,5,122,0,0,0,0,122
5100262,74,9,0,0,0,84,11,5,0,0,0,15,0,0,0,0,3,4,90,11,0,0,5,105
5100263,85,0,0,0,0,85,3,0,0,0,0,3,3,0,0,0,0,3,94,0,0,0,0,94
5100264,61,10,0,0,0,73,13,6,0,0,0,18,0,0,0,0,0,0,72,22,0,0,0,93
5100265,0,0,0,134,0,134,0,0,0,38,0,38,0,0,0,7,0,7,0,0,0,183,0,183
5100266,135,0,0,0,0,135,9,0,0,0,0,9,3,0,0,0,0,3,146,0,0,0,0,146
5100267,150,0,0,0,0,146,9,0,0,0,0,9,3,0,0,0,0,3,159,0,0,0,0,159
5100268,118,0,0,0,0,118,9,0,0,0,0,9,3,0,0,0,0,3,125,0,0,0,0,125
5100269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100270,46,4,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,50,3,0,0,0,52
5100271,50,0,0,0,0,54,3,0,0,0,0,3,0,0,0,0,0,0,58,5,0,0,0,61
5100272,217,46,0,0,0,261,8,0,0,0,0,12,3,0,0,0,0,3,232,42,0,0,0,281
5100273,35,0,0,3,0,37,11,0,0,0,0,11,0,0,0,0,0,0,45,0,0,3,0,51
5100274,65,0,0,0,0,62,11,0,0,0,0,10,0,0,0,0,0,0,70,0,0,0,0,72
5100275,107,14,0,0,3,121,25,6,0,0,0,37,7,0,0,0,0,7,142,26,0,0,3,168
5100276,98,0,0,0,0,98,10,0,0,0,0,10,0,0,0,0,0,0,115,0,0,0,0,115
5100277,39,17,0,0,0,65,0,0,0,0,0,4,0,0,0,0,0,0,43,19,0,0,0,69
5100278,73,0,0,0,0,73,7,0,0,0,0,9,0,0,0,0,0,0,84,0,0,0,0,80
5100279,88,24,0,0,0,106,19,22,0,0,0,41,0,3,0,0,0,3,108,43,0,0,0,152
5100280,102,0,0,0,0,104,20,0,0,0,0,23,0,0,0,0,0,0,130,3,0,0,0,134
5100281,121,34,0,0,0,150,33,28,0,0,0,62,3,4,0,0,0,10,156,64,0,0,0,225
5100282,109,7,0,0,0,112,12,6,0,9,0,20,0,0,0,0,0,3,121,15,0,6,0,138
5100283,135,5,0,0,0,133,7,0,0,0,0,7,3,0,0,0,0,3,142,5,0,0,0,145
5100301,49,10,0,0,3,53,3,0,0,0,0,7,0,0,0,0,0,3,48,10,0,0,4,64
5100302,79,0,0,0,0,78,6,0,0,0,0,6,0,0,0,0,0,0,88,0,0,0,0,92
5100303,65,0,0,31,0,94,7,0,0,17,0,25,0,0,0,3,0,8,72,0,0,50,0,121
5100304,54,0,0,3,0,58,20,0,0,0,0,22,4,0,0,0,0,4,77,0,0,7,0,83
5100305,92,0,0,0,0,93,14,0,0,0,0,14,3,0,0,0,0,3,110,0,0,0,0,110
5100306,119,0,0,3,0,122,25,0,0,0,0,27,3,0,0,0,0,3,150,0,0,3,3,153
5100307,94,0,0,0,0,99,6,0,0,0,0,6,0,0,0,0,0,0,102,0,0,0,0,103
5100308,117,0,0,7,0,128,3,0,0,0,0,3,0,0,0,4,0,4,122,0,0,9,0,133
5100310,126,0,0,0,0,126,16,0,0,0,0,16,0,0,0,0,0,0,143,0,0,0,0,142
5100311,72,17,3,0,0,87,3,0,0,0,0,7,0,0,0,0,0,0,80,17,3,0,0,99
5100312,93,18,0,0,0,110,16,0,0,0,0,16,0,0,0,0,0,0,113,19,0,0,0,129
5100313,64,4,0,4,0,70,11,9,0,0,0,20,3,0,0,0,0,3,73,11,0,4,0,88
5100314,81,0,0,0,0,83,10,0,0,0,0,10,0,0,0,0,0,0,87,0,0,0,0,91
5100315,93,0,0,5,0,105,12,0,0,0,0,15,3,0,0,0,0,3,114,0,0,5,0,121
5100316,96,0,0,0,0,93,6,0,0,0,0,6,0,0,0,0,0,0,106,0,0,0,0,103
5100317,109,0,0,0,0,110,9,0,0,0,0,9,4,0,0,0,0,4,121,0,0,0,0,117
5100318,102,3,0,0,3,107,9,0,0,0,0,9,0,0,0,0,0,0,111,8,0,3,3,121
5100319,99,8,0,0,0,109,16,3,0,0,0,19,0,0,0,0,0,0,118,13,0,0,0,129
5100320,191,11,0,0,0,205,12,3,0,0,0,16,0,0,0,0,0,0,200,18,0,0,0,223
5100321,131,0,0,0,0,131,9,0,0,0,0,9,3,0,0,0,0,4,141,0,0,0,0,145
5100322,40,0,0,0,0,42,3,0,0,0,0,3,3,0,0,0,0,3,49,0,0,0,0,51
5100323,74,0,0,0,0,74,6,0,0,0,0,6,3,0,0,0,0,3,83,0,0,0,0,83
5100324,109,0,0,0,0,105,4,0,0,0,0,4,0,0,0,0,0,0,111,0,0,0,0,115
5100325,188,0,0,0,3,189,16,0,0,0,0,16,7,0,0,0,0,7,202,0,0,0,3,204
5100326,103,8,0,0,0,114,7,3,0,0,0,12,8,0,0,0,0,8,116,10,0,0,0,129
5100327,200,0,0,0,0,200,9,0,0,0,0,9,3,0,0,0,0,3,222,0,0,0,0,222
5100328,275,0,0,0,0,279,13,0,0,0,0,13,0,0,0,0,0,0,296,0,0,0,0,296
5100401,147,0,0,0,0,152,3,0,0,0,0,3,0,0,0,0,0,3,153,0,0,0,3,153
5100405,140,0,0,0,0,140,6,0,0,0,0,6,0,0,0,0,0,0,148,0,0,0,0,148
5100406,142,0,3,0,0,144,16,0,0,0,0,16,3,0,0,0,0,3,161,0,3,0,0,166
5100407,78,7,0,0,3,91,22,8,0,0,0,33,5,3,0,0,0,9,103,20,0,0,3,123
5100408,74,13,0,0,0,87,12,0,0,0,0,14,0,0,0,0,0,0,87,11,0,0,3,101
5100410,220,19,0,0,0,238,20,3,0,0,0,24,0,0,0,0,0,5,240,28,0,0,0,269
5100411,31,46,4,6,0,85,3,16,4,11,0,29,3,0,0,0,0,4,31,62,9,24,0,119
5100412,113,0,0,0,4,115,10,0,0,0,0,10,0,0,0,0,0,0,122,0,0,0,4,128
5100413,181,0,0,3,0,180,10,0,0,0,0,10,3,0,0,0,0,3,195,0,0,3,0,197
5100414,149,0,0,4,0,151,10,0,0,0,0,11,0,0,0,0,0,0,161,3,0,4,0,163
5100415,77,0,0,0,0,77,5,0,0,0,0,8,3,0,0,0,0,4,81,0,3,0,3,91
5100416,142,3,0,7,4,153,9,0,0,8,0,18,3,0,0,0,0,6,152,0,0,8,4,170
5100417,130,3,0,3,0,141,25,0,0,0,0,25,0,0,0,0,0,0,160,3,0,3,0,165
5100418,54,0,0,0,0,54,4,0,0,0,0,8,0,0,0,0,0,0,60,0,0,0,0,67
5100419,105,6,0,0,0,107,13,0,0,0,0,12,0,0,0,0,0,0,118,4,0,0,0,122
5100420,118,0,0,0,0,118,16,0,0,0,0,14,3,0,0,0,0,3,131,0,0,0,0,131
5100421,112,0,0,0,0,112,3,0,0,0,0,3,0,0,0,0,0,0,118,0,0,0,0,118
5100422,133,0,0,0,0,133,8,0,0,0,0,8,0,0,0,0,0,0,146,0,0,0,0,146
5100423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100424,97,0,0,0,0,97,9,0,0,0,0,7,5,0,0,0,0,5,109,0,0,0,0,106
5100425,87,10,0,0,0,98,14,4,0,0,0,20,3,0,0,0,0,3,105,16,0,0,0,118
5100426,107,0,0,0,0,107,6,0,0,0,0,6,0,0,0,0,0,0,119,0,0,0,0,119
5100427,105,0,0,0,0,105,13,0,0,0,0,13,3,0,0,0,0,3,125,0,0,0,0,125
5100502,216,0,0,0,0,216,17,0,0,0,0,17,4,0,0,0,0,4,236,0,0,0,0,236
5100504,80,0,0,0,0,80,14,0,0,0,0,14,4,0,0,0,0,4,96,0,0,0,0,96
5100505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100506,0,5,0,19,0,25,0,0,0,13,0,14,0,0,0,0,0,0,0,5,0,30,3,41
5100507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100508,107,0,0,0,0,110,22,0,0,0,0,24,4,0,0,0,0,7,143,3,0,0,0,146
5100509,211,20,0,0,0,229,18,3,0,0,0,21,0,0,0,0,0,3,226,25,0,0,0,250
5100510,224,0,0,0,0,224,18,3,0,0,0,15,4,0,0,0,0,4,242,3,0,0,0,247
5100511,94,18,0,0,0,111,20,5,0,0,0,25,4,0,0,0,0,4,115,24,0,0,0,138
5100512,66,6,0,0,0,74,15,3,0,0,0,17,0,0,0,0,0,0,85,3,0,0,0,85
5100513,121,4,0,0,0,127,4,0,0,0,0,4,0,0,0,0,0,0,132,4,0,0,0,136
5100514,161,0,0,0,0,161,17,0,0,0,0,17,4,0,0,0,0,4,181,0,0,0,0,181
5100515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100516,93,0,0,0,0,93,8,0,0,0,0,8,0,0,0,0,0,0,103,0,0,0,0,103
5100517,59,27,8,0,0,89,16,25,0,0,0,38,0,3,0,0,0,4,69,54,8,0,0,126
5100518,207,19,0,0,0,224,23,8,0,0,0,27,8,0,0,0,0,5,239,23,0,0,0,262
5100519,162,0,3,0,0,166,26,0,0,0,0,26,0,0,0,0,0,0,190,0,3,0,0,188
5100520,103,3,0,0,0,103,22,0,0,0,0,17,0,0,0,0,0,0,120,4,0,0,0,125
5100521,121,17,0,0,0,141,14,3,0,0,0,20,4,0,0,0,0,5,140,23,0,0,0,165
5100522,98,0,0,0,0,97,11,3,0,0,0,16,0,0,0,0,0,4,108,5,0,0,0,115
5100524,104,0,0,0,0,107,9,0,0,0,0,10,0,0,0,0,0,0,113,3,0,0,0,119
5100525,91,3,0,0,0,95,14,0,0,0,0,14,3,0,0,0,0,3,108,3,0,0,0,111
5100526,92,0,0,0,0,92,11,0,0,0,0,11,0,0,0,0,0,0,97,0,0,0,0,97
5100527,116,4,0,0,0,118,16,0,0,0,0,17,0,0,0,0,0,0,133,7,0,0,0,138
5100528,69,0,0,0,0,73,15,0,0,0,0,18,0,0,0,0,0,0,86,3,0,0,0,91
5100529,104,0,0,0,0,101,15,0,0,0,0,15,5,0,0,0,0,5,121,0,0,0,0,121
5100530,182,0,0,0,0,185,8,0,0,0,0,8,3,0,0,0,0,3,198,0,0,0,0,200
5100531,128,0,0,0,0,128,4,0,0,0,0,4,0,0,0,0,0,0,130,0,0,0,0,130
5100532,100,0,0,23,0,125,8,0,0,12,0,17,3,0,0,0,0,4,112,0,0,39,0,151
5100533,282,15,0,0,0,293,25,0,0,0,0,30,7,0,0,0,0,13,317,13,0,0,0,331
5100534,185,0,0,0,0,185,7,0,0,0,0,7,5,0,0,0,0,5,200,0,0,0,0,200
5100536,86,0,0,0,0,86,8,0,0,0,0,8,0,0,0,0,0,0,93,0,0,0,0,93
5100537,95,0,0,0,0,95,3,0,0,0,0,3,7,0,0,0,0,7,101,0,0,0,0,101
5100538,132,0,0,0,0,132,4,0,0,0,0,4,0,0,0,0,0,0,142,0,0,0,0,142
5100539,85,0,0,0,0,85,4,0,0,0,0,4,3,0,0,0,0,3,90,0,0,0,0,90
5100540,139,0,0,0,0,143,6,0,0,0,0,6,0,0,0,0,0,0,147,0,0,0,0,152
5100541,30,0,0,0,5,37,3,0,0,0,0,3,0,0,0,0,0,0,32,0,0,0,5,41
5100542,41,0,0,0,0,41,3,0,0,0,0,3,0,0,0,0,0,0,45,0,0,0,0,45
5100543,97,0,0,0,0,94,5,0,0,0,0,5,0,0,0,0,0,0,101,0,0,0,0,100
5100544,78,0,0,0,0,78,4,0,0,0,0,4,3,0,0,0,0,3,82,0,0,0,0,82
5100545,99,3,0,0,0,106,10,0,0,0,0,7,0,0,0,0,0,0,116,4,0,0,0,115
5100546,111,0,0,0,0,117,3,0,0,0,0,3,0,0,0,0,0,0,116,0,3,0,0,120
5100547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100548,130,0,0,0,0,130,7,0,0,0,0,7,0,0,0,0,0,0,137,0,0,0,0,137
5100549,51,18,19,0,3,92,3,5,7,0,0,14,0,0,0,0,0,0,54,24,31,0,3,108
5100550,113,0,0,0,0,113,3,0,0,0,0,3,0,0,0,0,0,0,118,0,0,0,0,118
5100551,92,0,0,0,0,92,9,0,0,0,0,9,0,0,0,0,0,0,103,0,0,0,0,103
5100701,79,0,0,0,0,79,16,3,0,0,0,17,6,0,0,0,0,5,99,5,0,0,0,104
5100702,75,0,0,0,0,75,11,0,0,0,0,11,3,0,0,0,0,3,94,0,0,0,0,95
5100703,144,0,0,0,0,148,15,0,0,0,0,15,3,0,0,0,0,3,159,0,0,0,0,158
5100704,142,12,0,0,0,154,28,14,0,0,0,43,3,0,0,0,0,6,182,23,0,0,0,202
5100705,86,0,0,0,0,86,6,0,0,0,0,6,0,0,0,0,0,4,92,0,0,0,0,97
5100706,78,0,0,0,0,78,22,0,0,0,0,22,0,0,0,0,0,0,101,0,0,0,0,99
5100707,158,0,0,0,0,158,11,0,0,0,0,11,0,0,0,0,0,0,172,0,0,0,0,172
5100708,164,0,7,0,0,165,17,0,3,0,0,23,5,0,0,0,0,5,185,0,5,0,0,194
5100709,101,0,0,0,0,97,9,0,0,0,0,9,0,0,0,0,0,0,110,0,0,0,0,111
5100710,143,0,0,0,0,148,20,0,0,0,0,21,5,0,0,0,0,5,170,0,0,0,0,168
5100711,93,7,0,0,0,96,7,3,0,0,0,15,0,0,0,0,0,0,105,10,0,0,0,112
5100713,149,6,0,0,0,164,16,4,0,0,0,22,3,0,0,0,0,3,172,14,0,0,0,185
5100714,98,3,5,0,0,108,18,0,3,0,0,20,4,0,0,0,0,4,129,3,7,0,0,134
5100801,121,5,0,0,0,124,21,0,0,0,0,21,3,0,0,0,0,3,149,5,0,0,0,156
5100802,184,13,0,0,0,196,35,13,0,0,0,49,6,4,0,0,0,8,225,24,0,0,0,252
5100803,70,0,0,0,0,70,3,0,0,0,0,7,0,0,0,0,0,3,77,0,0,0,0,77
5100804,138,3,0,0,0,139,9,0,0,0,0,9,4,0,0,0,0,4,154,3,0,0,0,154
5100805,136,0,0,0,0,136,15,0,0,0,0,15,0,0,0,0,0,0,148,0,0,0,0,148
5100806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100807,123,12,0,0,0,135,36,7,0,0,0,47,5,0,0,0,0,5,161,21,0,0,0,185
5100808,34,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,35
5100809,171,50,0,0,0,223,49,36,0,0,0,79,9,3,0,0,0,16,230,87,0,0,0,313
5100810,99,65,0,0,0,168,28,23,0,0,0,55,4,6,0,0,0,11,131,92,0,0,0,230
5100811,64,21,0,0,0,82,10,19,0,0,0,29,0,0,0,0,0,0,81,36,0,0,0,117
5100812,80,27,0,0,0,100,31,44,0,0,0,71,0,7,0,0,0,5,110,80,0,0,0,183
5100813,117,15,0,0,0,137,28,17,0,0,0,36,0,4,0,0,0,5,146,31,0,0,0,180
5100814,80,16,0,0,0,97,32,15,0,0,0,43,3,0,0,0,0,5,110,29,0,0,0,146
5100815,119,34,0,0,0,153,30,22,0,0,0,52,7,3,0,0,0,10,156,56,0,0,0,213
5100816,90,7,0,0,0,93,28,8,0,0,0,36,0,0,0,0,0,0,124,10,0,0,0,135
5100901,82,0,0,0,0,87,19,0,0,0,0,26,0,0,0,0,0,0,103,0,0,0,0,106
5100902,128,0,0,0,0,128,58,0,0,0,0,58,10,0,0,0,0,9,194,0,0,0,0,194
5100903,128,0,0,0,0,128,21,0,0,0,0,21,0,0,0,0,0,0,157,0,0,0,0,157
5100904,74,0,0,3,0,78,29,0,0,0,0,29,4,0,0,0,0,4,112,0,0,3,0,111
5100905,173,0,3,7,0,183,52,0,10,3,0,62,6,0,0,0,0,14,232,0,9,12,0,250
5100906,85,0,0,0,0,85,35,0,0,0,0,35,4,0,0,0,0,4,125,0,0,0,0,125
5100907,62,0,0,0,0,62,20,0,0,0,0,20,4,0,0,0,0,4,84,0,0,0,0,84
5100908,111,0,0,0,0,111,28,0,0,0,0,28,3,0,0,0,0,3,141,0,0,0,0,141
5100909,47,28,4,0,0,78,18,18,0,0,0,35,0,0,0,0,0,0,67,43,3,0,0,119
5100910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100911,62,0,0,0,0,58,18,0,0,0,0,16,4,0,0,0,0,4,76,0,0,0,3,76
5100912,91,0,0,0,0,90,46,0,0,0,0,46,3,0,0,0,0,3,141,0,0,0,0,142
5100913,64,4,0,0,3,72,22,0,0,0,0,21,0,0,0,0,0,0,86,3,0,0,3,92
5100914,73,0,0,0,0,79,20,0,0,0,0,20,4,0,0,0,0,4,100,0,0,0,0,100
5100915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
5100916,123,3,0,0,0,130,32,5,0,0,0,37,4,0,0,0,0,4,160,11,0,0,0,177
5100917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100918,40,3,0,0,0,49,20,16,0,0,0,31,0,3,0,0,0,5,60,22,3,0,0,93
5100920,150,0,0,0,0,150,16,0,0,0,0,20,0,0,0,0,0,3,170,3,0,0,0,173
5100921,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
5100922,55,0,0,0,0,55,21,0,0,0,0,21,7,0,0,0,0,7,75,0,0,0,0,75
5100923,103,0,0,0,0,103,19,0,0,0,0,19,0,0,0,0,0,0,122,0,0,0,0,122
5100924,58,0,0,0,0,55,11,0,0,0,0,13,3,0,0,0,0,3,73,0,0,3,0,70
5100925,86,0,0,0,0,86,12,0,0,0,0,12,4,0,0,0,0,4,106,0,0,0,0,106
5100926,73,0,0,0,0,73,21,0,0,0,0,21,0,0,0,0,0,0,97,0,0,0,0,97
5100927,84,8,0,0,0,88,62,4,0,0,0,76,4,3,0,0,0,4,154,13,0,0,4,172
5100928,136,0,0,0,0,136,36,0,0,0,0,36,3,0,0,0,0,3,183,0,0,0,0,183
5100929,91,0,0,0,0,91,32,0,0,0,0,29,8,0,0,0,0,8,126,0,0,0,0,128
5100930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5100931,144,0,0,0,0,153,24,0,0,0,0,25,6,0,0,0,0,6,176,3,0,3,0,188
5101001,90,0,0,0,0,90,11,0,0,0,0,11,3,0,0,0,0,3,104,0,0,0,0,103
5101002,163,0,0,3,0,161,20,0,0,0,0,20,3,0,0,0,0,4,182,0,0,3,0,186
5101003,101,0,0,0,0,101,10,0,0,0,0,10,0,0,0,0,0,0,117,0,0,0,0,117
5101004,115,0,0,0,3,114,15,0,0,0,0,15,0,0,0,0,0,0,131,0,0,0,3,133
5101005,170,0,0,0,0,173,16,0,0,0,0,16,0,0,0,0,0,0,191,0,0,0,0,188
5101006,128,0,0,21,0,149,15,0,0,14,0,26,4,0,0,0,0,4,150,0,0,34,3,183
5101007,137,5,0,0,0,137,22,3,0,0,0,18,4,0,0,0,0,4,158,5,0,0,0,167
5101101,3,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5
5101201,149,4,0,0,6,157,29,3,0,0,0,35,0,3,0,0,0,3,184,13,0,0,6,198
5101202,124,7,0,0,0,133,30,3,0,0,0,35,4,0,0,0,0,4,157,13,0,0,0,170
5101203,106,12,0,0,0,113,16,8,0,0,0,20,0,0,0,0,0,0,117,20,0,0,0,138
5101204,92,5,0,0,0,99,23,0,0,0,0,23,3,0,0,0,0,3,119,5,0,0,0,128
5101205,86,0,0,0,0,86,14,0,0,0,0,14,3,0,0,0,0,3,95,0,0,0,0,95
