SA1_7DIGITCODE_2016,P_Sol_sp_En_T_2006_2010,P_Sol_sp_En_T_2011,P_Sol_sp_En_T_2012,P_Sol_sp_En_T_2013,P_Sol_sp_En_T_2014,P_Sol_sp_En_T_2015,P_Sol_sp_En_T_2016,P_Sol_sp_En_T_Yr_arr_ns,P_Sol_sp_En_T_T,P_LanProf_En_ns_Bef_2000,P_LanProf_En_ns_2000_2005,P_LanProf_En_ns_2006_2010,P_LanProf_En_ns_2011,P_LanProf_En_ns_2012,P_LanProf_En_ns_2013,P_LanProf_En_ns_2014,P_LanProf_En_ns_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_T,P_T_B_2000,P_T_2000_2005,P_T_2006_2010,P_T_2011,P_T_2012,P_T_2013,P_T_2014,P_T_2015,P_T_2016,P_T_Yr_arrival_ns,P_T_T
5113508,21,0,5,0,6,3,0,4,78,0,0,0,0,0,0,0,0,0,0,0,89,29,37,0,6,0,7,3,0,4,178
5113509,50,3,9,7,6,7,3,0,119,0,0,0,0,0,0,0,0,0,0,0,101,34,65,8,14,7,8,7,3,3,241
5113510,19,0,8,0,0,0,0,3,41,0,0,0,0,0,0,0,0,0,0,0,59,11,22,5,7,0,0,0,0,3,114
5113511,18,0,10,10,6,0,0,3,82,0,0,0,0,0,0,0,0,0,0,0,71,20,44,9,9,10,9,0,0,4,177
5113512,34,4,3,0,3,8,3,3,82,0,0,0,0,0,0,0,0,0,0,0,94,20,45,3,9,0,4,14,3,9,202
5113513,30,11,7,8,9,12,0,0,118,0,0,0,0,0,0,0,0,0,0,0,96,20,39,15,11,9,13,12,3,7,232
5113514,34,9,19,3,4,3,8,4,116,0,0,0,0,0,0,0,0,0,4,4,96,12,51,11,23,5,10,3,9,12,236
5113515,51,3,3,6,14,0,3,4,131,0,0,0,0,0,0,0,0,0,0,0,116,11,67,4,9,5,15,7,9,8,250
5113517,12,6,13,6,3,3,0,0,57,0,0,0,0,0,0,0,0,0,0,0,55,15,17,10,15,5,3,3,0,0,125
5113518,33,3,5,0,4,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,63,7,38,4,9,0,4,0,3,0,146
5113519,54,0,10,3,4,0,0,6,98,0,0,0,0,0,0,0,0,0,0,0,39,10,72,0,10,5,3,0,0,6,149
5113520,16,7,4,3,0,4,3,3,43,0,0,0,0,0,0,0,0,0,0,0,34,6,19,7,4,3,0,4,3,3,87
5113521,27,0,11,0,0,5,0,0,64,0,0,0,0,0,0,0,0,0,0,0,65,13,48,3,24,3,0,5,0,3,166
5113523,25,8,3,4,0,4,0,0,77,0,0,0,0,0,0,0,0,0,0,0,81,10,56,8,11,11,7,8,0,3,196
5113524,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,74,3,5,0,0,0,0,0,0,3,87
5113525,164,42,28,24,8,5,12,4,391,0,0,0,0,0,0,0,0,0,0,0,93,62,201,53,50,31,15,12,13,14,540
5113527,42,8,10,7,4,6,3,0,127,0,0,0,0,0,0,0,0,0,0,0,48,50,73,13,21,10,4,9,9,3,238
5113528,199,27,29,27,5,7,10,4,404,0,0,0,0,0,0,0,0,0,0,0,94,48,230,46,41,37,9,11,16,9,538
5113529,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9
5113530,20,3,0,4,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,51,26,42,7,0,4,0,0,0,3,138
5113531,37,0,4,7,3,3,3,0,89,0,0,0,0,0,0,0,0,0,0,0,60,10,46,0,3,9,3,4,3,4,134
5113532,132,33,32,18,20,16,4,12,365,0,0,0,0,0,0,0,0,0,0,0,124,73,155,34,33,26,28,16,3,16,516
5113533,29,6,8,9,3,3,0,3,109,0,0,0,0,0,0,0,0,0,0,0,109,33,50,12,11,9,3,3,0,3,227
5113534,22,4,12,12,7,3,7,0,74,0,0,0,0,0,0,0,0,0,0,0,27,8,32,4,14,15,7,3,7,0,124
5113535,191,29,10,13,14,3,9,6,427,0,0,0,0,0,0,0,0,0,0,0,216,103,303,41,22,13,17,10,11,13,737
5113536,21,6,3,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,64,44,36,6,3,4,0,0,0,0,167
5113537,25,0,5,0,0,3,0,3,77,0,0,0,0,0,0,0,0,0,0,0,60,29,35,6,9,4,0,3,0,3,150
5113538,16,3,0,0,10,0,0,3,52,0,0,0,0,0,0,0,0,0,0,0,74,11,17,3,0,0,10,0,0,4,121
5113601,35,9,4,8,3,0,3,0,73,0,0,0,0,0,0,0,0,0,0,0,34,3,35,7,6,8,3,0,3,0,94
5113602,31,8,16,12,8,0,3,0,129,0,0,0,0,0,0,0,0,0,0,0,65,14,48,17,23,12,8,0,3,0,185
5113603,31,7,7,4,0,3,0,3,83,0,0,0,0,0,0,0,0,0,0,0,44,26,39,6,6,4,0,3,0,3,126
5113604,57,7,16,10,12,14,14,0,162,0,0,0,0,0,0,0,0,0,0,0,59,16,63,9,13,12,12,15,14,0,210
5113605,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,34
5113606,44,5,10,13,10,8,3,4,129,0,0,0,0,0,0,0,0,0,0,0,63,23,51,10,10,9,12,8,6,7,213
5113607,14,5,0,0,0,0,9,3,56,0,0,0,0,0,0,0,0,0,0,0,59,3,21,5,0,0,0,0,6,3,109
5113608,34,4,3,9,3,3,5,3,89,0,0,0,0,0,0,0,0,0,0,0,61,11,36,4,3,8,3,4,5,11,149
5113609,37,7,5,13,3,4,5,4,117,0,0,0,0,0,0,0,0,0,0,0,70,15,49,7,11,12,3,3,5,12,179
5113610,30,3,10,10,8,5,4,0,98,0,0,0,0,0,0,0,0,0,0,0,54,6,32,3,16,10,12,10,4,5,147
5113611,21,13,6,16,12,7,3,0,120,0,0,0,0,0,0,0,0,0,0,0,69,21,21,17,9,16,12,7,3,0,187
5113612,59,12,11,12,3,6,0,0,111,0,0,0,0,0,0,0,0,0,0,0,55,4,66,14,17,13,6,10,0,3,186
5113613,100,11,33,28,16,32,18,8,311,0,0,0,0,0,0,0,0,3,0,4,186,33,102,17,42,28,21,32,21,14,485
5113614,72,15,25,14,18,26,7,4,226,0,0,0,0,0,0,0,0,0,0,0,102,31,76,19,29,16,18,31,7,3,338
5113615,48,20,20,13,18,20,12,17,209,0,0,0,0,0,0,0,0,0,0,0,108,23,59,18,22,14,18,18,13,14,308
5113616,26,4,6,6,11,4,4,0,89,0,0,0,0,0,0,0,0,0,0,0,73,8,34,11,6,6,11,3,4,0,157
5113617,17,3,9,0,6,12,5,0,77,0,0,0,0,0,0,0,0,0,0,0,64,10,17,5,9,0,6,12,5,3,134
5113618,38,5,21,11,0,0,8,10,144,0,0,0,0,0,0,0,0,0,0,0,75,19,41,8,20,12,3,0,8,10,199
5113619,3,0,0,0,3,0,3,0,25,0,0,0,0,0,0,0,0,0,0,0,70,10,10,0,0,0,7,0,3,5,101
5113620,60,10,10,8,3,7,3,7,157,0,0,0,0,0,0,0,0,0,0,0,51,26,66,10,10,9,3,7,3,5,191
5113621,218,32,35,14,11,6,11,13,427,0,0,0,0,0,0,0,0,0,4,4,85,46,246,40,39,17,11,6,10,29,529
5113622,3,3,0,7,3,3,0,0,24,0,0,0,0,0,0,0,0,0,0,0,15,5,3,3,0,7,3,3,0,0,40
5113623,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,4,52
5113624,0,0,0,0,0,0,0,12,29,0,0,0,0,0,0,0,0,0,0,0,90,0,8,0,0,3,3,0,3,34,145
5113625,28,15,19,15,19,17,9,3,142,0,0,0,0,0,0,0,0,0,0,0,125,16,30,15,19,16,19,15,9,3,264
5113626,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,50,0,4,0,0,0,0,0,0,3,56
5113627,10,3,0,3,6,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,53,10,8,8,0,3,10,0,0,0,102
5113628,57,22,10,10,5,0,0,14,163,0,0,0,0,0,0,0,0,0,0,0,119,21,64,23,14,15,5,0,0,20,282
5113629,126,16,22,32,11,19,5,0,342,0,0,0,0,0,0,0,0,0,0,0,104,73,135,16,17,31,16,19,5,8,431
5113701,26,3,6,6,7,5,0,0,74,0,0,0,0,0,0,0,0,0,0,0,61,6,33,7,6,6,5,5,0,0,126
5113702,20,0,0,3,8,0,0,3,68,0,0,0,0,0,0,0,0,0,0,0,76,16,35,4,3,3,8,3,0,10,154
5113703,13,10,0,0,0,6,0,0,71,0,0,0,0,0,0,0,0,0,0,0,82,19,19,11,0,0,0,6,0,0,138
5113704,28,7,11,19,9,13,11,0,126,0,0,0,0,0,0,0,0,0,0,0,84,23,29,7,11,22,9,13,13,0,213
5113705,59,6,8,7,7,15,19,3,169,0,0,0,0,0,0,0,0,0,0,0,79,22,66,11,11,7,7,15,26,3,240
5113706,23,3,4,5,0,0,0,0,69,3,0,0,0,0,0,0,0,0,0,3,93,9,37,3,3,5,0,0,0,0,150
5113707,20,3,3,4,0,0,3,4,69,0,0,0,0,0,0,0,0,0,0,0,66,5,26,3,5,4,0,0,3,5,127
