SA1_7DIGITCODE_2016,Intact_fam_no_oth_ch_pres_Fam,Step_fam_no_oth_ch_pres_Fam,Blend_fam_no_oth_ch_pres_Fam,Intact_fam_oth_ch_pres_Fam,Step_fam_oth_ch_pres_Fam,Blended_fam_oth_ch_pres_Fam,Oth_coup_fam_oth_ch_only_Fam,Tot_Families
5100303,24,0,0,0,0,0,0,31
5100304,26,0,0,0,0,0,0,34
5100305,34,6,3,0,0,0,0,43
5100306,40,0,3,0,0,0,0,49
5100307,38,0,0,0,0,0,0,46
5100308,51,8,0,0,0,0,0,57
5100310,44,0,0,0,0,0,0,43
5100311,36,0,0,0,0,0,0,39
5100312,27,0,0,0,0,0,0,31
5100313,23,0,0,0,0,0,0,25
5100314,23,4,3,0,0,0,0,30
5100315,44,0,3,0,0,0,0,51
5100316,25,3,0,0,0,0,0,34
5100317,49,0,0,4,0,0,0,56
5100318,30,0,0,0,0,0,0,32
5100319,25,0,0,0,0,0,0,25
5100320,70,5,3,0,0,0,0,82
5100321,80,3,3,0,0,0,0,80
5100322,12,0,0,0,0,0,0,12
5100323,35,0,0,0,0,0,0,39
5100324,40,3,4,0,0,0,0,45
5100325,63,7,3,0,0,0,0,74
5100326,48,0,3,0,0,0,0,53
5100327,74,5,4,0,0,0,0,83
5100328,109,3,4,0,0,0,0,116
5100401,61,3,4,0,0,0,0,72
5100405,59,4,0,0,0,0,0,65
5100406,31,0,3,0,0,0,0,37
5100407,18,0,0,0,0,0,0,18
5100408,16,5,0,0,0,0,0,15
5100410,78,5,4,0,0,0,0,88
5100411,16,0,0,0,0,0,0,21
5100412,42,0,0,0,0,0,0,42
5100413,72,0,0,0,0,0,0,77
5100414,57,3,3,0,0,0,0,60
5100415,35,3,0,0,0,0,0,39
5100416,60,0,5,0,0,0,0,67
5100417,51,3,0,0,0,0,0,56
5100418,16,0,3,0,0,0,0,19
5100419,27,0,0,0,0,0,0,31
5100420,45,0,4,0,0,0,0,49
5100421,47,0,6,0,0,0,0,54
5100422,59,0,3,0,0,0,0,66
5100423,0,0,0,0,0,0,0,0
5100424,39,3,0,0,0,0,0,48
5100425,31,3,7,0,0,0,0,36
5100426,33,5,3,0,0,0,0,43
5100427,36,0,5,0,0,0,0,39
5100502,98,8,10,0,0,0,0,123
5100504,19,0,0,0,0,0,0,23
5100505,0,0,0,0,0,0,0,0
5100506,3,0,0,0,0,0,0,3
5100507,0,0,0,0,0,0,0,0
5100508,32,0,0,0,0,0,0,33
5100509,87,7,5,0,0,0,3,106
5100510,124,8,7,0,0,0,3,144
5100511,36,0,4,0,0,0,0,41
5100512,22,0,7,0,0,0,0,27
5100513,38,11,3,0,0,0,0,54
5100514,84,3,11,0,0,0,0,97
5100515,0,0,0,0,0,0,0,0
5100516,34,0,3,0,0,0,0,33
5100517,19,0,0,0,0,0,0,15
5100518,78,3,3,0,0,3,0,85
5100519,67,4,0,0,0,0,0,74
5100520,31,5,0,3,0,0,0,43
5100521,38,7,3,0,0,0,0,40
5100522,26,8,0,0,0,0,0,33
5100524,36,0,4,0,0,0,0,36
5100525,25,6,3,0,0,0,0,33
5100526,25,3,0,0,0,0,0,33
5100527,33,0,3,0,0,0,0,37
5100528,13,4,0,0,0,0,0,18
5100529,23,3,0,0,0,0,3,33
5100530,87,5,3,6,0,0,0,94
5100531,61,0,4,0,0,0,0,63
5100532,35,0,0,0,0,0,0,40
5100533,141,6,8,3,0,0,0,160
5100534,84,8,6,0,0,0,0,96
5100536,36,3,4,0,0,0,0,50
5100537,35,3,0,0,0,0,0,37
5100538,48,0,3,4,0,0,0,49
5100539,36,6,3,0,0,0,0,47
5100540,56,6,3,0,0,0,0,68
5100541,13,0,0,0,0,0,0,15
5100542,15,0,0,0,0,0,0,15
5100543,45,8,3,0,0,0,0,54
5100544,31,3,3,0,0,0,0,37
5100545,38,3,4,0,0,0,0,51
5100546,65,5,0,0,0,0,0,68
5100547,0,0,0,0,0,0,0,0
5100548,70,3,4,0,0,0,0,73
5100549,11,3,0,0,0,0,0,21
5100550,66,5,0,0,0,0,0,70
5100551,55,0,8,0,0,0,0,61
5100701,20,7,0,0,0,0,0,32
5100702,35,0,0,0,0,0,0,34
5100703,46,3,5,0,0,0,0,56
5100704,40,6,0,0,0,0,0,55
5100705,17,0,0,0,0,0,0,18
5100706,26,0,0,0,0,0,0,27
5100707,40,0,0,0,0,0,0,44
5100708,57,8,0,0,0,0,4,71
5100709,39,8,0,0,0,0,0,46
5100710,57,3,0,0,0,0,0,58
5100711,37,6,3,0,0,0,0,45
5100713,45,7,4,0,0,0,0,57
5100714,24,3,3,0,0,0,0,34
5100801,32,3,3,0,0,0,4,39
5100802,42,8,0,0,0,0,0,53
5100803,26,0,0,0,0,0,0,30
5100804,43,8,3,0,0,0,0,52
5100805,44,5,3,0,0,0,0,61
5100806,0,0,0,0,0,0,0,0
5100807,35,7,0,0,0,0,0,40
5100808,12,3,0,0,0,0,0,15
5100809,36,6,5,0,0,0,0,46
5100810,29,4,0,0,0,0,0,35
5100811,19,0,3,0,0,0,0,21
5100812,18,0,0,0,0,0,0,17
5100813,25,0,10,0,0,0,0,36
5100814,24,3,0,0,0,0,0,30
5100815,50,3,3,0,0,0,0,51
5100816,20,0,3,0,0,0,0,24
5100901,20,0,0,0,0,0,0,25
5100902,39,3,3,0,0,0,0,46
5100903,38,7,3,0,0,0,0,45
5100904,25,7,0,0,0,0,0,33
5100905,54,3,3,0,0,0,0,70
5100906,22,4,4,0,0,0,0,28
5100907,28,0,0,0,0,0,0,30
5100908,27,3,4,3,0,0,0,40
5100909,10,3,3,0,0,0,0,14
5100910,0,0,0,0,0,0,0,0
5100911,25,4,3,0,0,0,0,25
5100912,24,8,0,0,0,0,0,32
5100913,14,4,0,0,0,0,0,22
5100914,36,0,0,0,0,0,0,41
5100915,0,0,0,0,0,0,0,0
5100916,33,0,3,0,0,0,0,43
5100917,0,0,0,0,0,0,0,0
5100918,16,3,0,0,0,0,0,20
5100920,43,3,3,0,0,0,0,51
5100921,0,0,0,0,0,0,0,0
5100922,17,0,3,0,0,0,0,21
5100923,46,0,0,0,0,0,0,55
5100924,18,3,0,0,0,0,0,20
5100925,35,4,3,0,0,0,0,47
5100926,38,0,0,0,0,0,0,43
5100927,26,3,0,0,0,0,0,26
5100928,42,3,7,0,0,0,0,53
5100929,26,4,3,0,0,0,0,30
5100930,0,0,0,0,0,0,0,0
5100931,56,6,3,0,0,0,0,65
5101001,35,4,0,0,0,0,4,37
5101002,60,5,0,0,0,0,0,63
5101003,50,0,3,0,0,0,0,57
5101004,34,0,3,0,0,0,0,43
5101005,76,3,3,3,0,0,0,88
5101006,44,3,5,0,0,0,0,52
5101007,49,3,3,0,0,0,0,57
5101101,0,0,0,0,0,0,0,0
5101201,44,9,5,0,0,0,0,51
5101202,36,3,4,0,0,0,0,44
5101203,31,3,3,3,0,0,0,43
5101204,23,10,4,0,0,0,0,36
5101205,29,3,0,0,0,0,0,35
5101206,35,3,3,0,0,0,0,39
5101207,35,4,3,0,0,0,0,47
5101208,19,0,4,0,0,0,0,27
5101209,68,0,0,0,0,0,0,71
5101210,25,4,0,0,0,0,0,31
5101213,0,0,0,0,0,0,0,0
5101214,43,4,3,0,0,0,0,49
5101215,81,10,11,0,0,0,0,97
5101216,64,5,3,0,0,0,0,76
5101217,32,4,7,0,0,0,0,43
5101218,47,10,12,0,0,0,0,64
5101219,19,3,3,0,0,0,0,25
5101220,50,10,3,4,0,0,0,58
5101221,32,3,7,0,0,0,0,40
5101222,56,3,0,0,0,0,0,57
5101223,0,0,0,0,0,0,0,0
5101224,52,7,3,0,0,0,0,61
5101225,94,7,8,3,0,0,0,107
5101226,0,0,0,0,0,0,0,0
5101227,72,9,5,3,0,0,0,87
5101228,45,3,3,0,0,0,0,54
5101229,65,3,6,0,0,0,0,74
5101230,50,7,3,0,0,0,0,59
5101231,22,0,0,0,0,0,0,21
5101401,27,9,4,0,0,0,0,34
5101402,50,3,0,0,0,0,0,59
5101404,34,0,7,0,0,0,0,43
5101405,49,0,0,3,0,0,0,50
5101406,20,3,3,3,0,0,0,24
5101407,40,3,0,0,0,0,0,43
5101408,24,3,4,0,0,0,0,25
5101409,17,5,0,0,0,0,0,23
5101410,22,3,0,0,0,0,0,30
5101411,28,3,3,0,0,0,0,31
5101412,29,5,3,0,0,0,0,44
5101413,3,0,0,0,0,0,0,6
5101414,13,0,3,0,0,0,0,17
5101415,47,5,3,0,0,0,3,66
5101416,24,0,0,0,0,0,0,28
5101417,47,3,3,0,0,0,0,60
5101418,33,0,0,0,0,0,0,41
5101419,48,3,4,0,0,0,0,60
5101420,52,3,4,0,0,0,0,59
5101421,60,3,7,0,0,0,3,78
5101423,21,6,3,0,0,0,0,34
5101424,27,0,0,0,0,0,0,27
5101425,61,4,0,0,0,0,0,66
5101426,37,3,3,0,0,0,0,40
5101427,14,0,0,0,0,0,0,17
5101501,23,0,3,0,0,0,0,32
5101502,37,3,3,0,0,0,0,38
5101503,50,6,3,0,0,0,0,56
5101504,24,0,0,0,0,0,0,28
5101505,47,3,0,0,0,0,0,52
5101506,0,0,0,0,0,0,0,0
5101507,52,3,0,0,0,0,0,58
5101508,27,3,0,0,0,0,0,27
5101509,22,3,0,0,0,0,0,24
5101510,35,0,3,0,0,0,0,34
5101513,44,6,7,0,0,0,0,66
5101514,63,4,4,3,0,0,0,68
5101515,29,4,0,0,0,0,0,38
5101516,0,0,0,0,0,0,0,0
5101517,47,3,3,0,0,0,0,58
5101518,35,3,0,0,0,0,0,41
5101519,0,0,0,0,0,0,0,0
5101520,29,0,4,0,0,0,3,33
5101521,33,5,4,0,0,0,0,43
5101601,24,5,0,0,0,0,0,34
5101602,40,3,4,0,0,0,0,50
5101603,15,0,0,0,0,0,4,18
5101604,25,0,0,0,0,0,0,34
5101605,15,3,0,0,0,0,0,21
5101606,18,4,0,0,0,0,0,21
5101607,50,3,3,0,0,0,0,58
5101608,78,5,8,0,0,0,0,89
5101609,26,5,3,0,0,0,0,30
5101610,0,0,0,0,0,0,0,0
5101611,61,4,3,0,0,0,0,67
5101612,10,0,0,0,0,0,0,12
5101701,44,0,5,0,0,0,0,46
5101702,28,3,0,0,0,0,0,30
5101703,63,3,0,0,0,0,0,74
5101704,45,3,0,0,0,0,0,44
5101705,41,3,3,0,0,0,0,42
5101706,20,0,0,0,0,0,0,23
5101707,29,3,0,0,0,0,0,29
5101708,21,3,3,0,0,0,0,33
5101709,18,3,0,0,0,0,0,22
5101710,32,3,3,0,0,0,0,38
5101711,25,4,0,0,0,0,0,32
5101712,10,3,0,0,0,0,0,16
5101713,16,0,0,0,0,0,0,13
5101714,17,3,0,0,0,0,0,18
5101715,18,0,0,0,0,0,0,19
5101716,22,0,0,0,0,0,0,28
5101717,32,5,0,0,0,0,0,36
5101718,18,0,0,0,0,0,0,16
5101719,21,0,3,0,0,0,0,23
5101801,40,0,0,0,0,0,0,42
5101802,40,4,0,0,0,0,0,42
5101803,25,4,3,0,0,0,0,30
5101804,23,0,0,0,0,0,0,19
5101805,41,4,0,0,0,0,0,44
5101806,59,3,3,0,0,0,0,64
5101807,28,3,0,0,0,0,0,32
5101808,36,0,0,0,0,0,0,39
5101809,27,0,0,0,0,0,0,27
5101810,10,0,3,0,0,0,0,16
5101811,27,0,3,0,0,0,0,28
5101812,36,5,3,0,0,0,0,45
5101813,45,3,0,0,0,0,0,48
5101814,19,3,0,0,0,0,0,22
5101815,46,4,0,0,0,0,0,48
5101816,28,4,3,0,0,0,0,30
5101901,42,7,8,0,0,0,0,50
5101902,18,0,3,0,0,0,0,26
5101903,34,0,3,0,0,0,0,34
5101904,25,0,0,0,0,0,0,34
5101905,39,0,0,0,0,0,0,44
5101906,14,0,0,0,0,0,0,16
5101907,31,7,3,0,0,0,3,40
5101908,36,0,0,0,0,0,0,35
5101909,49,3,0,0,0,0,0,56
5101910,50,0,0,0,0,0,0,48
5101911,30,0,0,0,0,0,0,33
5101912,16,3,0,0,0,0,0,20
5101913,29,0,3,0,0,0,0,32
5101914,47,3,3,0,0,0,0,52
5101915,17,3,0,0,0,0,0,23
5101916,13,3,0,0,0,0,0,13
5102001,12,0,0,0,0,0,0,14
5102002,16,0,0,0,0,0,0,19
5102003,26,0,0,0,0,0,0,29
5102004,42,0,0,0,0,0,0,46
5102005,47,0,4,0,0,0,0,49
5102006,26,0,0,0,0,0,0,27
5102007,18,0,3,0,0,0,0,26
5102008,11,0,0,0,0,0,0,13
5102009,44,4,3,0,0,0,0,52
5102010,32,3,0,0,0,0,0,37
5102011,13,0,3,0,0,0,0,14
5102012,30,0,7,0,0,0,0,31
5102013,21,0,0,0,0,0,0,21
5102014,41,5,0,0,0,0,0,50
5102101,39,3,3,0,0,0,0,47
5102102,30,5,0,0,0,0,0,40
5102103,22,9,4,0,0,0,0,34
5102104,68,13,5,0,0,0,0,87
5102105,70,7,4,0,0,0,0,81
5102106,33,3,0,0,0,0,0,33
5102107,40,0,0,0,0,0,0,43
5102108,32,3,0,0,0,0,0,42
5102109,53,5,3,0,0,0,0,65
5102110,0,0,0,0,0,0,0,0
5102111,25,0,0,0,0,0,0,29
5102112,21,5,0,0,0,0,0,26
5102113,57,8,5,0,0,0,0,78
5102114,36,0,0,0,0,0,0,37
5102115,29,0,3,0,0,0,0,37
5102116,91,4,4,0,0,0,0,100
5102117,22,0,0,0,0,0,0,22
5102201,27,3,0,0,0,0,0,28
5102202,18,4,0,0,0,0,0,27
5102203,23,5,0,0,0,0,0,30
5102204,101,6,8,0,0,0,0,115
5102205,52,3,6,0,0,0,0,59
5102206,40,0,0,0,0,0,0,40
5102207,30,3,4,0,0,0,0,34
5102208,23,3,3,0,0,0,0,34
5102209,20,6,3,0,0,0,0,22
5102210,31,0,3,0,0,0,0,34
5102211,69,7,3,0,0,0,0,78
5102212,26,0,0,0,0,0,0,31
5102213,37,3,0,0,0,0,0,36
5102214,38,3,3,0,0,0,0,46
5102215,26,4,6,0,0,0,0,35
5102216,24,3,0,0,0,0,0,22
5102217,10,0,0,0,0,0,0,13
5102218,27,4,7,0,0,0,0,34
5102219,82,4,0,0,0,0,0,90
5102220,32,10,0,0,0,0,0,46
5102301,35,9,3,0,0,0,3,54
5102302,12,0,0,0,0,0,0,17
5102303,43,0,0,0,0,0,0,40
5102304,32,4,3,0,0,0,0,36
5102306,33,6,7,0,0,0,0,47
5102307,28,11,0,0,0,0,0,41
5102308,43,5,3,3,0,0,0,55
5102309,58,6,0,0,0,0,0,62
5102310,52,9,0,0,0,0,0,62
5102311,35,0,0,0,0,0,0,40
5102312,31,5,3,0,0,0,0,37
5102314,27,4,0,3,0,0,0,36
5102315,17,3,3,0,0,0,0,20
5102316,18,0,0,0,0,0,0,18
5102317,33,3,7,3,0,0,0,46
5102318,38,6,4,0,0,0,0,46
5102319,40,3,5,0,0,0,0,46
5102320,43,4,3,0,0,0,0,56
5102321,0,0,0,0,0,0,0,0
5102322,0,0,0,0,0,0,0,0
5102323,28,4,0,0,0,0,0,36
5102324,23,4,3,0,0,0,0,32
5102325,51,8,3,3,0,0,0,62
5102326,34,8,0,0,0,0,0,42
5102401,31,0,0,0,0,0,0,37
5102402,18,8,0,0,0,0,0,29
5102403,39,0,6,0,0,0,0,50
5102404,27,0,0,0,0,0,0,27
5102405,30,3,0,0,0,0,0,36
5102406,59,4,0,0,0,0,0,63
5102407,39,3,5,0,0,0,0,48
5102408,41,3,3,0,0,0,0,52
5102409,19,5,0,0,0,0,0,28
5102410,75,3,5,0,0,0,0,80
5102411,39,3,0,0,0,0,0,48
5102412,23,9,0,0,0,0,0,37
5102413,34,0,5,0,0,0,0,37
5102414,41,7,0,0,0,0,0,53
5102415,48,3,4,0,0,0,0,55
5102416,119,6,0,0,0,0,0,127
5102417,83,7,5,0,0,0,0,94
5102418,0,0,0,0,0,0,0,0
5102419,30,3,0,0,0,0,0,37
5102420,17,0,3,0,0,0,0,19
5102421,65,3,6,0,0,0,0,71
5102422,45,3,11,0,0,0,0,58
5102423,55,3,5,0,0,0,0,59
5102424,35,0,3,0,0,0,0,40
5102425,35,0,4,0,0,0,0,42
5102426,28,6,0,0,0,0,0,35
5102427,197,15,12,0,0,0,0,220
5102428,47,7,4,0,0,0,0,60
5102429,43,13,0,0,0,0,0,59
5102430,32,0,0,0,0,0,0,38
5102431,28,0,0,0,0,0,0,25
5102432,49,4,0,0,0,0,0,57
5102433,41,0,0,0,0,0,0,43
5102434,27,0,4,0,0,0,0,28
5102436,33,3,4,3,0,0,0,48
5102437,33,6,0,0,0,0,0,43
5102438,0,0,0,0,0,0,0,0
5102439,57,3,3,0,0,0,0,69
5102440,78,7,10,0,0,0,0,103
5102441,0,0,0,0,0,0,0,0
5102501,20,3,0,0,0,0,0,19
5102503,9,0,0,0,0,0,0,12
5102504,24,10,0,0,0,0,0,29
5102505,45,3,3,0,0,0,0,51
5102506,27,0,3,0,0,0,0,31
5102507,29,3,0,0,0,0,0,33
5102508,16,0,5,0,0,0,0,21
5102509,11,3,0,0,0,0,0,15
5102510,21,0,3,0,0,0,0,22
5102511,25,3,0,0,0,0,0,31
5102512,13,0,0,0,0,0,0,13
5102513,12,0,0,0,0,0,0,15
5102514,24,3,4,0,0,0,0,33
5102515,17,0,3,0,0,0,0,18
5102516,33,5,4,0,0,0,0,42
5102517,12,3,0,0,0,0,0,12
5102518,21,4,0,0,0,0,0,27
5102519,22,3,0,0,0,0,0,28
5102520,27,5,7,0,0,0,0,36
5102522,6,0,0,0,0,0,0,3
5102523,30,4,0,0,0,0,0,36
5102524,0,0,0,0,0,0,0,0
5102525,0,0,0,0,0,0,0,0
5102526,16,4,0,0,0,0,0,18
5102601,19,3,5,3,0,0,0,29
5102602,47,6,0,0,0,0,0,51
5102603,42,3,0,0,0,0,0,48
5102604,30,4,0,0,0,0,0,38
5102605,38,0,0,0,0,0,0,38
5102606,26,0,3,0,0,0,0,33
5102607,23,4,0,0,0,0,0,37
5102608,22,0,0,0,0,0,0,22
5102609,35,3,3,0,0,0,0,41
5102611,13,0,0,0,0,0,0,15
5102612,4,3,3,0,0,0,0,12
5102613,24,3,3,0,0,0,0,29
5102614,24,3,0,0,0,0,0,26
5102615,15,4,3,0,0,0,0,19
5102616,25,0,0,0,0,0,0,28
5102617,63,8,0,0,0,0,0,73
5102705,37,6,4,0,0,0,0,45
5102706,31,5,0,0,0,0,0,44
5102707,44,3,0,0,0,0,0,44
5102708,65,5,3,3,0,0,0,74
5102709,38,3,9,0,0,0,0,50
5102710,44,9,0,4,0,0,0,58
5102712,24,0,3,0,0,0,0,32
5102713,9,3,0,0,0,0,0,10
5102716,93,6,9,3,0,0,0,114
5102717,44,4,0,0,0,0,0,46
5102720,10,0,0,0,0,0,0,20
5102721,53,3,3,0,0,0,0,56
5102722,42,10,3,0,0,0,0,53
5102723,50,10,8,0,0,0,0,64
5102724,66,8,6,0,0,0,0,77
5102725,75,3,0,0,0,0,0,79
5102726,3,3,0,0,0,0,0,3
5102727,47,11,4,0,0,0,0,59
5102728,127,8,4,3,0,0,0,139
5102729,49,8,4,0,0,0,0,60
5102730,84,10,3,0,0,0,0,102
5102731,64,8,7,0,0,0,0,79
5102732,51,4,9,0,0,0,0,65
5102733,51,6,3,0,0,0,0,55
5102734,30,0,0,0,0,0,0,31
5102735,58,3,0,3,0,0,0,60
5102736,29,3,0,0,0,0,0,33
5102737,69,3,8,0,0,0,0,79
5102738,66,11,5,0,0,0,0,86
5102739,49,4,0,0,0,0,0,56
5102740,50,7,3,0,0,0,0,64
5102741,0,0,0,0,0,0,0,0
5102742,39,0,4,0,0,0,0,41
5102743,49,3,3,0,0,0,0,56
5102744,17,4,0,0,0,0,0,22
5102745,51,4,0,0,0,0,0,60
5102746,80,3,6,0,0,0,0,91
5102747,0,0,0,0,0,0,0,0
5102748,27,0,0,0,0,0,0,31
5102749,32,0,3,0,0,0,0,36
5102750,50,8,9,3,0,0,0,71
5102751,65,8,4,0,0,0,0,78
5102801,26,3,3,3,0,0,0,38
5102802,10,3,0,0,0,0,0,19
5102804,33,7,3,0,0,0,0,49
5102805,33,6,0,0,0,0,0,38
5102807,14,0,0,0,0,0,0,21
5102808,21,3,3,0,0,0,0,29
5102809,38,3,3,0,0,0,0,43
5102811,29,0,0,0,0,0,0,30
5102812,65,11,6,0,0,0,0,81
5102813,42,8,0,0,0,0,0,50
5102814,23,5,3,0,0,0,0,35
5102815,3,0,3,0,0,0,0,9
5102816,22,5,0,0,0,0,0,26
5102817,16,0,0,0,0,0,0,16
5102818,27,9,0,0,0,0,0,29
5102819,28,4,3,0,0,0,0,37
5102820,15,0,5,0,0,0,0,20
5102821,22,0,3,0,0,0,0,28
5102822,28,5,0,0,0,0,0,37
5102823,0,0,0,0,0,0,0,0
5102824,3,0,0,0,0,0,0,8
5102825,42,3,4,0,0,0,0,48
5102826,16,0,0,0,0,0,0,23
5102827,0,0,0,0,0,0,0,0
5102828,15,0,0,0,0,0,0,16
5102829,16,0,0,0,0,0,0,19
5102830,36,4,4,0,0,0,0,47
5102901,0,0,0,0,0,0,0,0
5102904,20,7,0,0,0,0,0,24
5102905,20,0,0,0,0,0,0,24
5102907,34,0,0,0,0,0,0,35
5102909,33,5,3,0,0,0,0,38
5102910,43,10,3,0,0,0,3,64
5102912,51,3,4,0,0,0,0,61
5102913,51,3,0,0,0,0,0,55
5102914,33,7,5,0,0,0,0,47
5102915,29,7,0,0,0,0,0,43
5102916,30,3,0,0,0,0,0,39
5102917,31,3,0,3,0,0,3,33
5102919,23,3,0,0,0,0,0,28
5102920,11,0,0,0,0,0,0,13
5102921,28,0,0,0,0,0,0,31
5102922,42,3,5,0,0,0,4,52
5102923,66,9,9,0,4,0,0,81
5102924,35,3,5,0,0,0,0,44
5102925,58,3,3,3,0,0,0,69
5102926,0,0,0,0,0,0,0,0
5102927,0,0,0,0,0,0,0,0
5102928,56,3,3,0,0,0,0,60
5102929,53,8,3,0,0,0,0,59
5102930,19,3,0,0,0,0,0,26
5102931,41,3,4,3,0,0,0,50
5102932,51,6,3,0,0,0,0,65
5103001,18,0,0,0,0,0,0,22
5103002,60,0,0,0,0,0,0,57
5103003,0,0,0,0,0,0,0,0
5103004,0,0,0,0,0,0,0,0
5103005,0,0,0,0,0,0,0,0
5103006,0,0,0,0,0,0,0,0
5103007,68,5,0,0,0,0,0,68
5103008,71,3,0,0,0,0,0,72
5103009,82,0,4,0,0,0,0,81
5103010,74,7,0,0,0,0,0,74
5103011,102,6,0,0,0,0,3,109
5103012,61,0,0,0,0,0,0,63
5103013,72,3,0,0,0,0,0,78
5103014,37,3,0,0,0,0,0,42
5103015,101,4,0,0,0,0,0,107
5103016,73,3,4,0,0,0,0,80
5103017,27,3,3,0,0,0,0,35
5103018,69,3,0,0,0,0,0,73
5103101,26,0,0,0,0,0,0,25
5103102,0,0,0,0,0,0,0,0
5103103,52,9,0,0,0,0,0,60
5103104,34,4,0,0,0,0,0,37
5103105,35,5,0,0,0,0,0,36
5103106,63,3,0,0,0,0,0,70
5103107,16,0,0,0,0,0,0,22
5103108,44,7,0,0,0,0,0,47
5103109,27,3,0,0,0,0,0,30
5103110,23,0,0,0,0,0,0,23
5103111,31,3,0,0,0,0,0,36
5103112,30,0,0,0,0,0,0,34
5103113,56,4,0,0,0,0,0,63
5103114,50,0,0,0,0,0,0,56
5103115,52,3,0,0,0,0,0,61
5103116,0,0,0,0,0,0,0,0
5103117,43,4,0,0,0,0,0,46
5103118,33,7,0,0,0,0,0,36
5103119,42,0,0,0,0,0,0,42
5103120,19,0,0,0,0,0,0,19
5103121,55,5,0,0,0,0,0,62
5103201,32,0,0,0,0,0,0,33
5103202,24,3,0,0,0,0,0,25
5103203,30,4,3,0,0,0,0,40
5103204,41,8,0,0,0,0,0,48
5103205,63,3,0,0,0,0,0,69
5103206,39,3,0,0,0,0,0,46
5103207,22,0,0,0,0,0,0,24
