SA2_MAINCODE_2016,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_T,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_v,P55_64_yr_T,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_T,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_v,P65_74_yr_T,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_T,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_v,P75_84_yr_T,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_T,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_v,P85ovr_T,PT_C_Own_chld_childrn,PT_C_Oth_ch_chiln,PT_Ca_Ow_ch_ch_oth_ch_ch,PT_C_for_T,PT_D_not_prov_ch_care,PT_U_ch_care_ns,PT_OS_v,PT_T
506051140,73,362,3,438,1452,100,7,2001,28,461,4,485,1277,79,5,1850,3,67,0,68,869,93,13,1047,0,0,0,0,261,54,0,314,2201,1198,104,3511,7828,638,66,12032
506051141,61,253,3,315,1033,94,5,1443,9,255,4,268,892,89,9,1260,0,57,0,64,501,75,0,643,0,9,0,9,187,51,4,243,1838,817,85,2741,5661,552,67,9024
506061142,41,248,0,293,820,56,37,1207,3,122,0,126,514,30,15,679,3,18,0,19,234,14,3,276,3,0,0,4,84,6,0,97,3492,910,148,4552,6263,600,98,11513
506061143,40,134,0,172,577,47,3,803,5,96,0,98,345,35,7,485,0,8,0,8,142,23,0,172,3,3,0,4,38,10,0,49,1127,457,40,1628,3029,296,27,4981
506061144,22,75,0,98,398,86,3,587,5,49,0,55,331,47,3,442,0,10,0,10,155,35,3,207,0,0,0,0,31,8,0,44,614,264,22,908,1982,646,31,3564
506071145,65,194,0,257,1250,125,32,1660,15,193,0,212,832,74,22,1142,0,50,0,52,510,82,5,652,0,0,0,0,303,94,0,395,1854,664,33,2556,8585,942,166,12245
506071146,81,196,4,280,997,67,23,1363,17,215,0,230,648,79,19,972,0,35,0,40,425,77,9,556,0,0,0,0,258,142,0,402,1603,640,56,2300,6438,680,260,9675
506071147,112,235,3,345,1624,159,47,2170,9,286,0,299,1085,115,39,1537,5,46,0,51,480,60,7,599,0,0,0,0,295,32,4,325,2391,856,94,3346,9477,1099,294,14221
507011148,58,234,0,289,850,51,67,1250,17,165,0,178,469,22,52,718,4,19,0,25,232,15,4,273,3,0,0,3,98,3,0,105,4178,812,144,5135,6905,509,221,12771
507011150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
