SA2_MAINCODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christian_Assyrian_Apostol_M,Christian_Assyrian_Apostol_F,Christian_Assyrian_Apostol_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christian_Churches_Christ_M,Christian_Churches_Christ_F,Christian_Churches_Christ_P,Christian_Eastern_Orthodox_M,Christian_Eastern_Orthodox_F,Christian_Eastern_Orthodox_P,Christian_Jehovah_Witnesses_M,Christian_Jehovah_Witnesses_F,Christian_Jehovah_Witnesses_P,Christian_Latter_Day_Saints_M,Christian_Latter_Day_Saints_F,Christian_Latter_Day_Saints_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christian_Oriental_Orthodox_M,Christian_Oriental_Orthodox_F,Christian_Oriental_Orthodox_P,Christian_Other_Protestant_M,Christian_Other_Protestant_F,Christian_Other_Protestant_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christian_Presbyt_Reformed_M,Christian_Presbyt_Reformed_F,Christian_Presbyt_Reformed_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christian_Sevnth_day_Advent_M,Christian_Sevnth_day_Advent_F,Christian_Sevnth_day_Advent_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Oth_Rel_Aus_Abor_Trad_Rel_M,Oth_Rel_Aus_Abor_Trad_Rel_F,Oth_Rel_Aus_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Oth_Relig_Oth_Rel_Groups_M,Oth_Relig_Oth_Rel_Groups_F,Oth_Relig_Oth_Rel_Groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_No_Religion_M,SB_OSB_NRA_No_Religion_F,SB_OSB_NRA_No_Religion_P,SB_OSB_NRA_Sec_Beliefs_M,SB_OSB_NRA_Sec_Beliefs_F,SB_OSB_NRA_Sec_Beliefs_P,SB_OSB_NRA_Oth_Sp_Beliefs_M,SB_OSB_NRA_Oth_Sp_Beliefs_F,SB_OSB_NRA_Oth_Sp_Beliefs_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
501021012,44,56,100,952,1171,2116,0,0,0,133,150,282,0,0,0,1056,1191,2243,15,26,43,12,12,23,36,46,79,41,32,69,15,19,37,0,0,0,24,24,49,42,57,103,60,83,147,5,6,15,16,15,25,140,195,336,190,194,392,0,5,6,2734,3222,5959,26,20,42,40,47,78,0,0,0,0,0,0,13,10,25,3,26,30,18,38,55,2115,1978,4098,15,10,31,7,7,19,2141,2002,4145,478,457,934,19,39,60,5505,5873,11374
501021014,19,35,50,761,835,1599,0,0,0,58,61,115,0,0,0,1249,1183,2436,23,26,48,7,12,21,21,22,45,21,23,44,9,5,16,0,0,0,18,15,31,9,5,19,94,82,177,9,4,12,17,22,44,105,125,232,164,178,344,0,3,4,2573,2616,5188,0,3,9,10,3,13,0,0,0,0,0,0,0,0,0,7,22,26,7,17,23,1347,1139,2481,16,12,25,5,9,15,1363,1163,2527,496,489,989,47,35,74,4519,4357,8878
501021015,40,57,99,501,614,1118,0,0,0,51,53,102,0,0,0,696,876,1572,10,15,32,28,36,57,24,23,43,36,47,79,10,18,28,0,0,0,24,15,41,36,42,74,60,62,126,5,8,19,18,13,34,64,108,175,95,106,197,0,4,6,1651,2036,3689,19,16,34,27,17,41,0,0,0,0,0,0,7,13,20,10,17,22,14,22,43,1135,1075,2212,14,7,21,5,5,13,1155,1089,2248,283,285,566,16,22,38,3204,3551,6752
501021016,8,18,31,344,410,751,0,0,0,20,29,43,0,0,0,516,522,1036,0,3,3,0,0,7,6,7,11,8,7,15,7,3,8,0,0,0,5,9,16,3,11,10,32,42,75,5,7,12,7,3,7,49,66,122,41,53,90,0,0,0,1049,1171,2215,0,0,0,6,3,11,0,0,0,0,0,0,5,4,9,9,13,20,14,21,29,634,545,1178,3,3,8,0,4,4,638,553,1188,264,259,522,3,5,7,1979,2025,4003
501021251,29,37,62,582,750,1335,0,0,0,118,120,238,0,0,0,777,887,1666,10,12,24,24,21,47,33,32,64,32,26,59,18,32,44,3,0,3,25,27,44,56,68,122,102,124,226,9,7,10,7,12,18,67,96,165,208,248,455,22,16,36,2083,2484,4567,32,25,59,34,26,64,0,3,4,0,0,0,9,5,15,13,31,45,18,39,57,1624,1518,3141,13,14,26,3,5,8,1643,1536,3178,345,358,710,15,27,42,4205,4544,8747
501021252,15,14,27,298,350,648,0,0,0,26,23,43,0,0,0,284,322,606,4,3,3,3,12,16,0,4,3,13,12,21,14,7,28,0,0,0,3,3,10,9,10,20,40,28,71,0,0,0,8,3,8,36,39,79,32,33,60,0,3,3,769,847,1619,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,4,14,17,4,14,17,506,491,997,5,3,11,3,7,7,513,495,1016,103,101,203,6,6,11,1402,1489,2899
501021253,49,101,155,931,1192,2125,0,0,0,71,82,152,0,0,0,1302,1470,2776,15,22,31,29,18,44,16,32,46,27,30,57,9,32,42,3,4,4,26,45,73,38,54,92,81,78,160,13,16,28,9,20,31,143,222,368,161,192,361,11,16,26,2877,3534,6413,62,46,109,38,36,79,9,8,22,0,0,0,19,14,31,16,17,35,36,30,60,2003,1769,3764,24,23,45,13,13,25,2034,1802,3832,634,612,1244,56,72,127,5802,6228,12037
501021254,28,37,63,407,449,853,0,0,0,52,50,103,0,0,0,391,446,836,6,5,10,0,9,9,25,40,63,15,11,27,12,3,17,0,0,0,3,8,14,16,18,35,22,27,51,16,21,32,3,14,16,42,67,109,92,103,192,3,4,12,1103,1274,2375,10,7,18,27,24,50,0,0,0,0,0,3,4,3,10,14,12,27,16,16,31,978,939,1915,5,3,9,0,10,8,985,951,1940,285,274,558,11,16,26,2460,2604,5063
501031017,23,39,65,669,744,1409,0,0,0,38,44,88,0,0,0,439,528,963,10,17,28,10,12,21,11,21,35,7,5,11,9,14,28,0,0,0,15,11,23,7,4,11,61,50,109,3,3,5,14,13,25,105,132,236,75,92,167,0,8,7,1477,1699,3173,3,0,3,0,0,3,0,3,3,0,0,0,0,0,0,9,27,33,9,31,34,1179,1054,2233,11,17,27,6,12,20,1196,1080,2278,320,328,648,19,21,36,3052,3194,6245
501031018,25,32,63,478,579,1059,0,0,0,30,23,58,0,0,0,531,532,1065,10,21,28,9,0,9,31,41,75,0,0,3,12,11,24,0,0,0,19,7,23,7,16,21,41,51,95,9,3,9,13,22,39,106,113,220,70,80,157,0,3,3,1366,1511,2882,3,7,15,14,8,25,8,8,13,4,3,5,0,0,0,18,24,39,15,24,40,994,922,1916,9,6,16,3,3,9,1008,928,1939,311,343,655,28,35,65,2784,2900,5688
