SA2_MAINCODE_2016,R_0_74_RE_agent,R_0_74_StateTer_HAuthority,R_0_74_Person_not_same_hh,R_0_74_HouCoOp_ComChuGrp,R_0_74_Oth_type,R_0_74_Not_stated,R_0_74_Total,R_75_99_RE_agent,R_75_99_StateTer_HAuthority,R_75_99_Person_not_same_hh,R_75_99_HouCoOp_ComChuGrp,R_75_99_Oth_type,R_75_99_Not_stated,R_75_99_Total,R_100_149_RE_agent,R_100_149_StateTer_HAuthority,R_100_149_Person_not_same_hh,R_100_149_HouCoOp_ComChuGrp,R_100_149_Oth_type,R_100_149_Not_stated,R_100_149_Total,R_150_199_RE_agent,R_150_199_StateTer_HAuthority,R_150_199_Person_not_same_hh,R_150_199_HouCoOp_ComChuGrp,R_150_199_Oth_type,R_150_199_Not_stated,R_150_199_Total,R_200_224_RE_agent,R_200_224_StateTer_HAuthority,R_200_224_Person_not_same_hh,R_200_224_HouCoOp_ComChuGrp,R_200_224_Oth_type,R_200_224_Not_stated,R_200_224_Total,R_225_274_RE_agent,R_225_274_StateTer_HAuthority,R_225_274_Person_not_same_hh,R_225_274_HouCoOp_ComChuGrp,R_225_274_Oth_type,R_225_274_Not_stated,R_225_274_Total,R_275_349_RE_agent,R_275_349_StateTer_HAuthority,R_275_349_Person_not_same_hh,R_275_349_HouCoOp_ComChuGrp,R_275_349_Oth_type,R_275_349_Not_stated,R_275_349_Total,R_350_449_RE_agent,R_350_449_StateTer_HAuthority,R_350_449_Person_not_same_hh,R_350_449_HouCoOp_ComChuGrp,R_350_449_Oth_type,R_350_449_Not_stated,R_350_449_Total,R_450_549_RE_agent,R_450_549_StateTer_HAuthority,R_450_549_Person_not_same_hh,R_450_549_HouCoOp_ComChuGrp,R_450_549_Oth_type,R_450_549_Not_stated,R_450_549_Total,R_550_649_RE_agent,R_550_649_StateTer_HAuthority,R_550_649_Person_not_same_hh,R_550_649_HouCoOp_ComChuGrp,R_550_649_Oth_type,R_550_649_Not_stated,R_550_649_Total,R_650_749_RE_agent,R_650_749_StateTer_HAuthority,R_650_749_Person_not_same_hh,R_650_749_HouCoOp_ComChuGrp,R_650_749_Oth_type,R_650_749_Not_stated,R_650_749_Total,R_750_849_RE_agent,R_750_849_StateTer_HAuthority,R_750_849_Person_not_same_hh,R_750_849_HouCoOp_ComChuGrp,R_750_849_Oth_type,R_750_849_Not_stated,R_750_849_Total,R_850_949_RE_agent,R_850_949_StateTer_HAuthority,R_850_949_Person_not_same_hh,R_850_949_HouCoOp_ComChuGrp,R_850_949_Oth_type,R_850_949_Not_stated,R_850_949_Total,R_950over_RE_agent,R_950over_StateTer_HAuthority,R_950over_Person_not_same_hh,R_950over_HouCoOp_ComChuGrp,R_950over_Oth_type,R_950over_Not_stated,R_950over_Total,R_NS_RE_agent,R_NS_StateTer_HAuthority,R_NS_Person_not_same_hh,R_NS_HouCoOp_ComChuGrp,R_NS_Oth_type,R_NS_Not_stated,R_NS_Total,Total_RE_agent,Total_StateTer_HAuthority,Total_Person_not_same_hh,Total_HouCoOp_ComChuGrp,Total_Oth_type,Total_NS,Total_Total
507031261,0,0,5,0,0,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,5,0,0,4,0,0,0,4,16,0,3,0,3,0,20,140,0,33,0,0,0,174,34,0,7,0,0,0,43,9,0,6,0,0,0,16,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,200,0,79,0,4,4,294
507041175,0,0,44,0,3,12,56,0,0,3,0,0,0,3,0,0,6,0,0,0,12,3,0,9,0,0,0,12,5,0,8,0,0,0,15,8,0,10,0,0,0,22,78,0,21,0,7,3,109,144,0,72,0,4,0,220,151,0,66,0,3,0,221,82,0,35,0,0,0,117,61,0,10,0,0,0,73,46,0,8,0,0,0,54,29,0,7,0,0,0,33,60,0,13,0,0,0,70,17,0,3,0,3,0,24,683,7,318,4,21,15,1045
507041176,0,0,7,0,0,6,9,0,3,0,0,0,0,5,0,12,5,0,0,0,14,0,3,5,0,0,0,5,0,0,0,0,0,0,3,0,0,7,0,0,0,11,16,0,14,0,0,0,27,42,0,18,0,0,0,62,69,0,20,0,0,0,88,23,0,12,0,0,0,38,7,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,6,0,0,0,9,162,18,96,0,0,4,283
507041177,9,7,28,0,0,23,71,0,20,0,0,0,0,23,0,114,18,0,0,0,130,0,28,23,9,0,0,64,28,14,22,0,0,0,65,26,14,22,0,4,0,66,106,11,77,0,4,0,191,352,3,141,0,0,0,494,145,0,68,0,4,0,222,70,0,21,0,0,0,86,28,0,8,0,0,0,37,7,0,4,0,0,0,18,4,0,0,0,0,0,4,7,0,3,0,0,0,16,9,17,13,0,0,0,43,793,231,449,17,17,30,1533
507041178,4,3,35,0,3,15,62,0,6,3,0,0,0,9,0,55,13,3,3,0,68,7,32,16,5,3,0,61,5,4,10,0,0,0,23,18,8,21,0,0,0,54,73,4,51,3,0,0,134,225,0,118,0,4,0,344,186,0,64,0,0,0,252,101,0,32,0,0,0,133,58,0,15,0,0,0,68,41,0,10,0,0,0,46,17,0,0,0,0,0,19,26,0,8,0,0,0,40,7,5,9,0,0,0,28,752,127,400,12,22,22,1333
507041179,0,0,19,0,0,6,26,0,0,0,3,0,0,8,0,12,4,11,3,0,33,0,0,8,0,3,0,14,0,0,3,0,0,0,4,0,0,8,0,0,0,11,12,0,10,3,0,0,26,104,0,50,0,0,0,157,122,0,34,0,4,0,163,34,0,10,0,0,0,39,10,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,20,289,18,159,28,12,11,514
507041180,0,0,10,0,0,3,17,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,0,4,0,0,0,11,6,0,0,0,0,0,9,3,0,11,0,0,0,8,7,0,15,0,0,0,26,75,0,46,0,0,0,120,126,0,46,0,4,0,175,57,0,14,0,0,0,72,9,0,8,0,0,0,15,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,289,6,164,3,4,10,467
507041181,3,0,34,0,3,18,59,0,0,3,0,0,0,4,3,10,14,0,0,0,29,9,3,15,0,0,0,24,9,3,16,0,0,0,26,21,0,22,0,9,0,59,68,0,48,0,4,3,117,222,3,112,0,7,0,346,134,0,83,0,3,0,221,82,0,25,0,3,0,108,36,0,15,0,0,0,56,22,0,10,0,0,0,31,12,0,4,0,0,0,14,28,0,3,0,0,0,31,6,0,17,0,0,6,31,651,19,415,12,35,21,1162
507041182,0,0,24,0,3,11,42,0,0,0,0,0,0,6,0,9,17,3,3,0,30,11,8,16,0,3,0,34,3,0,3,0,3,0,11,5,0,12,0,0,0,19,39,0,39,0,4,5,92,183,4,85,0,3,3,277,150,0,60,0,4,0,217,62,0,25,0,0,0,90,15,0,6,0,0,0,20,3,0,3,0,0,0,8,3,0,0,0,0,0,3,0,0,4,0,0,0,4,4,0,15,4,0,0,29,477,18,305,11,31,19,861
507041183,0,25,8,0,0,10,37,0,15,0,0,0,0,19,0,160,3,0,0,0,165,0,63,5,0,0,0,74,0,21,3,4,0,0,26,0,13,6,0,3,0,23,37,13,23,5,3,0,80,86,12,47,0,5,3,159,47,0,22,0,0,0,66,12,0,4,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,21,0,0,0,0,37,194,352,111,12,14,17,706
