SA2_MAINCODE_2016,Couple_fam_with_no_child_F,Couple_fam_with_no_child_P,Co_f_ch_u_15_de_st_no_de_ch_F,Co_f_ch_u_15_de_st_no_de_ch_P,Co_f_c_u_15_d_st_no_no_d_c_F,Co_f_c_u_15_d_st_no_no_d_c_P,Co_f_c_u_15_no_d_st_no_d_c_F,Co_f_c_u_15_no_d_st_no_d_c_P,Co_f_c_u_15_n_d_st_n_n_d_c_F,Co_f_c_u_15_n_d_st_n_n_d_c_P,Cou_fam_with_child_u_15_Tot_F,Cou_fam_with_child_u_15_Tot_P,Co_f_no_c_u_15_d_st_no_d_c_F,Co_f_no_c_u_15_d_st_no_d_c_P,Co_f_n_c_u_15_d_st_n_n_d_c_F,Co_f_n_c_u_15_d_st_n_n_d_c_P,Co_f_n_c_u_15_n_d_st_n_d_c_F,Co_f_n_c_u_15_n_d_st_n_d_c_P,Cou_fam_no_ch_u_15_Tot_F,Cou_fam_no_ch_u_15_Tot_P,Couple_family_Tot_F,Couple_family_Tot_P,OnePF_CU15_DS_no_de_c_F,OnePF_CU15_DS_no_de_c_P,OnePF_CU15_DS_no_no_d_c_F,OnePF_CU15_DS_no_no_d_c_P,OnePF_CU15_no_DS_no_d_c_F,OnePF_CU15_no_DS_no_d_c_P,OnePF_CU15_no_DS_n_n_d_c_F,OnePF_CU15_no_DS_n_n_d_c_P,OnePF_CU15_Tot_F,OnePF_CU15_Tot_P,OneFP_no_CU15_DS_no_d_c_F,OnePF_no_CU15_DS_no_d_c_P,OnePF_no_CU15_DS_n_n_d_c_F,OnePF_no_CU15_DS_n_n_d_c_P,OnePF_no_CU15_no_DS_n_d_c_F,OnePF_no_CU15_no_DS_n_d_c_P,OnePF_no_CU15_Tot_F,OnePF_no_CU15_Tot_P,OnePF_Tot_F,OnePF_Tot_P,Other_family_F,Other_family_P,Tot_F,Tot_P
506041136,1180,2359,43,277,153,748,46,217,880,3403,1122,4646,77,360,89,305,283,884,451,1547,1573,6192,7,35,32,136,20,102,245,692,312,964,23,68,53,128,232,513,308,703,615,1670,62,133,3433,10354
506041137,2280,4549,67,385,305,1477,90,393,1540,5977,2000,8239,172,726,234,812,655,2068,1057,3606,3058,11839,16,60,80,291,32,107,334,923,455,1386,51,172,80,182,394,856,523,1219,983,2601,105,231,6432,19218
506051138,1787,3504,49,276,223,1071,94,408,1417,5392,1789,7160,106,454,124,428,423,1320,651,2211,2443,9364,11,65,71,261,26,92,289,783,396,1196,42,146,63,144,280,605,388,890,784,2086,85,182,5092,15138
506051139,1242,2443,35,176,131,624,52,244,808,3064,1026,4103,64,247,71,233,290,922,425,1398,1449,5497,9,41,32,124,14,66,234,648,297,872,34,106,55,115,218,475,302,698,602,1571,46,98,3339,9609
506051140,1921,3755,30,187,190,852,55,258,863,3384,1142,4684,120,505,183,631,439,1346,742,2485,1884,7162,3,23,37,129,11,32,149,405,206,588,31,82,59,131,186,381,270,597,472,1189,42,92,4322,12199
506051141,1210,2375,23,150,189,869,43,179,701,2801,961,3999,94,389,154,526,313,985,567,1895,1522,5897,8,35,24,91,18,59,111,282,159,458,30,98,49,116,143,296,225,506,379,965,25,64,3141,9294
506061142,1486,2900,45,280,176,867,85,378,1558,5952,1864,7474,82,355,99,338,270,858,457,1550,2322,9023,13,67,37,123,30,106,306,879,386,1172,20,71,39,91,142,315,209,476,592,1649,45,98,4448,13672
506061143,656,1300,35,187,88,412,40,206,421,1704,582,2502,76,304,64,224,207,659,354,1194,937,3697,4,6,7,22,3,19,54,143,67,194,13,27,12,38,73,152,98,214,171,407,18,33,1778,5445
506061144,515,1029,11,62,55,255,28,116,239,945,333,1373,28,98,33,100,112,339,170,535,497,1912,0,0,3,11,6,28,48,131,62,173,3,4,11,28,37,82,59,120,114,288,15,22,1143,3255
506071145,1688,3291,8,29,75,329,9,43,775,2755,863,3154,49,184,145,490,158,497,349,1175,1216,4333,5,10,35,95,8,26,167,414,208,544,21,76,101,218,162,324,281,617,493,1167,170,358,3563,9147
