SA2_MAINCODE_2016,Couple_fam_with_no_child_F,Couple_fam_with_no_child_P,Co_f_ch_u_15_de_st_no_de_ch_F,Co_f_ch_u_15_de_st_no_de_ch_P,Co_f_c_u_15_d_st_no_no_d_c_F,Co_f_c_u_15_d_st_no_no_d_c_P,Co_f_c_u_15_no_d_st_no_d_c_F,Co_f_c_u_15_no_d_st_no_d_c_P,Co_f_c_u_15_n_d_st_n_n_d_c_F,Co_f_c_u_15_n_d_st_n_n_d_c_P,Cou_fam_with_child_u_15_Tot_F,Cou_fam_with_child_u_15_Tot_P,Co_f_no_c_u_15_d_st_no_d_c_F,Co_f_no_c_u_15_d_st_no_d_c_P,Co_f_n_c_u_15_d_st_n_n_d_c_F,Co_f_n_c_u_15_d_st_n_n_d_c_P,Co_f_n_c_u_15_n_d_st_n_d_c_F,Co_f_n_c_u_15_n_d_st_n_d_c_P,Cou_fam_no_ch_u_15_Tot_F,Cou_fam_no_ch_u_15_Tot_P,Couple_family_Tot_F,Couple_family_Tot_P,OnePF_CU15_DS_no_de_c_F,OnePF_CU15_DS_no_de_c_P,OnePF_CU15_DS_no_no_d_c_F,OnePF_CU15_DS_no_no_d_c_P,OnePF_CU15_no_DS_no_d_c_F,OnePF_CU15_no_DS_no_d_c_P,OnePF_CU15_no_DS_n_n_d_c_F,OnePF_CU15_no_DS_n_n_d_c_P,OnePF_CU15_Tot_F,OnePF_CU15_Tot_P,OneFP_no_CU15_DS_no_d_c_F,OnePF_no_CU15_DS_no_d_c_P,OnePF_no_CU15_DS_n_n_d_c_F,OnePF_no_CU15_DS_n_n_d_c_P,OnePF_no_CU15_no_DS_n_d_c_F,OnePF_no_CU15_no_DS_n_d_c_P,OnePF_no_CU15_Tot_F,OnePF_no_CU15_Tot_P,OnePF_Tot_F,OnePF_Tot_P,Other_family_F,Other_family_P,Tot_F,Tot_P
501011001,724,1423,3,9,54,221,12,37,382,1432,441,1701,25,89,31,87,71,194,125,373,564,2072,0,0,15,55,0,4,72,176,90,226,0,10,14,29,52,113,63,147,151,372,11,22,1456,3896
501011002,3071,5997,56,295,270,1208,92,387,1639,6382,2053,8276,101,397,223,704,448,1323,770,2430,2830,10703,16,58,88,318,28,108,477,1297,609,1788,36,122,120,252,298,619,448,991,1061,2786,69,131,7028,19619
501011003,1202,2324,16,74,113,495,24,98,847,3215,1006,3884,35,132,74,220,147,422,250,779,1251,4658,4,12,20,70,7,22,125,309,155,412,4,13,39,72,77,140,118,226,268,638,13,25,2735,7655
501011004,843,1628,11,54,83,381,17,87,744,2769,857,3292,29,98,60,184,92,280,183,568,1038,3860,3,10,30,118,16,44,189,473,236,634,4,20,34,81,88,182,131,281,369,917,16,27,2271,6429
501021005,1886,3666,32,168,238,1045,83,379,1396,5415,1746,7003,79,325,154,476,348,1049,587,1861,2335,8862,9,52,46,167,27,89,298,820,379,1124,21,66,46,98,153,330,221,499,599,1622,41,91,4861,14240
501021007,665,1296,10,35,58,285,17,73,325,1271,413,1677,20,88,41,125,98,304,162,518,569,2194,0,5,16,54,8,20,109,297,134,378,3,8,14,32,64,134,88,179,216,556,12,25,1470,4063
501021008,641,1259,10,48,44,192,22,89,309,1179,383,1500,12,46,34,116,120,383,169,542,559,2047,5,13,22,78,19,56,175,438,215,593,5,15,35,82,119,248,163,345,378,940,33,62,1612,4306
501021009,972,1922,15,88,84,395,44,185,477,1845,620,2514,44,167,45,155,219,674,306,994,928,3507,0,5,35,128,11,53,169,486,222,673,13,30,31,62,118,245,153,340,376,1015,29,71,2307,6507
501021010,386,759,6,51,58,251,14,65,203,821,283,1184,15,72,29,90,64,203,111,360,393,1552,0,7,3,10,6,13,34,92,47,123,3,19,3,6,35,71,46,98,89,220,7,11,873,2541
501021011,3,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10
501021012,1302,2519,26,133,133,594,54,252,839,3218,1052,4195,54,225,84,255,218,672,358,1148,1413,5347,8,47,35,115,21,79,217,569,281,814,25,70,51,109,121,257,195,440,478,1251,33,71,3219,9190
501021014,972,1906,20,124,111,500,37,164,523,2072,691,2858,56,220,66,215,196,599,321,1032,1007,3895,4,18,28,87,9,34,124,358,164,498,7,34,21,47,108,224,137,309,302,801,20,41,2306,6643
501021015,828,1627,7,30,67,316,25,92,409,1562,506,2001,31,137,41,124,123,368,198,625,703,2625,4,15,26,97,17,61,151,400,195,575,10,19,29,51,116,251,150,325,348,902,31,55,1908,5211
501021016,484,940,15,87,35,157,17,69,225,878,288,1189,16,68,21,76,99,284,138,425,433,1618,0,0,10,47,5,23,70,183,90,248,3,14,13,30,59,132,81,173,167,420,9,17,1089,2998
501021251,659,1294,31,183,156,701,54,254,758,2954,1004,4096,55,210,114,340,126,396,291,950,1299,5044,9,37,50,167,24,74,201,556,279,838,17,59,40,89,68,145,126,286,411,1128,15,31,2387,7501
501021252,334,657,3,34,58,272,14,77,196,760,277,1144,22,91,60,196,82,256,166,539,442,1687,0,3,9,26,0,4,17,47,31,86,0,7,4,12,28,53,33,68,63,159,4,6,844,2511
501021253,1542,2995,14,61,102,453,25,102,661,2522,800,3144,34,126,78,264,186,562,302,961,1099,4100,3,8,40,141,16,55,195,485,254,687,8,35,67,136,163,330,242,503,496,1191,23,52,3164,8335
501021254,491,948,9,36,42,179,18,68,257,978,320,1265,18,63,24,76,91,280,128,425,449,1685,5,25,24,87,18,72,169,466,214,652,13,32,27,66,103,217,142,313,355,967,20,49,1316,3651
501031017,950,1846,4,30,57,255,27,112,351,1398,436,1794,30,114,38,117,88,253,157,492,591,2282,3,11,15,57,4,12,93,267,116,349,4,18,16,33,44,97,70,145,185,493,12,18,1732,4641
501031018,813,1582,17,79,57,274,15,74,323,1292,408,1716,36,130,29,95,105,310,168,532,579,2256,0,4,8,35,10,31,70,189,90,250,4,24,19,35,50,103,78,159,166,414,13,32,1576,4281
501031019,635,1253,10,71,54,262,23,93,319,1260,404,1681,15,65,43,150,92,294,157,505,560,2189,8,29,16,50,10,39,103,269,126,381,6,23,22,54,79,168,108,242,241,626,24,47,1455,4113
501031020,745,1446,10,45,60,264,15,73,229,883,308,1271,13,48,28,89,90,263,125,400,432,1671,0,0,6,34,3,14,75,203,88,245,3,9,10,21,47,98,60,130,145,374,11,29,1341,3518
502011021,959,1871,13,69,74,323,18,85,459,1783,564,2257,42,178,54,173,134,389,229,738,796,2996,3,11,20,72,9,26,138,398,168,511,6,26,16,41,79,158,107,228,274,741,18,33,2048,5635
502011022,1220,2358,15,88,97,430,19,92,454,1709,589,2326,49,187,64,213,174,530,287,928,869,3252,7,23,32,113,10,31,180,478,222,645,9,32,35,86,100,213,145,327,370,971,25,46,2489,6626
502011023,1192,2337,17,102,75,358,39,173,492,1882,623,2510,47,194,62,200,193,601,302,995,925,3505,14,55,41,137,27,101,243,655,321,950,21,63,47,106,165,336,234,503,552,1450,35,71,2699,7363
502011024,2451,4783,42,236,212,966,72,290,1033,3907,1364,5397,117,461,176,584,394,1186,694,2227,2055,7630,12,43,57,220,30,109,272,773,375,1146,31,101,67,140,178,384,272,627,647,1773,44,81,5199,14264
502011025,1076,2109,12,67,44,186,15,71,323,1173,389,1502,20,72,43,147,110,327,168,542,560,2042,3,20,26,88,20,70,242,593,287,771,16,47,34,66,201,407,247,517,530,1290,48,106,2221,5550
502011026,879,1718,8,54,59,267,21,89,264,1006,356,1421,32,121,48,142,109,338,186,600,545,2023,3,11,20,66,8,22,111,295,138,396,3,7,21,44,79,153,96,206,236,600,18,28,1674,4372
502011027,1872,3625,48,271,221,1009,90,380,1363,5155,1714,6817,101,406,184,621,330,987,616,2012,2331,8830,5,23,58,222,33,108,342,971,436,1315,34,110,62,142,159,336,254,587,687,1906,39,89,4935,14443
502011028,1415,2768,19,106,71,332,37,160,412,1559,535,2159,34,137,58,172,168,507,258,821,798,2980,3,25,50,172,17,67,199,542,266,807,20,71,31,70,190,406,247,551,511,1364,39,83,2760,7187
502011029,1123,2188,16,98,99,470,35,154,565,2235,713,2948,64,245,61,198,209,633,333,1080,1052,4033,0,6,36,140,17,55,173,497,227,709,19,56,31,66,121,256,174,378,406,1090,14,33,2588,7351
503011030,664,1296,4,33,155,718,7,41,416,1689,586,2480,84,348,167,577,129,397,381,1323,966,3804,0,0,19,52,0,0,57,145,70,200,13,28,25,67,49,98,79,191,152,392,18,44,1807,5533
503011031,873,1674,5,20,106,463,9,49,405,1537,522,2069,50,192,125,420,103,306,276,921,797,2987,3,7,27,87,7,16,79,192,115,300,17,50,57,118,94,188,163,353,276,657,49,101,1999,5416
503011032,800,1538,13,55,112,505,3,18,448,1798,574,2376,56,226,119,388,131,386,307,996,877,3370,3,12,15,60,3,10,64,166,91,249,14,42,34,79,65,118,115,238,199,483,26,55,1904,5443
503011033,589,1150,17,75,147,652,16,58,710,2868,883,3658,96,407,166,586,150,457,416,1456,1302,5107,3,16,22,63,3,8,60,159,84,246,13,47,31,69,80,179,122,296,207,546,22,43,2115,6851
503011034,1005,1943,7,55,177,806,8,28,585,2305,780,3188,70,283,188,674,157,456,421,1416,1196,4611,0,0,30,99,4,23,96,238,129,360,18,49,62,132,101,198,173,385,309,750,43,92,2550,7391
503011035,1590,3098,19,110,266,1209,16,72,1144,4573,1447,5962,127,517,314,1113,297,897,741,2525,2188,8485,3,12,37,129,0,0,105,278,140,416,31,101,92,202,143,297,264,594,403,1014,92,195,4286,12797
503011036,772,1522,16,81,164,724,13,50,608,2421,798,3274,77,294,192,668,148,436,414,1394,1210,4674,3,12,26,76,3,17,61,152,89,250,18,45,39,96,82,185,145,327,234,578,25,63,2249,6840
503021037,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15
503021038,1058,2042,15,83,116,492,4,30,889,3346,1029,3942,53,227,110,375,141,426,301,1025,1324,4972,0,0,24,79,4,8,122,320,149,407,8,35,35,89,107,233,158,353,303,766,64,130,2754,7908
503021039,1744,3385,13,57,137,606,11,56,1009,3765,1178,4477,105,427,229,766,249,767,583,1959,1756,6442,3,12,30,88,6,20,154,365,194,481,20,56,67,142,182,370,265,570,454,1050,91,189,4044,11067
503021040,890,1744,10,46,73,332,12,55,620,2305,716,2732,40,153,95,327,136,436,264,917,983,3646,0,4,9,23,4,6,74,170,87,206,8,34,33,79,104,221,145,338,236,543,52,102,2160,6042
503021041,4429,8558,6,26,52,201,13,41,970,3210,1034,3476,29,106,132,405,173,504,330,1012,1361,4489,0,3,18,56,9,22,173,405,199,486,11,41,87,189,204,414,306,642,504,1128,231,486,6530,14666
503021042,1859,3603,13,60,148,635,10,52,1047,3903,1221,4654,63,256,197,653,178,532,431,1437,1656,6092,0,12,29,89,3,14,178,448,218,557,20,66,91,200,141,291,253,552,471,1105,78,159,4058,10963
503021043,1829,3593,3,14,173,773,4,26,1376,5166,1558,5977,68,273,171,565,191,572,432,1414,1991,7387,4,17,29,93,3,5,160,418,197,525,25,79,61,136,155,323,244,536,443,1068,109,221,4369,12265
504011044,1555,3058,17,103,138,631,35,134,1013,3792,1203,4663,86,361,118,414,289,913,500,1690,1699,6352,10,55,33,113,26,97,269,694,345,958,29,87,69,148,277,606,369,845,711,1795,86,183,4053,11394
504011045,2373,4674,17,92,199,878,25,112,1663,6174,1906,7263,119,483,237,828,368,1150,725,2456,2635,9721,9,44,59,220,19,60,307,752,397,1071,43,127,109,244,380,815,537,1186,932,2255,137,296,6078,16940
504011046,1571,3041,4,40,56,244,11,52,762,2710,837,3046,18,88,69,229,106,301,192,621,1032,3672,0,0,12,50,8,16,174,411,196,474,8,25,51,98,127,246,184,372,377,843,84,165,3071,7726
504011047,2334,4643,33,217,231,1077,55,243,1319,4929,1635,6463,143,600,195,688,520,1681,860,2968,2496,9435,11,36,63,208,30,98,293,775,390,1121,56,165,106,232,374,790,528,1184,920,2301,146,322,5895,16692
504011048,905,1820,17,103,112,530,26,115,424,1647,578,2399,68,294,107,383,294,950,473,1628,1053,4028,8,34,17,51,4,17,93,239,120,346,12,44,45,97,127,282,189,427,309,775,31,61,2297,6679
504021049,302,594,4,24,32,147,17,69,178,685,233,926,20,86,32,103,84,247,129,432,366,1358,3,8,15,37,4,9,45,111,62,172,3,8,7,20,46,99,59,129,124,299,6,14,797,2274
504021050,828,1623,18,100,111,495,24,111,503,1940,660,2653,62,264,116,393,162,501,348,1157,1010,3810,3,9,15,41,3,4,73,196,94,243,17,36,34,72,91,192,133,297,230,543,14,34,2084,6002
504021051,629,1226,18,90,67,306,15,74,346,1319,448,1792,37,166,51,176,135,413,226,751,670,2542,3,12,18,54,7,25,77,188,98,281,14,39,19,33,73,157,99,226,199,505,23,42,1521,4322
504021052,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6
504021053,1503,2936,34,199,188,859,56,249,808,3137,1090,4445,108,442,133,445,358,1119,605,2004,1687,6451,5,28,49,149,20,66,143,381,213,628,27,80,39,86,146,311,217,477,428,1110,27,46,3648,10537
504021054,1308,2587,31,160,111,508,41,174,619,2343,797,3181,67,284,88,289,340,1067,494,1634,1291,4824,6,42,32,119,25,95,247,698,313,954,26,74,60,127,267,580,354,776,660,1723,63,125,3323,9259
504031055,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9
504031056,1494,2959,70,429,279,1362,93,418,1145,4449,1585,6651,218,913,263,947,569,1832,1056,3688,2638,10339,27,146,82,315,30,104,311,891,446,1455,69,231,92,224,319,712,477,1172,925,2624,80,169,5139,16086
504031057,1407,2822,49,269,243,1163,80,380,1321,5224,1691,7037,130,558,165,578,421,1383,717,2523,2408,9564,11,46,52,183,37,125,272,747,369,1103,38,128,81,176,289,626,406,937,774,2037,92,195,4685,14616
504031058,535,1047,15,84,71,309,32,134,309,1213,427,1741,35,145,52,175,132,403,221,719,649,2460,6,21,20,70,8,21,85,224,116,326,9,32,16,26,52,112,73,175,193,500,11,21,1379,4030
504031059,3052,5984,83,469,502,2379,162,723,3388,12912,4135,16486,198,830,284,933,494,1560,980,3323,5117,19806,35,155,144,512,62,244,735,2062,979,2982,70,224,142,326,359,766,571,1315,1546,4297,101,205,9807,30293
504031060,334,648,9,34,48,209,12,49,162,618,226,903,28,110,43,151,90,257,161,522,389,1429,0,0,6,26,0,8,26,60,32,98,0,8,3,13,19,33,26,57,63,155,6,20,785,2248
504031061,455,882,12,64,33,154,24,93,314,1150,380,1460,20,73,36,117,73,228,127,423,508,1878,0,12,10,42,3,14,63,175,83,248,12,30,23,44,66,143,95,218,180,468,14,33,1159,3260
504031062,977,1926,22,129,105,502,39,196,782,2948,952,3778,64,252,89,293,220,683,368,1227,1320,5004,10,51,30,117,22,88,177,500,237,758,21,76,54,125,198,430,279,629,516,1387,66,132,2871,8457
504031063,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
504031064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504031065,526,1037,12,52,44,200,19,102,280,1075,358,1431,33,142,41,157,145,472,226,776,583,2206,12,52,20,60,7,31,104,298,144,444,6,19,27,62,127,256,161,338,304,782,20,42,1438,4071
504031066,913,1792,8,56,61,273,32,129,525,1969,625,2425,38,143,69,226,147,446,251,817,877,3244,11,37,24,94,19,69,220,563,275,764,19,68,48,111,233,478,302,655,574,1420,84,181,2454,6637
504031067,549,1072,20,102,87,412,30,142,491,1885,632,2539,54,215,62,222,171,544,289,982,917,3523,8,27,33,118,14,57,153,430,203,627,16,55,34,70,123,258,164,380,370,1007,33,68,1863,5671
504031068,1081,2117,18,111,152,698,40,195,783,3035,995,4032,86,333,111,386,220,691,420,1407,1412,5441,6,19,20,81,10,33,147,399,181,535,14,44,22,41,90,195,124,284,305,819,23,42,2820,8424
504031069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505011070,1047,2024,22,118,84,393,25,115,702,2603,837,3235,48,204,64,229,216,683,334,1120,1171,4350,6,22,34,105,13,46,201,532,249,705,23,61,57,122,187,386,260,571,507,1272,42,80,2764,7731
505011071,1132,2235,37,203,256,1103,63,269,960,3721,1313,5300,171,700,261,891,424,1323,850,2913,2167,8215,13,49,52,184,15,50,193,517,272,807,38,127,78,182,175,405,293,705,564,1511,45,99,3912,12062
505011072,1514,2973,14,83,225,1019,28,140,1263,4985,1537,6226,141,565,252,853,417,1288,806,2703,2337,8930,3,19,36,120,8,27,144,355,198,529,30,97,59,134,161,334,252,569,447,1099,59,127,4358,13127
505011073,1549,3058,24,135,144,664,48,187,975,3678,1185,4666,76,319,129,435,336,1034,535,1790,1726,6455,4,20,32,90,5,25,172,460,220,589,29,90,50,121,236,488,316,697,535,1287,56,109,3859,10912
505011074,1101,2165,22,103,128,564,40,189,687,2576,872,3430,90,365,121,396,287,878,495,1638,1368,5067,12,45,29,86,7,35,145,388,192,554,26,72,51,116,181,384,253,569,444,1123,43,94,2959,8449
505011075,1181,2316,27,143,193,861,30,121,753,2920,1000,4043,136,561,225,787,293,903,655,2245,1655,6288,3,11,33,109,7,22,97,266,134,409,31,97,36,80,95,197,154,371,291,784,24,54,3157,9444
505011076,750,1461,34,196,184,789,45,172,699,2759,959,3915,133,549,198,697,320,974,655,2218,1615,6136,3,13,13,41,0,3,45,133,63,191,9,21,23,58,53,104,83,179,150,373,18,34,2528,8006
505011077,1507,2973,21,113,129,609,31,131,771,2867,951,3719,108,409,156,507,315,986,576,1903,1529,5624,3,19,31,102,13,44,166,436,213,596,31,97,59,142,188,388,278,618,488,1216,86,177,3612,9986
505011078,1428,2802,21,106,161,717,42,178,914,3563,1136,4568,104,413,178,635,386,1192,665,2240,1801,6806,7,39,30,106,9,23,133,363,177,529,28,95,45,109,172,358,247,559,432,1086,35,67,3688,10762
505011079,1161,2256,23,139,155,713,35,157,819,3180,1037,4180,106,451,191,658,309,931,605,2042,1644,6224,3,15,23,80,11,26,110,267,143,393,16,61,46,103,122,260,186,422,331,815,34,65,3167,9352
505011080,787,1533,21,123,124,572,39,168,506,2018,695,2876,113,464,158,540,276,868,552,1873,1241,4754,5,12,19,59,10,30,61,156,92,257,27,86,21,56,78,160,126,311,219,566,16,35,2265,6887
505011081,887,1744,8,44,77,350,20,84,652,2490,762,2974,45,198,63,225,207,625,318,1052,1083,4024,0,8,23,76,5,33,128,328,160,433,20,53,42,102,139,297,199,444,357,882,37,72,2365,6720
505011082,1114,2165,14,70,171,768,18,79,652,2542,852,3461,108,430,163,573,302,924,578,1922,1430,5384,0,3,14,39,4,24,70,170,86,234,19,49,31,77,86,190,135,313,230,548,31,57,2794,8154
505011083,886,1748,18,108,159,715,35,139,604,2353,815,3316,159,667,181,611,369,1134,702,2411,1523,5725,7,24,33,107,8,22,94,233,135,386,23,63,42,96,104,222,174,386,309,773,21,43,2734,8287
505021084,1712,3374,8,55,139,649,22,108,981,3697,1154,4505,75,289,124,408,327,1030,516,1731,1673,6233,9,45,41,135,15,33,212,551,273,770,35,100,82,189,271,566,384,856,665,1622,88,190,4133,11419
505021085,1502,3062,57,336,224,1236,70,330,1231,4826,1581,6729,99,438,139,471,297,958,526,1865,2105,8592,18,122,72,286,46,187,445,1260,586,1847,48,163,89,201,408,897,540,1262,1123,3111,164,364,4893,15126
505021086,2489,4933,41,230,303,1380,42,202,1436,5515,1822,7329,203,888,338,1191,596,1874,1138,3954,2960,11286,11,49,43,144,27,82,300,778,384,1045,40,136,114,273,388,823,547,1227,932,2275,130,282,6508,18772
505021087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505021088,1907,3676,6,41,129,567,26,102,1059,3764,1213,4474,72,291,157,530,194,604,426,1417,1638,5895,4,15,47,155,11,28,226,563,285,764,37,123,99,218,258,526,399,874,682,1632,96,199,4332,11399
505021089,2054,4028,21,102,263,1136,45,191,1757,6835,2084,8274,159,678,320,1093,418,1292,893,3060,2981,11332,3,19,31,101,14,44,168,439,219,612,28,78,86,194,197,414,317,688,534,1300,71,145,5633,16805
