SA2_MAINCODE_2016,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24,P_Grad_Dip_Cer_25_34,P_Grad_Dip_Cer_35_44,P_Grad_Dip_Cer_45_54,P_Grad_Dip_Cer_55_64,P_Grad_Dip_Cer_65_74,P_Grad_Dip_Cer_75_84,P_Grad_Dip_Cer_85_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
501021012,24,17,19,10,3,0,93,0,25,22,30,20,5,0,0,104,26,167,194,112,82,53,32,10,673,41,120,135,142,110,66,25,3,643,290,575,418,355,274,151,68,21,2151,55,37,15,17,11,3,0,0,140,13,29,34,46,40,24,12,3,201,357,642,476,422,324,182,79,20,2494,3,11,13,9,8,8,6,4,58,88,95,89,94,98,109,151,117,832,520,1076,948,820,661,426,293,153,4898
501021014,17,14,13,13,0,0,55,0,13,11,17,16,8,0,0,71,19,105,155,105,89,47,18,0,535,21,65,85,123,101,59,22,9,480,158,238,296,315,225,133,43,10,1410,30,20,22,6,19,3,0,0,101,9,24,29,39,21,21,8,4,148,193,283,343,357,257,159,52,10,1663,3,13,10,10,6,11,3,0,54,187,117,121,127,138,148,89,31,946,426,591,742,749,626,436,188,46,3798
501021015,14,6,9,4,4,0,69,3,4,9,20,13,8,0,0,49,17,141,97,68,55,21,22,3,423,16,77,65,75,78,37,14,3,368,150,303,227,195,180,98,47,9,1208,43,21,19,14,14,0,3,0,112,14,24,23,23,23,13,4,3,129,207,347,269,237,218,117,57,13,1445,0,8,3,7,6,6,3,0,40,70,58,46,77,71,63,44,31,452,307,662,501,490,443,253,144,53,2853
501021016,5,7,0,0,0,0,18,0,3,3,4,5,3,0,0,21,4,25,44,37,28,12,8,0,166,13,20,24,46,45,29,14,10,205,76,131,124,140,109,60,28,5,676,16,9,5,14,6,4,0,0,53,7,0,12,15,12,12,3,0,62,96,145,142,163,126,69,36,11,793,0,0,0,4,3,3,0,0,13,53,52,60,45,84,82,82,43,498,173,247,287,309,289,200,145,62,1716
501021251,49,41,22,3,0,0,146,3,19,43,38,22,5,0,0,125,27,188,239,198,87,31,12,0,790,22,101,147,166,71,30,5,0,546,201,320,365,280,106,81,10,0,1364,66,25,33,16,6,3,0,0,142,16,21,35,38,19,14,3,0,146,285,364,429,329,135,100,15,0,1657,0,13,13,13,5,6,0,0,53,81,91,82,89,46,53,25,5,474,420,795,1011,873,393,229,59,14,3789
501021252,12,28,16,3,0,0,69,0,4,8,15,14,6,0,0,51,13,26,73,81,76,22,6,0,309,12,18,42,61,71,21,12,4,234,44,45,101,140,109,51,16,3,505,17,4,4,7,0,0,0,0,32,3,3,11,17,14,15,0,0,62,63,52,113,163,127,63,15,3,603,0,0,4,0,4,0,3,0,17,21,12,20,31,32,33,11,4,157,116,118,276,382,339,149,47,16,1435
501021253,87,84,48,40,8,3,328,5,45,58,52,47,17,7,0,225,55,311,348,269,257,126,54,18,1438,40,152,154,196,199,122,34,15,918,196,345,326,323,352,168,89,31,1830,59,28,18,20,11,11,0,0,154,17,20,32,51,45,37,17,7,220,271,394,371,395,410,214,106,40,2202,3,16,12,8,9,18,11,0,72,98,144,138,136,139,154,131,80,1029,480,1120,1171,1140,1114,692,342,154,6209
501021254,13,5,8,7,0,0,49,3,7,13,10,8,0,0,0,38,5,63,60,41,43,22,6,0,248,11,48,50,51,56,24,14,0,256,115,172,187,144,116,67,17,3,817,29,19,18,4,5,0,0,0,74,9,13,14,20,19,7,3,0,87,151,205,219,166,136,72,21,3,976,0,3,9,4,0,9,4,0,26,70,63,81,70,59,73,42,13,478,240,411,438,344,310,207,94,18,2065
501031017,8,10,15,13,3,0,58,0,0,8,20,24,14,3,0,68,4,61,124,79,107,88,24,7,492,10,33,69,91,100,104,16,6,424,91,119,171,208,208,142,42,5,986,20,9,11,5,12,6,3,0,71,9,5,22,20,33,33,6,3,133,121,137,209,231,248,183,51,7,1186,0,5,3,10,8,16,8,0,45,56,42,40,114,117,119,91,23,615,196,281,457,553,617,543,196,48,2894
501031018,15,13,9,22,3,0,69,0,5,13,16,28,17,4,0,79,9,65,83,70,99,71,18,4,423,9,34,58,84,115,71,20,3,398,64,151,180,174,178,90,37,3,880,25,10,14,10,7,0,0,0,71,8,13,9,15,26,16,3,4,100,99,176,203,205,211,115,45,7,1056,0,3,9,8,4,8,5,3,31,72,56,70,69,112,110,73,35,604,188,357,446,464,573,409,167,54,2659
