SA2_MAINCODE_2016,P_PG_Deg_35_44_yr,P_PG_Deg_45_54_yr,P_PG_Deg_55_64_yr,P_PG_Deg_65_74_yr,P_PG_Deg_75_84_yr,P_PG_Deg_85_yr_over,P_PGuate_Deg_Tot,P_Grad_Dip_Cer_15_24,P_Grad_Dip_Cer_25_34,P_Grad_Dip_Cer_35_44,P_Grad_Dip_Cer_45_54,P_Grad_Dip_Cer_55_64,P_Grad_Dip_Cer_65_74,P_Grad_Dip_Cer_75_84,P_Grad_Dip_Cer_85_over,P_Grad_Dip_Cer_Tot,P_B_Deg_15_24_yr,P_B_Deg_25_34_yr,P_B_Deg_35_44_yr,P_B_Deg_45_54_yr,P_B_Deg_55_64_yr,P_B_Deg_65_74_yr,P_B_Deg_75_84_yr,P_B_Deg_85_yr_over,P_B_Deg_Tot,P_Adv_Dip_Dip_15_24,P_Adv_Dip_Dip_25_34,P_Adv_Dip_Dip_35_44,P_Adv_Dip_Dip_45_54,P_Adv_Dip_Dip_55_64,P_Adv_Dip_Dip_65_74,P_Adv_Dip_Dip_75_84,P_Adv_Dip_Dip_85_over,P_Adv_Dip_Dip_Total,P_Cer_III_IV_15_24_yr,P_Cer_III_IV_25_34_yr,P_Cer_III_IV_35_44_yr,P_Cer_III_IV_45_54_yr,P_Cer_III_IV_55_64_yr,P_Cer_III_IV_65_74_yr,P_Cer_III_IV_75_84_yr,P_Cer_III_IV_85_yr,P_Cer_III_IV_Tot,P_Cer_I_II_15_24_yr,P_Cer_I_II_25_34_yr,P_Cer_I_II_35_44_yr,P_Cer_I_II_45_54_yr,P_Cer_I_II_55_64_yr,P_Cer_I_II_65_74_yr,P_Cer_I_II_75_84_yr,P_Cer_I_II_85_yr_over,P_Cer_I_II_Tot,P_Cer_nfd_15_24_yr,P_Cer_nfd_25_34_yr,P_Cer_nfd_35_44_yr,P_Cer_nfd_45_54_yr,P_Cer_nfd_55_64_yr,P_Cer_nfd_65_74_yr,P_Cer_nfd_75_84_yr,P_Cer_nfd_85_yr_over,P_Cer_nfd_Tot,P_Cer_Tot_15_24_yr,P_Cer_Tot_25_34_yr,P_Cer_Tot_35_44_yr,P_Cer_Tot_45_54_yr,P_Cer_Tot_55_64_yr,P_Cer_Tot_65_74_yr,P_Cer_Tot_75_84_yr,P_Cer_Tot_85_yr_over,P_Cer_Tot_Tot,P_lvl_educ_inad_desc_15_24,P_lvl_educ_inad_desc_25_34,P_lvl_educ_inad_desc_35_44,P_lvl_educ_inad_desc_45_54,P_lvl_educ_inad_desc_55_64,P_lvl_educ_inad_desc_65_74,P_lvl_educ_inad_desc_75_84,P_lvl_educ_inad_desc_85,P_lvl_educ_inad_desc_Tot,P_lvl_educ_ns_15_24,P_lvl_educ_ns_25_34,P_lvl_educ_ns_35_44,P_lvl_educ_ns_45_54,P_lvl_educ_ns_55_64,P_lvl_educ_ns_65_74,P_lvl_educ_ns_75_84,P_lvl_educ_ns_85,P_lvl_educ_ns_Tot,P_Tot_15_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
504011044,146,94,66,24,3,0,466,5,57,102,77,50,18,5,0,318,94,613,514,335,186,113,35,7,1902,79,241,263,232,201,84,27,4,1134,173,431,392,393,339,216,91,26,2064,48,28,20,11,19,13,4,0,151,12,35,44,52,38,31,10,5,219,236,494,456,457,393,255,102,34,2428,6,21,13,17,17,11,6,4,97,98,115,116,134,137,140,131,88,966,523,1670,1614,1339,1054,649,311,142,7308
504011045,316,197,98,36,10,3,942,0,127,155,127,88,21,7,0,533,227,1151,1083,632,368,146,66,18,3691,116,377,442,375,297,130,65,27,1825,254,630,499,466,415,238,115,42,2656,60,32,39,23,21,8,6,0,189,21,48,61,63,73,33,20,10,337,334,714,602,559,509,277,140,49,3186,3,34,34,26,24,24,9,8,161,154,204,204,200,210,173,243,273,1667,854,2866,2840,2126,1593,806,541,373,12003
504011046,249,101,65,42,4,3,815,8,97,97,55,44,20,4,0,330,184,1163,630,300,209,115,23,5,2623,89,348,238,146,130,82,16,10,1052,152,454,205,156,188,100,26,9,1303,28,20,13,9,4,8,4,3,90,8,40,39,34,28,22,13,0,186,190,518,264,207,214,125,43,14,1573,6,38,8,7,7,9,5,3,94,110,287,161,125,121,114,86,87,1092,599,2776,1646,945,791,514,187,121,7582
504011047,186,75,50,30,11,7,626,8,72,77,48,31,17,7,0,256,224,951,607,315,250,118,60,9,2533,145,433,310,276,194,152,58,24,1586,290,655,522,520,411,342,195,30,2972,57,45,28,40,20,9,0,0,202,19,39,69,75,71,51,20,5,348,368,747,619,625,497,405,214,39,3520,8,38,19,32,28,18,6,3,154,181,240,200,179,183,199,148,65,1408,958,2732,2012,1560,1229,934,509,145,10075
504011048,47,42,26,24,5,3,198,3,16,26,33,23,14,3,0,128,108,263,201,152,159,89,32,4,1007,37,84,112,136,137,102,36,6,651,102,162,169,171,210,109,50,15,989,17,12,14,3,6,3,4,3,58,11,10,16,26,28,31,11,5,138,130,182,192,198,248,150,63,25,1190,0,8,10,14,16,12,4,5,70,54,63,35,54,73,89,54,24,456,334,659,628,629,687,481,201,70,3700
504021049,10,11,5,0,0,0,32,0,0,6,15,12,3,0,0,34,6,24,39,54,36,23,7,0,196,8,24,33,51,49,32,13,4,203,49,84,105,130,104,57,8,0,541,7,3,7,3,6,3,0,0,20,0,6,12,10,19,4,0,0,54,56,93,124,141,125,62,12,0,618,0,0,3,3,9,0,0,0,13,317,673,570,315,131,78,39,3,2114,389,819,779,582,362,200,71,10,3214
504021050,75,105,82,48,10,4,341,0,19,43,79,57,28,5,0,231,46,124,252,265,207,165,44,10,1113,18,49,119,161,141,108,58,7,648,91,109,143,168,165,126,42,9,856,10,3,7,6,7,8,0,0,50,8,9,17,26,30,30,16,0,126,105,124,161,206,203,162,52,11,1028,0,9,3,6,15,17,3,0,50,47,24,38,49,58,52,24,12,318,217,361,692,868,763,584,203,40,3721
504021051,31,13,17,7,6,0,97,0,12,24,27,18,5,5,0,91,37,110,118,92,57,52,14,0,475,20,67,77,104,77,52,23,3,421,104,183,144,156,146,108,44,8,893,15,11,4,7,11,4,0,0,52,10,15,15,24,19,17,10,0,111,129,216,160,185,181,131,51,6,1057,0,3,0,4,7,4,5,0,22,31,38,37,41,46,48,25,10,265,217,452,446,463,396,305,121,21,2425
504021052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8
504021053,41,50,62,30,12,6,227,0,20,44,71,59,30,7,0,227,59,168,289,326,223,159,43,10,1268,46,95,178,266,233,149,56,11,1020,205,341,387,465,386,249,83,20,2134,40,20,15,15,12,4,0,0,111,19,26,35,55,53,43,14,3,240,262,384,438,534,448,294,95,22,2489,11,3,6,18,10,12,8,0,70,113,86,86,131,125,137,73,48,803,484,794,1085,1387,1166,801,284,100,6110
504021054,41,35,30,18,4,0,150,0,27,21,41,33,14,3,0,137,65,204,176,158,117,89,37,12,860,57,133,147,160,173,111,38,4,825,217,406,311,323,325,225,91,25,1923,38,24,22,27,16,11,3,0,139,15,24,34,50,35,27,15,6,211,269,457,363,403,374,266,108,35,2272,7,8,20,15,13,10,14,4,98,103,96,90,123,117,167,140,87,923,494,960,853,933,861,677,345,146,5265
504031055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,8
504031056,65,56,41,19,3,0,243,6,32,25,47,39,11,3,0,169,172,451,285,268,184,89,22,7,1473,86,221,236,280,229,74,25,7,1163,319,514,470,632,507,179,86,20,2728,66,42,34,45,12,6,4,0,203,25,36,55,86,53,28,15,4,305,417,585,564,763,571,212,103,17,3234,15,16,22,23,34,9,6,0,128,170,120,98,163,121,96,63,23,852,863,1481,1294,1605,1223,510,220,61,7261
504031057,94,36,20,3,5,0,307,11,39,39,27,11,3,3,0,130,141,534,401,229,127,59,10,0,1507,89,332,277,211,156,67,10,3,1142,295,598,499,463,360,161,46,13,2434,60,35,35,28,16,14,3,0,188,24,49,69,54,48,26,11,0,281,378,683,600,539,423,199,52,13,2897,15,27,26,18,23,15,3,0,124,232,372,307,210,162,120,58,17,1480,867,2135,1745,1264,926,472,142,32,7592
504031058,9,11,12,4,0,0,45,0,0,13,13,5,3,0,0,36,36,63,62,57,38,25,3,3,294,31,40,74,88,49,24,6,0,312,104,158,180,204,169,80,24,3,917,30,13,9,18,6,7,0,0,84,7,12,22,20,15,12,4,0,93,145,186,205,240,192,93,27,3,1093,3,7,4,3,3,3,3,0,24,115,63,95,87,83,57,24,11,535,333,368,470,499,372,215,72,17,2342
504031059,193,100,46,11,4,0,589,15,86,113,74,35,16,3,0,339,204,1083,875,398,174,74,35,11,2854,201,772,843,479,216,114,52,10,2680,692,1708,1248,987,493,241,106,10,5495,129,145,77,36,19,12,0,0,424,41,108,130,117,50,29,20,0,492,861,1958,1466,1144,568,282,125,15,6414,15,58,62,36,27,15,6,9,224,304,415,383,277,195,176,159,135,2044,1595,4609,3930,2507,1264,685,382,167,15142
504031060,20,19,13,11,0,0,68,0,0,10,12,4,3,3,0,32,18,33,69,60,51,22,5,0,258,9,12,37,72,54,30,12,5,233,39,57,97,122,99,31,19,0,452,9,0,3,6,3,3,0,0,34,5,7,12,13,13,3,3,0,60,55,65,108,140,110,40,20,0,541,0,0,0,3,0,3,0,0,12,31,11,27,39,37,32,10,0,183,109,132,270,339,273,138,56,7,1328
504031061,30,19,12,8,0,4,93,0,9,25,20,9,5,0,0,65,31,132,121,72,46,26,11,4,431,25,57,75,55,65,29,12,3,310,58,137,133,117,87,60,34,11,641,9,15,5,9,9,0,3,0,41,6,11,6,15,16,14,7,0,75,72,166,148,138,106,76,49,11,758,0,3,10,9,4,5,0,0,32,28,24,34,48,33,34,30,5,249,155,410,443,348,271,182,104,25,1944
504031062,53,30,13,6,0,0,203,0,45,35,29,8,5,0,0,119,82,361,293,140,75,33,14,3,1003,51,210,180,120,87,35,18,3,702,176,417,294,261,215,108,34,5,1514,35,32,19,17,8,3,0,0,107,16,24,40,39,21,18,5,0,171,225,477,352,316,243,130,39,8,1795,3,18,9,7,7,13,3,0,69,149,121,123,124,96,87,58,8,775,511,1338,1041,763,539,313,137,23,4665
504031063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504031064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504031065,23,8,13,5,0,0,63,0,19,11,4,7,12,0,0,51,22,93,69,74,58,23,5,0,346,16,66,73,78,62,45,13,3,357,117,156,139,183,135,86,40,4,860,22,5,8,8,5,5,0,0,62,3,16,23,19,11,15,6,0,81,143,174,168,210,154,96,40,4,999,7,0,3,10,12,7,0,0,31,67,54,68,63,70,62,41,13,441,252,419,421,453,371,251,105,17,2285
504031066,63,30,43,19,9,0,247,6,24,48,32,23,3,3,0,139,67,278,282,172,106,53,27,12,993,53,147,130,143,116,73,22,4,694,185,308,242,263,199,104,41,15,1363,69,35,22,15,17,4,0,0,153,18,30,25,29,28,19,9,0,157,274,375,287,306,244,127,49,18,1675,14,11,13,9,6,5,5,0,71,173,221,167,207,199,187,230,225,1600,590,1142,994,898,737,471,338,262,5419
504031067,19,20,12,7,0,0,81,0,15,19,8,12,0,0,0,58,23,113,109,81,42,21,6,0,399,31,86,111,113,68,14,3,0,432,159,260,207,209,153,58,29,4,1069,36,21,14,8,3,3,0,0,80,14,20,28,30,14,13,6,0,128,204,297,254,246,171,73,30,6,1278,5,5,9,13,3,0,3,0,40,57,50,57,72,41,58,29,8,379,329,594,573,544,345,183,83,19,2658
504031068,45,58,31,14,7,0,208,9,28,30,40,38,9,0,0,143,57,214,240,201,143,68,13,8,944,50,171,192,192,142,78,19,4,836,174,370,307,300,214,134,37,9,1547,29,17,16,15,18,4,0,0,106,15,38,27,42,23,24,0,3,177,224,427,348,362,252,160,37,9,1826,5,7,9,14,18,7,3,0,61,80,73,82,88,83,54,27,7,483,422,961,944,953,705,399,105,24,4507
504031069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505011070,49,26,23,8,4,0,173,9,37,25,20,27,10,0,0,122,79,412,251,132,98,51,8,8,1037,39,179,160,119,128,53,18,6,703,160,502,362,285,262,136,47,15,1774,28,33,21,9,8,3,0,0,108,11,24,31,34,38,26,3,4,160,199,552,412,326,310,171,51,19,2040,9,11,10,15,8,5,3,0,68,66,98,107,55,62,61,46,13,522,407,1346,1018,694,654,359,136,56,4663
505011071,95,86,58,14,8,0,320,5,25,65,77,33,4,0,0,210,162,326,429,370,165,53,28,4,1547,81,148,271,349,172,80,25,3,1133,272,357,390,585,337,151,46,17,2160,57,29,30,35,18,6,0,0,168,9,25,48,65,52,21,10,0,228,338,413,470,675,402,175,58,21,2558,12,20,11,26,9,11,0,0,91,85,69,80,63,63,58,52,34,492,690,1057,1418,1658,898,394,176,66,6353
505011072,187,153,140,75,19,5,663,0,52,119,128,81,41,6,7,422,183,406,699,595,393,265,63,12,2613,45,102,283,304,296,238,55,21,1342,151,244,361,352,262,189,81,17,1662,31,13,19,24,8,14,3,0,109,11,21,48,48,58,55,22,5,265,188,275,424,419,330,259,102,25,2033,3,9,16,15,22,33,14,3,117,53,51,53,82,97,86,67,85,567,482,966,1781,1701,1355,990,324,161,7760
505011073,102,79,50,26,6,0,346,3,50,80,61,53,19,4,3,272,102,467,495,288,196,163,35,9,1754,46,184,195,192,199,206,53,8,1080,146,383,399,350,292,284,96,21,1967,32,32,20,19,17,11,4,0,132,11,23,54,51,57,47,13,3,261,195,435,468,413,367,345,110,25,2358,9,15,19,15,16,21,7,0,105,75,81,79,80,76,123,62,31,612,429,1310,1447,1133,957,899,282,76,6528
505011074,52,59,27,23,7,0,229,8,41,39,26,31,7,5,0,150,94,305,286,194,125,71,18,4,1097,67,165,160,210,190,78,26,8,909,186,401,343,344,312,163,51,8,1812,32,19,15,11,7,10,0,0,90,16,30,33,34,51,22,6,0,194,235,454,392,382,368,196,61,10,2094,3,15,14,20,15,12,6,0,80,86,76,88,64,88,62,36,11,511,498,1115,1030,955,851,446,144,36,5070
505011075,104,117,110,29,9,0,406,3,21,49,74,56,18,3,0,219,170,265,428,431,324,125,39,3,1783,25,98,180,279,224,133,45,16,1006,125,173,230,252,274,166,46,10,1270,22,10,10,9,11,3,0,0,66,10,24,30,32,51,40,15,4,198,154,203,263,295,341,209,64,10,1537,6,11,13,20,20,7,3,4,87,57,31,49,54,68,70,39,18,388,422,663,1096,1276,1136,597,191,48,5428
505011076,92,102,57,7,4,0,298,7,23,47,53,23,6,3,0,165,128,172,343,361,163,39,11,0,1219,40,55,185,315,144,41,17,0,799,136,113,209,351,259,78,19,3,1171,17,6,14,16,4,8,0,0,65,9,12,35,34,33,18,5,0,138,162,131,257,398,292,100,28,6,1376,3,11,22,30,15,8,0,0,84,30,20,25,50,34,30,8,0,200,375,446,971,1302,729,230,73,4,4142
505011077,127,99,57,37,3,4,493,5,64,64,51,46,20,3,0,258,214,558,394,291,218,97,21,8,1803,148,261,210,266,250,117,42,8,1288,297,433,283,381,369,174,70,10,2018,63,24,28,12,21,13,0,0,160,15,34,34,48,48,27,17,0,225,372,494,344,444,434,212,86,12,2402,14,25,14,25,10,14,6,3,100,136,152,97,112,129,111,117,77,931,898,1702,1254,1283,1152,599,278,116,7285
505011078,85,78,58,28,10,3,327,4,35,62,64,55,21,0,0,239,109,345,503,323,264,119,37,21,1717,51,139,216,242,266,136,56,31,1125,135,295,307,356,410,211,89,40,1848,37,14,14,9,26,13,0,0,107,14,6,29,51,66,36,19,20,246,181,317,354,412,504,256,115,65,2198,3,14,7,14,8,13,6,12,80,61,44,67,67,83,84,108,134,657,409,953,1299,1195,1242,665,328,259,6347
505011079,76,116,68,30,10,4,352,0,35,57,68,54,18,0,0,234,118,260,411,359,248,119,36,3,1562,45,105,194,266,194,123,41,13,980,136,202,290,347,256,209,58,18,1507,24,9,14,10,5,6,3,0,76,18,16,47,40,44,33,8,3,201,175,221,344,401,309,252,69,17,1792,4,11,20,15,19,23,5,0,88,97,44,77,106,94,94,55,31,604,444,723,1181,1315,987,662,218,72,5609
505011080,67,68,48,11,10,0,237,4,14,26,51,27,17,0,0,137,97,178,245,290,154,86,26,0,1070,38,68,122,212,155,78,28,4,701,105,140,179,259,235,132,43,3,1103,20,11,11,9,9,6,0,0,61,12,13,26,43,33,19,7,0,159,133,154,223,309,276,161,52,3,1321,0,3,7,23,14,8,5,3,67,57,20,35,65,60,47,28,11,336,349,466,724,1014,742,411,151,24,3876
505011081,67,42,23,17,0,0,196,7,30,46,37,24,10,0,0,157,62,344,321,147,117,61,16,4,1075,18,131,144,116,126,67,14,0,617,108,299,276,234,224,149,42,11,1348,25,12,7,9,7,3,0,0,70,6,13,26,30,27,15,11,3,126,137,328,310,277,258,161,52,20,1548,4,3,8,7,11,10,4,0,53,30,48,56,49,65,57,35,15,347,263,923,961,677,622,393,111,35,3989
505011082,92,120,102,44,13,3,423,3,23,61,73,62,30,0,0,258,139,243,367,382,333,185,39,11,1708,22,63,133,204,227,175,42,8,874,92,134,144,226,209,169,63,13,1047,13,9,7,11,20,10,3,3,73,8,5,20,37,46,42,20,4,183,121,147,165,275,279,218,84,19,1298,4,0,5,15,19,20,9,0,81,54,41,47,59,82,85,34,20,425,340,571,881,1123,1105,748,229,68,5064
505011083,84,77,37,11,4,0,236,4,19,42,64,41,11,0,0,179,123,206,305,284,214,66,19,9,1231,63,67,144,263,195,102,26,14,875,137,150,185,348,293,117,48,13,1288,36,0,8,10,16,8,0,0,86,16,13,28,48,37,22,9,8,185,195,161,223,407,342,143,63,22,1558,3,5,9,18,15,14,3,0,62,34,21,32,40,42,43,42,19,275,428,507,844,1154,889,386,156,60,4420
505021084,130,58,35,15,4,0,391,3,60,67,62,39,23,10,0,263,135,766,500,251,175,116,36,9,1980,64,311,262,200,170,118,56,10,1190,171,494,396,363,251,195,133,22,2034,20,26,16,23,12,3,3,0,103,18,39,44,59,38,45,15,4,267,208,560,458,443,304,249,149,29,2405,3,24,22,15,16,18,8,0,103,107,185,101,111,117,182,177,162,1141,536,2047,1545,1136,850,718,440,210,7475
505021085,93,32,15,10,5,0,350,10,62,28,19,25,3,0,0,147,132,731,351,170,99,57,18,4,1565,136,461,250,186,128,75,20,6,1261,332,611,353,354,275,148,82,13,2183,65,59,57,34,25,6,4,0,251,44,84,64,69,39,40,11,0,344,440,752,474,459,341,197,93,17,2774,9,39,35,15,17,18,3,0,138,252,407,244,231,203,185,127,25,1683,991,2654,1477,1120,827,547,267,48,7922
505021086,229,162,109,57,16,9,851,6,92,107,113,95,39,16,6,470,341,986,843,623,442,272,124,30,3671,90,334,360,384,314,211,117,34,1841,239,444,429,508,391,238,231,59,2545,37,23,32,31,17,14,3,3,164,31,41,68,102,69,51,34,13,411,312,508,523,646,475,307,272,70,3119,18,41,37,26,37,37,25,14,233,163,161,178,170,168,190,210,85,1325,952,2374,2277,2124,1641,1111,789,248,11513
505021087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505021088,261,153,76,38,11,0,801,10,149,98,95,77,21,11,0,465,186,1326,745,428,256,133,45,7,3118,51,328,257,246,191,119,46,22,1254,197,605,310,300,246,112,66,33,1871,25,31,20,17,11,8,3,0,112,12,51,60,43,34,27,13,11,248,234,683,385,356,293,153,87,48,2241,6,39,17,19,23,11,7,3,131,108,283,188,166,139,127,153,178,1340,601,3063,1958,1449,1057,603,357,253,9351
505021089,307,215,157,93,26,3,937,3,69,142,157,118,49,13,3,540,201,654,1048,779,471,341,120,25,3649,58,185,321,395,313,275,106,28,1669,175,357,361,355,311,235,125,33,1945,24,22,29,22,16,13,10,0,131,12,17,52,71,51,66,29,9,307,212,392,437,449,381,312,158,41,2391,4,12,20,29,30,22,20,3,139,81,97,134,124,141,141,145,160,1019,571,1531,2411,2138,1602,1232,589,263,10344
505021090,194,54,20,12,3,0,691,3,99,74,29,24,7,6,0,235,172,1316,550,222,113,65,23,5,2465,147,635,373,163,140,71,29,6,1569,218,681,362,235,241,128,96,20,1977,31,50,29,22,12,6,0,0,150,17,74,56,38,50,22,14,3,272,259,802,451,297,303,148,108,28,2395,20,55,16,16,20,11,6,3,154,187,439,247,167,150,135,120,52,1495,805,3734,1908,944,777,450,297,88,9006
505021091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505021092,243,127,92,50,18,3,798,9,133,124,92,52,18,7,0,437,199,1259,755,431,285,173,59,14,3175,81,407,285,263,197,103,68,14,1431,191,713,328,274,238,119,55,19,1934,30,28,12,10,7,6,4,0,101,20,56,42,48,43,30,12,3,251,231,793,384,334,290,152,74,26,2289,11,37,23,22,15,12,6,3,133,127,356,212,199,164,134,92,36,1308,663,3256,2035,1461,1095,647,326,93,9569
505021093,198,101,61,21,10,0,631,9,64,52,53,33,11,3,0,216,227,875,557,312,203,95,22,3,2300,82,280,249,190,179,80,32,5,1102,156,360,263,246,221,165,76,22,1502,24,25,16,22,6,3,3,0,102,9,25,47,53,45,25,7,3,222,193,405,324,320,274,198,91,21,1823,15,18,31,16,20,10,10,0,110,92,155,99,138,115,107,92,50,849,621,2034,1517,1124,881,523,255,81,7040
505021094,75,89,67,27,13,3,324,3,20,39,68,39,19,3,0,190,76,279,333,289,254,152,53,11,1450,14,80,117,134,144,112,43,19,652,44,158,150,136,112,80,53,14,752,6,3,5,7,5,9,3,3,47,3,9,25,28,21,24,20,8,141,56,174,184,171,148,111,75,22,944,0,10,17,5,5,12,14,0,65,23,38,39,45,60,83,49,22,365,185,645,809,814,713,503,246,77,3987
505021095,179,86,50,14,3,6,611,4,106,58,35,37,8,0,0,252,182,1143,560,242,136,76,31,7,2375,59,324,236,159,119,68,27,11,1006,128,415,264,220,135,89,62,19,1336,15,40,17,13,15,6,0,0,104,8,22,36,32,31,8,11,5,153,156,470,318,267,184,112,69,23,1600,0,28,23,11,14,9,6,4,96,74,214,130,86,90,85,91,79,843,484,2543,1508,876,621,376,230,124,6776
505021096,315,260,170,87,41,5,1021,3,51,96,130,88,50,22,0,440,240,553,774,664,421,274,154,34,3110,32,102,184,253,212,160,143,28,1115,92,134,142,176,133,78,84,33,880,17,9,13,16,16,3,8,3,85,6,9,27,53,34,27,30,12,199,113,155,181,246,185,116,118,43,1157,3,10,20,17,17,22,27,4,125,68,57,58,67,76,76,105,38,530,475,1060,1627,1639,1171,775,597,159,7501
505021097,220,138,105,50,9,7,765,6,67,82,100,73,36,4,4,376,222,933,631,455,311,180,89,47,2870,70,287,253,224,212,131,81,31,1287,132,365,272,271,235,128,114,59,1582,41,25,17,14,5,3,0,6,107,19,37,34,39,37,38,39,5,242,191,426,322,326,271,163,157,76,1936,6,23,19,20,18,20,16,14,151,104,182,161,119,122,121,203,265,1277,612,2143,1695,1381,1115,701,559,447,8662
505031098,50,31,24,8,0,0,166,8,19,21,23,12,5,3,0,87,96,249,170,136,90,56,9,3,804,65,140,154,137,131,58,16,0,691,187,275,277,312,260,125,50,10,1498,37,22,20,29,22,13,4,0,140,11,29,35,45,36,19,13,4,187,236,325,336,381,313,157,60,13,1822,4,10,8,14,10,8,4,0,51,112,106,125,105,122,74,78,15,730,531,892,856,812,696,362,175,29,4349
505031099,65,40,18,20,3,4,225,9,49,58,45,19,13,3,0,202,95,423,461,238,77,56,43,9,1407,117,397,405,316,141,76,60,19,1533,430,920,786,669,280,217,143,28,3466,82,68,66,40,11,6,6,4,272,51,89,82,67,42,37,15,6,389,559,1077,934,771,332,255,164,44,4130,6,22,28,31,20,18,11,0,137,389,360,329,271,151,136,167,150,1962,1184,2398,2276,1720,753,570,455,227,9583
505031100,112,57,18,6,0,0,301,10,57,64,36,16,3,0,0,181,121,544,403,243,92,38,9,0,1457,106,355,395,292,136,41,5,3,1341,345,795,620,504,251,105,37,3,2654,56,58,37,22,9,0,0,0,181,22,55,65,40,48,24,4,0,258,424,905,719,560,309,127,40,9,3097,8,27,32,21,9,7,4,0,115,157,205,112,119,84,50,22,3,749,834,2199,1836,1327,667,280,80,20,7237
505031101,97,40,16,10,3,0,270,7,57,26,28,12,9,0,0,136,91,455,309,164,89,27,7,0,1138,103,271,236,218,128,45,17,3,1017,284,619,404,381,191,93,33,6,2016,59,45,38,8,6,8,0,0,162,29,61,48,41,35,13,4,0,235,373,718,491,435,238,119,36,6,2418,5,24,15,21,9,6,0,0,91,143,168,151,125,81,64,24,5,759,723,1793,1319,1029,579,279,91,14,5827
505031102,27,15,11,6,0,0,94,3,13,20,12,4,0,0,0,50,41,194,143,79,42,29,10,3,543,46,145,98,56,47,35,10,0,436,134,268,239,178,163,104,30,6,1122,46,34,15,23,9,3,0,0,129,18,24,21,28,31,13,9,0,140,192,326,279,231,200,121,35,13,1386,8,16,15,5,6,10,0,0,67,78,101,89,102,92,91,59,8,609,375,830,659,501,400,285,112,21,3181
505031103,232,120,41,16,7,0,613,12,86,111,45,33,7,7,0,291,245,1004,947,496,196,64,34,4,2984,126,434,582,450,205,120,42,9,1972,367,744,754,675,382,194,90,14,3223,88,47,49,36,13,14,3,0,245,25,63,100,97,48,26,17,0,383,480,859,906,801,441,232,112,14,3853,10,43,47,37,20,19,8,0,187,172,155,177,180,108,107,96,54,1049,1051,2781,2990,2139,1050,565,310,87,10961
