SA2_MAINCODE_2016,Australia_M,Australia_F,Australia_P,Canada_M,Canada_F,Canada_P,China_excl_SARs_Taiwan_M,China_excl_SARs_Taiwan_F,China_excl_SARs_Taiwan_P,Croatia_M,Croatia_F,Croatia_P,Egypt_M,Egypt_F,Egypt_P,Fiji_M,Fiji_F,Fiji_P,Germany_M,Germany_F,Germany_P,Greece_M,Greece_F,Greece_P,Hong_Kong_SAR_China_M,Hong_Kong_SAR_China_F,Hong_Kong_SAR_China_P,India_M,India_F,India_P,Indonesia_M,Indonesia_F,Indonesia_P,Iran_M,Iran_F,Iran_P,Iraq_M,Iraq_F,Iraq_P,Ireland_M,Ireland_F,Ireland_P,Italy_M,Italy_F,Italy_P,Japan_M,Japan_F,Japan_P,Korea_Republic_South_M,Korea_Republic_South_F,Korea_Republic_South_P,Lebanon_M,Lebanon_F,Lebanon_P,Malaysia_M,Malaysia_F,Malaysia_P,Malta_M,Malta_F,Malta_P,Netherlands_M,Netherlands_F,Netherlands_P,New_Zealand_M,New_Zealand_F,New_Zealand_P,Pakistan_M,Pakistan_F,Pakistan_P,Philippines_M,Philippines_F,Philippines_P,Poland_M,Poland_F,Poland_P,Singapore_M,Singapore_F,Singapore_P,South_Africa_M,South_Africa_F,South_Africa_P,Sri_Lanka_M,Sri_Lanka_F,Sri_Lanka_P,Thailand_M,Thailand_F,Thailand_P,TFYROM_M,TFYROM_F,TFYROM_P,Turkey_M,Turkey_F,Turkey_P,United_Kingdom_CI_IM_M,United_Kingdom_CI_IM_F,United_Kingdom_CI_IM_P,United_States_America_M,United_States_America_F,United_States_America_P,Vietnam_M,Vietnam_F,Vietnam_P,Zimbabwe_M,Zimbabwe_F,Zimbabwe_P,Born_elsewhere_M,Born_elsewhere_F,Born_elsewhere_P,Country_birth_not_stated_M,Country_birth_not_stated_F,Country_birth_not_stated_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
507011259,2491,2562,5053,9,3,7,31,40,70,60,46,104,0,0,0,0,0,5,8,16,26,0,0,0,5,10,13,50,45,93,7,13,16,3,4,6,0,3,3,12,21,30,60,36,95,0,8,9,13,9,21,3,3,3,21,23,46,0,0,3,16,5,26,123,127,255,3,0,3,137,139,274,9,6,18,18,21,42,82,100,184,4,3,9,5,22,27,0,0,0,0,0,0,305,327,631,16,15,24,3,3,8,23,15,42,211,255,474,208,234,438,34,42,72,3984,4163,8143
507011260,715,727,1446,3,3,8,103,9,116,5,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,8,14,19,11,14,24,14,5,20,0,0,0,3,4,7,11,7,21,0,4,3,3,6,9,3,3,5,38,37,73,0,0,0,5,3,7,30,20,54,0,0,0,3,8,6,10,10,20,24,32,48,49,48,93,7,10,14,0,0,4,0,0,0,0,0,0,150,145,298,5,3,13,3,7,12,7,3,8,39,43,80,56,46,102,80,28,104,1373,1248,2617
507021164,2393,2643,5030,5,12,17,0,6,8,8,3,15,4,0,7,4,0,3,15,24,42,0,0,0,0,5,7,12,19,32,4,5,12,4,3,11,0,0,0,30,43,73,51,65,115,8,10,17,3,3,7,0,0,0,12,7,22,0,0,0,22,14,34,82,88,174,0,0,0,0,8,12,0,5,8,5,12,15,32,26,59,0,3,3,3,9,13,0,0,0,0,0,0,372,365,742,28,35,60,4,7,13,13,10,16,88,102,187,212,240,457,25,45,71,3456,3827,7282
507021165,4208,4593,8798,36,48,82,10,26,36,34,33,65,8,5,15,0,0,0,37,55,91,3,9,8,8,14,18,48,33,83,8,20,25,12,11,24,3,0,4,79,68,151,154,231,391,12,37,45,8,12,20,3,0,4,15,32,54,0,0,0,30,33,71,210,173,379,4,0,6,28,43,77,15,31,43,18,32,48,81,83,162,7,8,20,5,20,26,0,3,3,0,0,3,859,808,1670,65,69,137,4,10,20,24,15,46,305,369,674,969,1017,1989,176,242,422,7501,8206,15703
507021166,4233,4616,8855,28,39,64,14,25,39,47,47,96,3,5,8,0,0,0,60,69,129,8,12,19,3,9,14,38,28,62,6,20,31,11,16,28,4,0,5,69,51,123,239,260,499,3,30,33,11,14,27,0,0,0,27,25,56,0,9,11,26,33,60,151,155,304,8,3,11,30,53,86,31,26,55,22,26,48,54,64,111,10,3,15,9,26,29,4,0,6,3,0,3,705,677,1382,34,45,81,3,4,13,11,21,25,366,420,786,444,492,939,53,76,126,6773,7392,14166
507021167,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,7,0,10
507031169,3519,3658,7175,22,9,33,81,97,173,16,19,38,3,3,3,10,12,19,12,14,27,0,0,0,8,14,24,472,418,884,19,33,53,14,14,27,0,0,0,29,21,49,13,7,17,4,24,34,31,29,60,0,0,0,68,85,156,4,0,3,14,12,26,409,390,801,34,23,56,476,512,986,15,15,27,64,65,126,135,139,269,28,30,63,4,38,41,0,4,4,4,0,3,429,448,874,21,17,40,12,12,28,68,97,169,355,364,719,331,323,653,72,116,188,6801,7051,13849
507031170,2303,2316,4615,6,10,17,0,9,10,7,4,12,3,0,3,3,0,4,14,22,41,0,0,0,0,3,3,33,39,74,4,20,23,6,3,5,7,3,7,4,13,13,13,12,27,0,3,5,4,8,14,3,0,6,5,11,18,0,0,3,8,13,23,226,206,432,12,5,17,92,119,210,3,6,9,7,4,9,36,41,76,9,5,15,3,16,18,0,0,0,0,0,0,387,431,818,12,7,24,7,12,18,8,4,8,127,141,265,348,353,701,12,26,36,3738,3858,7588
507031172,29,18,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,4,7,3,6,0,0,0,34,33,63
507031173,12,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,0,0,0,17,15,27
