SA2_MAINCODE_2016,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_inc_lt_rail_M,OneMeth_Tram_inc_lt_rail_F,OneMeth_Tram_inc_lt_rail_P,OneMeth_Taxi_M,OneMeth_Taxi_F,OneMeth_Taxi_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_inc_lt_rl_M,TwoMeth_Trn_Trm_inc_lt_rl_F,TwoMeth_Trn_Trm_inc_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_inc_lt_rl_M,TwoMeth_Bus_Trm_inc_lt_rl_F,TwoMeth_Bus_Trm_inc_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
501021012,3,0,0,53,15,68,0,0,0,0,0,0,0,0,3,1958,1757,3711,185,138,326,21,0,21,20,0,20,14,4,19,35,3,42,17,37,52,2307,1963,4270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,12,0,9,0,4,4,3,0,3,10,7,18,36,18,47,49,20,68,0,0,0,0,0,3,0,0,0,0,3,3,34,100,131,281,347,627,16,22,44,2693,2449,5142
501021014,3,0,6,15,6,22,0,0,0,0,0,0,0,0,0,1442,1081,2518,115,90,206,30,0,31,13,0,17,3,0,5,24,11,33,54,48,102,1693,1236,2929,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,3,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,8,0,8,20,4,27,0,0,0,0,0,0,0,0,0,3,0,3,117,135,253,200,263,458,42,17,54,2077,1649,3726
501021015,0,0,0,24,14,33,0,0,0,0,0,0,5,4,6,1109,1049,2159,113,105,213,16,0,16,9,3,19,29,10,35,10,3,14,27,28,59,1347,1212,2557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,7,3,10,0,3,3,0,0,0,9,5,14,12,14,26,21,20,39,0,0,0,0,0,0,0,0,0,0,0,0,20,39,62,114,162,273,15,14,31,1515,1456,2970
501021016,3,0,0,9,3,14,0,0,0,0,0,0,0,0,0,541,473,1014,45,27,70,12,3,17,0,0,3,0,0,3,12,3,15,23,24,48,652,527,1186,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,7,3,16,0,0,0,0,0,0,0,0,0,0,0,0,42,44,83,124,124,248,18,12,28,843,708,1558
501021251,3,0,4,43,23,65,0,0,0,0,0,0,0,0,0,1546,1454,3001,125,154,276,19,0,20,21,4,29,20,5,26,23,7,26,10,16,23,1806,1662,3472,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,4,4,8,0,0,0,0,0,0,3,4,10,18,4,26,29,10,39,0,0,0,0,3,3,0,0,3,0,5,4,38,69,103,189,196,382,17,8,26,2078,1958,4031
501021252,0,0,0,7,3,9,0,0,0,0,0,0,0,0,0,521,484,1008,35,22,58,10,0,12,5,0,4,4,0,10,7,3,7,11,12,21,606,521,1127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,3,3,0,0,0,7,3,8,10,0,11,15,4,23,0,0,0,0,0,0,0,0,0,0,0,0,28,50,77,66,73,141,5,10,14,721,656,1380
501021253,0,5,7,32,20,51,0,0,0,0,0,0,3,3,4,2056,1819,3880,179,197,368,29,0,31,12,4,15,58,19,79,29,7,35,99,132,232,2491,2207,4703,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,3,3,7,0,0,0,0,0,0,5,0,8,3,0,3,0,0,0,7,4,14,33,13,44,41,18,60,0,0,0,3,0,4,0,0,0,3,0,7,75,138,216,209,298,505,23,25,50,2852,2684,5536
501021254,0,0,0,6,6,18,0,0,0,0,0,0,0,0,0,698,633,1336,79,75,155,5,0,5,10,0,11,16,0,19,6,3,11,11,24,30,841,745,1583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,4,0,0,0,3,3,6,10,3,11,12,9,21,0,0,0,0,0,0,0,0,4,0,0,4,11,13,25,107,139,243,13,6,23,987,916,1899
501031017,3,0,3,15,0,11,0,3,4,0,0,0,4,0,4,808,717,1526,42,69,109,25,0,26,13,0,12,9,0,7,25,10,42,67,69,131,1004,877,1878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,6,0,6,0,0,0,0,0,0,3,0,4,3,0,4,204,168,376,134,195,322,18,13,35,1367,1254,2621
501031018,0,0,0,14,3,21,0,0,0,0,0,0,0,0,0,773,713,1489,43,54,100,25,0,25,11,0,11,7,0,6,29,13,41,60,58,118,964,844,1804,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,6,3,13,0,0,0,0,0,0,0,0,0,0,0,0,125,131,257,155,147,298,20,8,31,1275,1133,2406
