SA2_MAINCODE_2016,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,Percent_Unemployment_M,Percent_Unemployment_F,Percent_Unemployment_P,Pcent_Lab_force_particip_M,Pcent_Lab_force_particip_F,Pcent_Lab_force_particip_P,Pcent_Employmnt_to_pop_M,Pcent_Employmnt_to_pop_F,Pcent_Employmnt_to_pop_P,Non_sc_quals_Postgrad_Deg_M,Non_sc_quals_Postgrad_Deg_F,Non_sc_quals_Postgrad_Deg_P,Non_sc_qua_Gra_Dip_Gra_Cer_M,Non_sc_qua_Gra_Dip_Gra_Cer_F,Non_sc_qua_Gra_Dip_Gra_Cer_P,Non_sc_quals_Bachelor_Deg_M,Non_sc_quals_Bachelor_Deg_F,Non_sc_quals_Bachelor_Deg_P,Non_sc_quals_Adv_Dip_Dip_M,Non_sc_quals_Adv_Dip_Dip_F,Non_sc_quals_Adv_Dip_Dip_P,Non_sc_quals_Cert3a4_Level_M,Non_sc_quals_Cert3a4_Level_F,Non_sc_quals_Cert3a4_Level_P,Non_sc_quals_Cert1a2_Level_M,Non_sc_quals_Cert1a2_Level_F,Non_sc_quals_Cert1a2_Level_P,Non_sc_quals_Certnfd_Level_M,Non_sc_quals_Certnfd_Level_F,Non_sc_quals_Certnfd_Level_P,Non_sc_quals_CertTot_Level_M,Non_sc_quals_CertTot_Level_F,Non_sc_quals_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
507031261,2943,2056,4996,1128,688,1812,236,522,764,82,87,165,113,95,213,1561,1398,2955,1287,561,1855,7.2,6.8,7.2,53,68,59.1,49.1,63.1,54.9,62,63,126,21,57,87,240,363,597,150,211,358,651,279,934,17,40,61,26,46,79,701,366,1071,1765,1702,3469,593,605,1202,848,745,1591,1383,1464,2843
507041175,4202,4696,8896,1897,1045,2939,673,1301,1974,82,122,203,188,156,346,2845,2627,5467,1159,1851,3010,6.6,5.9,6.3,67.7,55.9,61.5,63.1,52.6,57.5,455,365,824,119,222,343,1186,1304,2492,418,501,916,522,250,773,15,43,60,45,114,161,579,414,997,3905,4329,8235,879,906,1788,2481,2802,5278,2176,2325,4507
507041176,1454,1566,3027,647,380,1026,247,429,675,30,36,69,89,74,161,1010,922,1932,400,582,983,8.8,8,8.3,69.5,58.9,63.8,63.5,54,58.5,143,99,243,37,50,82,374,435,812,121,185,308,229,85,316,9,7,18,19,46,68,258,143,405,1465,1545,3010,229,219,451,1050,1110,2161,616,593,1208
507041177,4920,5953,10876,2337,1547,3884,687,1609,2296,145,184,322,254,207,459,3421,3538,6966,1237,2064,3298,7.4,5.9,6.6,69.5,59.4,64,64.4,56.1,59.8,314,294,608,123,293,420,926,1454,2379,498,609,1110,1089,440,1525,27,63,92,69,153,225,1183,655,1841,4797,5455,10252,825,979,1799,3074,3568,6643,2334,2744,5079
507041178,5480,6248,11726,2487,1453,3936,832,1636,2464,119,149,272,301,210,510,3734,3451,7189,1507,2519,4032,8.1,6.1,7.1,68.1,55.2,61.3,62.7,51.8,56.9,528,429,957,150,270,418,1445,1607,3051,555,677,1229,755,388,1144,30,59,85,87,148,233,871,596,1464,5242,5770,11007,1025,1089,2115,3352,3829,7180,2753,2885,5639
507041179,2980,3319,6296,1233,687,1929,430,831,1255,66,68,128,179,109,291,1908,1693,3607,1008,1537,2542,9.4,6.4,8.1,64,51,57.3,58,47.8,52.6,300,194,495,87,140,231,715,769,1481,287,352,644,440,185,627,21,26,50,30,96,123,492,307,804,3025,3212,6237,456,485,944,2089,2215,4299,1313,1367,2680
507041180,4230,4429,8658,2114,1131,3245,660,1440,2106,94,120,214,214,156,373,3081,2856,5936,1085,1492,2570,6.9,5.5,6.3,72.8,64.5,68.6,67.8,60.8,64.3,280,201,481,117,153,268,879,1017,1896,420,568,990,849,313,1163,23,60,80,65,112,177,940,487,1422,4390,4573,8957,540,500,1037,3385,3493,6877,1446,1465,2912
507041181,5891,6840,12734,2840,1606,4440,851,2021,2873,170,189,355,235,184,418,4085,4004,8091,1562,2489,4053,5.8,4.6,5.2,69.3,58.5,63.5,65.5,55.8,60.2,385,357,737,150,245,398,1287,1637,2923,609,727,1339,1142,487,1623,39,63,102,99,189,290,1276,733,2015,6001,6729,12731,999,1151,2152,3975,4454,8424,2781,3246,6019
507041182,5485,5941,11427,2001,1161,3160,809,1440,2250,139,185,328,315,242,557,3262,3032,6294,1747,2287,4037,9.7,8,8.8,59.5,51,55.1,53.8,46.9,50.2,327,259,591,91,153,247,976,1192,2165,463,586,1052,975,337,1317,39,78,111,74,131,204,1093,545,1638,4661,5039,9698,852,937,1789,3236,3657,6889,2179,2152,4331
507041183,1671,2089,3758,738,445,1186,198,507,711,47,54,105,100,82,184,1087,1087,2176,485,866,1353,9.2,7.5,8.5,65.1,52,57.9,58.8,48.2,53.3,56,73,126,34,70,107,228,404,637,151,184,328,367,180,551,14,21,38,25,55,88,413,262,671,1667,1943,3608,331,369,704,1068,1284,2347,817,936,1761
507041184,2365,2452,4821,1048,564,1605,414,747,1157,58,65,128,121,86,210,1644,1456,3100,682,943,1629,7.4,5.9,6.8,69.5,59.4,64.3,64.3,56.1,59.9,203,163,364,65,86,149,662,655,1318,210,276,483,291,124,416,21,19,38,25,66,92,331,210,540,2463,2510,4978,281,284,566,1912,1941,3852,779,799,1577
507051185,10781,12219,22998,6174,3366,9539,1041,3242,4285,428,428,857,610,698,1305,8250,7733,15981,1790,3675,5464,7.4,9,8.2,76.5,63.3,69.5,70.9,57.6,63.8,195,200,397,86,228,316,815,1493,2304,899,1375,2269,3542,2019,5563,127,288,416,173,344,519,3847,2650,6496,10550,11399,21946,3059,3468,6530,4259,4473,8735,8269,9382,17652
507051186,3321,3577,6901,1262,650,1905,336,761,1096,93,86,184,295,232,519,1984,1726,3708,1096,1571,2665,14.9,13.4,14,59.7,48.3,53.7,50.9,41.9,46.2,19,29,54,18,33,53,108,207,313,188,273,458,996,497,1490,48,100,146,44,95,140,1087,688,1781,3188,3333,6517,513,540,1058,2172,2318,4485,1379,1418,2790
507051187,4642,5247,9883,2277,1212,3492,491,1419,1909,172,159,335,375,323,697,3324,3116,6435,1005,1745,2752,11.3,10.4,10.8,71.6,59.4,65.1,63.3,53.2,58,62,51,114,26,73,93,239,430,674,376,542,912,1418,837,2259,65,107,175,80,146,227,1567,1096,2666,4871,5262,10137,858,1020,1881,3109,3324,6436,2351,2647,4999
507051188,7175,6729,13903,2899,1334,4225,580,1305,1881,179,171,355,404,311,716,4061,3118,7183,1991,2977,4966,9.9,10,10,56.6,46.3,51.7,51,41.8,46.5,107,82,191,46,75,123,380,563,947,510,553,1065,2066,839,2903,81,115,190,120,184,301,2260,1130,3394,5444,5487,10931,1364,1265,2632,3290,3429,6720,3335,3168,6506
507051189,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507051190,4398,4748,9141,1707,939,2649,471,1072,1546,138,141,282,324,209,530,2641,2367,5006,1562,2161,3718,12.3,8.8,10.6,60.1,49.9,54.8,52.7,45.3,49,71,107,179,41,96,138,292,519,812,393,492,884,1391,587,1979,54,97,147,89,144,228,1531,831,2359,4120,4315,8439,844,847,1693,2742,2866,5606,2060,2153,4210
507051191,6487,6996,13477,3655,1791,5443,739,2173,2909,248,232,481,441,447,891,5079,4641,9723,1132,2057,3187,8.7,9.6,9.2,78.3,66.3,72.1,71.6,60,65.5,115,109,223,68,143,213,487,918,1401,546,821,1362,2196,1160,3360,79,136,214,106,189,294,2381,1487,3867,6839,7033,13869,1642,1796,3437,3578,3677,7250,4398,4711,9110
507051192,4517,4875,9392,2101,1099,3198,498,1226,1723,148,146,292,314,290,604,3071,2755,5823,1201,1851,3052,10.2,10.5,10.4,68,56.5,62,60.8,50.7,55.5,47,62,111,32,72,105,222,494,718,339,452,795,1483,710,2192,58,89,147,76,133,213,1618,931,2547,4645,4862,9501,716,779,1496,2944,3032,5979,2178,2342,4514
507051193,3986,4195,8186,1731,912,2640,431,1010,1444,133,118,254,357,274,628,2656,2314,4965,1055,1598,2658,13.4,11.8,12.6,66.6,55.2,60.7,57.6,48.6,53,44,45,89,30,50,81,177,363,542,254,376,625,1302,629,1924,46,92,138,67,93,162,1409,814,2227,3856,4015,7876,656,708,1369,2569,2577,5151,1733,1948,3686
509011225,5501,6459,11963,2131,1288,3423,762,1518,2285,162,174,338,209,121,339,3270,3103,6376,1846,2913,4756,6.4,3.9,5.3,59.4,48,53.3,55.5,46.1,50.5,123,142,272,103,155,256,506,875,1386,433,675,1105,1356,737,2091,73,112,186,101,176,281,1533,1024,2555,4833,5518,10352,1162,1334,2494,3092,3498,6594,2763,3191,5952
509011226,1372,1336,2707,587,281,869,208,417,626,58,49,112,36,40,70,892,789,1679,378,458,836,4,5.1,4.2,65,59.1,62,62.2,55.9,59.4,22,37,57,16,37,50,133,178,311,107,154,266,358,172,527,16,32,47,31,43,68,403,249,650,1380,1274,2653,199,222,424,960,859,1827,553,585,1134
509011227,1702,1843,3545,738,401,1143,237,548,791,54,58,110,63,49,112,1099,1059,2156,527,705,1227,5.7,4.6,5.2,64.6,57.5,60.8,60.5,54.6,57.7,25,39,65,18,52,74,127,236,366,129,222,348,488,247,739,34,50,80,34,52,82,553,351,903,1750,1833,3589,326,326,651,1135,1153,2295,867,937,1804
509011228,2298,2438,4738,718,361,1079,396,693,1083,98,88,187,68,47,117,1276,1193,2470,823,1025,1848,5.3,3.9,4.7,55.5,48.9,52.1,52.7,46.8,49.6,87,75,162,38,86,117,272,387,662,183,300,485,531,247,780,24,45,65,55,78,133,611,364,973,2132,2192,4319,405,410,817,1393,1409,2803,1029,1105,2134
509011229,1228,989,2222,721,283,1010,104,269,375,44,34,75,22,11,31,884,604,1492,188,271,460,2.5,1.8,2.1,72,61.1,67.1,70.8,59.3,65.7,7,16,24,3,24,30,69,124,196,48,96,147,255,121,373,9,24,35,29,21,52,293,159,456,1144,974,2116,170,140,309,803,674,1475,433,372,802
509011230,1835,1745,3584,865,426,1287,179,370,546,54,58,113,82,41,121,1177,887,2066,415,635,1054,7,4.6,5.9,64.1,50.8,57.6,59.8,48.9,54.3,17,15,29,6,30,41,81,169,251,64,103,168,399,186,583,23,40,69,28,36,64,448,265,712,1678,1592,3276,309,269,579,1158,1119,2274,714,641,1359
509011231,1630,1532,3161,821,396,1219,154,374,535,78,51,126,46,34,77,1104,856,1959,345,505,854,4.2,4,3.9,67.7,55.9,62,64.6,53.6,59.5,15,11,25,8,22,30,93,194,288,73,127,202,318,188,503,19,30,45,33,36,71,371,251,622,1608,1563,3167,194,175,365,1166,1101,2269,514,521,1031
509011232,1672,1249,2919,507,288,798,202,391,598,48,51,95,32,23,50,789,754,1541,824,447,1272,4.1,3.1,3.2,47.2,60.4,52.8,45.3,58.4,51.1,29,37,68,12,50,63,117,185,300,100,154,259,399,130,527,13,26,39,24,34,56,428,192,619,1274,1271,2540,168,170,340,938,879,1819,471,518,990
509011233,3827,4087,7915,1690,856,2544,512,1235,1747,137,137,278,181,112,288,2525,2335,4859,1057,1508,2564,7.2,4.8,5.9,66,57.1,61.4,61.1,54.5,57.7,23,26,54,21,45,69,153,354,501,216,378,597,1162,648,1803,70,102,168,59,111,168,1288,858,2147,3844,3927,7768,704,755,1457,2508,2596,5110,1799,1903,3693
509011234,2109,1994,4104,781,368,1145,253,512,768,71,55,129,97,64,156,1199,1002,2201,705,817,1526,8.1,6.4,7.1,56.9,50.3,53.6,52.4,46.9,49.8,28,27,57,17,37,51,120,189,308,131,209,341,487,261,745,23,47,70,33,60,93,543,370,912,1909,1877,3783,314,297,615,1275,1282,2552,840,790,1627
509011235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509021236,2098,2133,4225,960,505,1465,237,545,784,96,80,176,85,73,159,1382,1199,2585,557,768,1326,6.2,6.1,6.2,65.9,56.2,61.2,61.6,53,57.4,27,19,45,11,32,42,94,174,265,113,242,362,694,273,959,19,42,60,39,58,94,748,370,1118,2077,2101,4177,317,336,651,1366,1342,2707,926,974,1904
509021237,1722,1585,3303,718,296,1015,144,357,498,58,53,106,67,31,100,984,733,1719,537,675,1213,6.8,4.2,5.8,57.1,46.2,52,53.4,44.5,49,8,12,24,4,21,22,73,155,227,74,102,168,371,158,524,14,26,43,22,40,61,406,222,628,1618,1488,3113,231,219,452,1074,1012,2089,695,601,1294
509021238,1618,1505,3121,815,313,1132,154,405,553,46,47,96,58,49,107,1076,810,1888,422,584,1007,5.4,6,5.7,66.5,53.8,60.5,62.7,50.8,57.1,12,17,31,14,31,40,77,150,224,59,130,183,379,160,542,12,36,49,21,26,45,415,222,635,1611,1498,3110,221,223,439,1164,1045,2205,559,569,1132
509021239,3698,3374,7070,1469,724,2197,406,787,1193,149,122,275,142,89,223,2167,1719,3891,1186,1362,2552,6.6,5.2,5.7,58.6,50.9,55,54.7,48.4,51.8,35,40,74,15,36,49,181,339,520,198,285,481,1116,335,1448,37,63,98,94,93,181,1243,486,1733,3342,3018,6359,596,587,1185,2271,1987,4262,1480,1453,2932
509021240,2147,1912,4059,1025,508,1530,192,441,634,82,72,158,67,43,114,1374,1063,2432,611,710,1326,4.9,4,4.7,64,55.6,59.9,60.5,53.4,57.2,14,13,30,12,45,53,98,216,322,77,160,244,472,171,647,17,45,58,27,37,62,513,256,772,2012,1840,3859,384,344,730,1399,1249,2645,878,801,1685
509021241,2049,1763,3814,1123,468,1594,160,438,603,68,50,125,64,37,98,1422,994,2414,420,622,1043,4.5,3.7,4.1,69.4,56.4,63.3,65.9,54.2,60.9,15,21,42,12,33,38,113,196,306,82,150,235,429,169,601,16,30,45,39,36,75,488,234,722,1977,1711,3687,272,275,547,1367,1144,2512,733,751,1483
509021242,2115,1220,3337,1163,347,1510,134,245,381,98,44,147,54,33,85,1453,663,2121,286,401,686,3.7,5,4,68.7,54.3,63.6,66,52.1,61.1,11,9,21,7,19,20,88,121,209,81,88,170,500,117,615,7,32,46,33,29,64,538,182,720,1582,1022,2609,361,227,589,1112,726,1842,753,447,1203
509021243,4620,4352,8973,1677,959,2636,402,964,1367,147,129,276,240,166,402,2461,2220,4681,1752,1759,3510,9.8,7.5,8.6,53.3,51,52.2,48.2,47.2,47.7,53,50,106,25,45,68,198,362,555,226,351,578,1069,503,1578,67,131,194,62,122,186,1200,757,1957,4015,4108,8119,630,698,1328,2677,2699,5372,1677,1832,3512
509021244,1822,1876,3703,648,370,1020,198,412,608,85,59,140,97,72,166,1031,913,1939,638,791,1423,9.4,7.9,8.6,56.6,48.7,52.4,51.1,44.8,47.7,30,44,69,13,40,54,96,179,271,125,197,321,551,205,757,16,36,52,30,56,90,600,296,890,1721,1717,3442,211,227,441,1240,1244,2476,616,637,1256
509021245,2158,2158,4317,745,390,1137,238,498,736,71,47,122,72,57,137,1134,991,2125,777,951,1728,6.3,5.8,6.4,52.5,45.9,49.2,48.8,43.3,46.2,23,28,48,9,36,49,138,239,376,122,213,336,532,225,751,9,31,46,42,61,101,579,313,897,2010,2008,4014,270,293,565,1446,1363,2811,742,828,1569
509031246,1490,1439,2928,687,284,969,138,326,464,54,57,111,57,46,101,939,713,1650,396,560,954,6.1,6.5,6.1,63,49.5,56.4,59,46.4,52.7,13,11,25,6,20,25,52,135,181,45,122,171,303,138,443,11,28,37,22,33,56,336,198,534,1396,1293,2689,207,247,452,960,905,1867,541,532,1075
509031247,1996,1532,3530,1244,459,1702,146,417,560,80,66,139,34,31,62,1499,968,2463,306,448,754,2.3,3.2,2.5,75.1,63.2,69.8,73.6,61.5,68,6,10,21,4,46,44,130,219,348,87,126,210,428,165,587,23,23,45,28,43,76,480,231,712,1874,1526,3398,253,248,499,1347,1109,2460,656,536,1193
509031248,1495,1016,2507,817,243,1059,123,244,366,116,54,168,53,37,84,1106,575,1684,238,354,592,4.8,6.4,5,74,56.6,67.2,70.6,53.2,63.5,26,15,43,14,26,33,101,100,208,95,100,194,466,113,581,14,11,27,23,23,38,500,143,649,1300,929,2226,273,208,480,788,554,1342,706,505,1214
509031249,1784,1960,3742,740,422,1171,157,422,586,84,63,146,63,43,110,1057,956,2008,528,792,1319,6,4.5,5.5,59.2,48.8,53.7,55,46.3,50.9,20,20,40,21,37,62,129,196,319,82,178,261,427,206,633,38,53,91,34,52,85,499,317,809,1668,1781,3444,307,353,655,1106,1182,2290,741,834,1574
509031250,1969,1845,3818,921,423,1344,192,481,681,58,61,123,69,44,114,1245,1021,2259,513,641,1163,5.5,4.3,5,63.2,55.3,59.2,59.5,52.3,56.3,10,19,30,13,39,54,81,194,274,101,140,244,417,189,603,22,36,57,36,53,89,476,278,751,1883,1770,3651,251,272,527,1396,1258,2654,618,651,1273
510011262,7681,7873,15551,2934,2244,5179,727,1350,2075,521,586,1104,239,160,402,4416,4342,8754,2284,2511,4798,5.4,3.7,4.6,57.5,55.2,56.3,54.4,53.1,53.7,187,247,436,98,233,334,817,1325,2136,581,869,1444,1974,774,2748,94,137,227,153,227,378,2212,1139,3355,6289,6293,12582,1675,1887,3567,3861,3689,7548,3683,4033,7717
510011263,3726,3675,7400,1068,905,1975,244,294,538,254,227,485,259,138,400,1827,1575,3403,1503,1680,3185,14.2,8.8,11.8,49,42.9,46,42,38.8,40.5,72,98,167,44,106,148,247,431,673,173,222,397,737,300,1037,94,95,193,46,60,105,874,455,1334,3437,3422,6859,752,781,1536,2400,2355,4754,1473,1581,3047
510011264,1450,1487,2942,334,285,620,70,93,162,70,60,135,80,64,149,558,497,1059,534,658,1197,14.3,12.9,14.1,38.5,33.4,36,32.7,29.5,31.2,24,33,57,12,21,41,77,122,201,70,65,135,239,83,318,11,24,37,25,31,53,276,129,404,1246,1286,2534,425,392,818,941,982,1923,612,567,1177
510011265,4285,4170,8459,1670,1223,2897,287,500,790,372,349,716,160,117,277,2491,2189,4676,1159,1363,2522,6.4,5.3,5.9,58.1,52.5,55.3,54.4,49.7,52.1,108,98,204,46,122,163,372,634,1010,288,387,672,1115,357,1469,51,83,135,70,92,162,1239,532,1767,3494,3348,6840,887,960,1850,2218,2150,4371,1897,1913,3811
510011266,1534,1530,3060,262,229,490,116,155,270,121,107,222,105,72,178,597,556,1154,748,809,1557,17.6,12.9,15.4,38.9,36.3,37.7,32.5,32.1,32.1,23,38,57,23,31,54,96,165,261,110,107,219,371,124,498,28,48,77,30,23,52,425,201,629,1480,1464,2941,228,250,481,1159,1143,2305,456,474,931
510021267,9950,2579,12531,5680,1057,6741,370,149,516,588,155,749,143,68,218,6785,1432,8224,531,533,1062,2.1,4.7,2.7,68.2,55.5,65.6,66.7,52.8,63.9,121,43,163,56,30,88,606,225,829,471,168,641,3124,296,3422,90,57,148,102,47,150,3316,393,3712,5912,1670,7576,1673,572,2249,3302,1031,4332,4182,1128,5310
510021268,2976,1612,4589,1542,616,2161,121,282,399,152,70,227,88,76,163,1905,1050,2957,136,321,458,4.6,7.2,5.5,64,65.1,64.4,61,60,60.7,35,22,58,23,22,44,170,210,380,137,141,279,924,215,1146,23,36,62,42,33,73,988,281,1271,1855,1292,3151,654,542,1194,832,507,1336,1495,1171,2671
510021269,3091,1758,4851,1978,669,2653,138,312,455,182,90,268,49,49,105,2352,1124,3477,233,382,611,2.1,4.4,3,76.1,63.9,71.7,74.3,60.9,69.6,82,51,131,36,51,84,298,316,617,273,174,449,1038,212,1243,29,38,65,49,41,90,1109,293,1398,2114,1234,3343,854,643,1502,949,461,1410,1880,1274,3161
510021270,4406,3615,8021,2333,1152,3491,254,592,851,221,161,382,140,146,283,2953,2050,5009,513,932,1448,4.7,7.1,5.6,67,56.7,62.4,63.7,52.7,58.9,45,43,95,27,76,98,206,384,587,223,312,538,1474,403,1875,37,95,131,49,61,112,1559,558,2119,3060,2555,5608,1328,1247,2575,1284,1057,2344,2762,2441,5202
510031271,18642,4507,23147,12044,2030,14083,683,452,1132,1126,317,1440,111,89,200,13965,2894,16858,590,829,1417,0.8,3.1,1.2,74.9,64.2,72.8,74.3,62.1,72,304,84,386,94,95,190,1262,566,1826,1148,408,1553,7165,652,7815,128,87,213,220,98,315,7514,834,8348,11341,3183,14517,3854,1199,5052,5523,1443,6971,9376,2726,12097
510031272,7674,5769,13443,4510,2062,6570,488,1189,1681,408,250,659,256,238,493,5659,3737,9397,733,1391,2118,4.5,6.4,5.2,73.7,64.8,69.9,70.4,60.7,66.3,158,145,306,59,125,184,604,884,1489,553,592,1141,2525,707,3231,83,155,238,137,169,305,2739,1028,3774,5768,4596,10363,2353,2121,4477,2391,1635,4022,5099,4469,9567
510031273,4214,1982,6202,2075,585,2661,157,312,469,206,107,313,119,109,232,2560,1112,3669,683,667,1356,4.6,9.8,6.3,60.7,56.1,59.2,57.9,50.7,55.5,81,24,102,23,21,45,245,212,457,223,186,405,1288,258,1545,34,40,72,52,32,82,1370,335,1703,2862,1776,4635,755,462,1214,1373,832,2206,2072,1250,3319
511011274,4701,4865,9570,2134,1025,3158,501,1302,1800,199,174,372,170,113,286,3004,2613,5616,1159,1763,2920,5.7,4.3,5.1,63.9,53.7,58.7,60.3,51.4,55.7,52,50,104,40,97,136,262,446,707,247,411,653,1272,555,1828,50,134,187,58,133,199,1387,830,2212,4340,4467,8810,845,875,1717,2839,2874,5708,2052,2181,4230
511011275,1823,1344,3169,953,331,1280,127,302,431,71,49,118,51,24,71,1204,700,1902,316,424,743,4.2,3.4,3.7,66,52.1,60,63.1,50.7,57.7,14,12,28,9,30,33,93,156,251,83,138,220,415,142,558,23,22,44,33,38,69,474,200,668,1537,1222,2759,280,222,504,998,793,1789,744,567,1312
511021276,2736,2584,5315,856,627,1482,182,346,535,129,130,261,107,61,168,1274,1168,2441,1022,1007,2030,8.4,5.2,6.9,46.6,45.2,45.9,42.7,42.7,42.9,27,25,55,20,35,53,148,232,385,144,195,339,639,207,838,32,59,92,37,65,104,705,325,1034,2339,2156,4498,399,400,796,1684,1505,3186,936,941,1874
511021277,4332,3797,8131,1227,630,1858,305,565,870,459,385,841,94,62,153,2085,1637,3722,1775,1786,3558,4.5,3.8,4.1,48.1,43.1,45.8,46,41.6,43.9,99,91,192,41,85,126,375,522,900,364,404,767,1268,344,1610,45,80,129,102,115,214,1419,540,1951,3665,3222,6885,654,623,1272,2563,2223,4794,1608,1461,3067
511031278,2966,2594,5556,1486,704,2188,218,534,756,127,85,203,153,125,276,1979,1448,3426,593,814,1411,7.7,8.6,8.1,66.7,55.8,61.7,61.7,51,56.6,20,20,43,5,20,27,76,127,207,83,180,265,870,305,1178,29,60,91,44,65,107,945,431,1376,2572,2349,4916,530,486,1021,1605,1437,3042,1320,1200,2523
511031279,6084,5213,11296,3394,1652,5040,421,1187,1604,228,188,418,226,218,445,4273,3241,7518,994,1426,2420,5.3,6.7,5.9,70.2,62.2,66.6,66.5,58.1,62.5,157,116,264,62,88,150,443,618,1062,307,375,686,1707,608,2315,67,93,165,82,130,215,1859,828,2689,5183,4646,9827,1289,1164,2453,2909,2559,5468,3218,2969,6192
511031280,3301,3198,6500,2124,1169,3286,218,769,990,116,126,242,100,110,207,2556,2170,4725,457,818,1277,3.9,5.1,4.4,77.4,67.9,72.7,74.5,64.5,69.5,107,86,196,33,69,105,309,501,814,229,303,530,1059,360,1417,18,66,81,37,70,104,1106,498,1602,3083,3059,6150,793,811,1601,1682,1629,3309,1928,1958,3886
511031281,8,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511031282,3123,1887,5014,1483,484,1965,136,283,415,132,75,209,124,68,197,1876,914,2786,541,671,1209,6.6,7.4,7.1,60.1,48.4,55.6,56.1,44.6,51.6,38,25,69,16,28,44,181,126,306,134,130,264,825,202,1023,20,37,58,36,44,82,883,284,1166,2225,1529,3755,546,421,965,1389,929,2315,1248,909,2154
511031283,5203,1972,7171,2594,618,3214,248,160,406,294,77,364,138,106,238,3269,954,4224,509,573,1077,4.2,11.1,5.6,62.8,48.4,58.9,60.3,43.4,55.6,74,32,108,34,32,75,332,162,491,218,104,325,1354,162,1517,39,25,68,73,47,125,1471,239,1707,3303,1464,4771,987,537,1523,1990,970,2961,2166,924,3096
511031284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511041285,4901,5166,10071,1688,1054,2747,499,1039,1536,164,150,315,356,185,541,2708,2424,5130,1587,2144,3733,13.1,7.6,10.5,55.3,46.9,50.9,48,43.4,45.7,89,76,161,40,104,142,296,530,826,276,394,670,1233,489,1725,79,118,190,66,99,165,1372,707,2080,4091,4361,8449,874,949,1820,2726,2857,5585,2042,2235,4284
511041286,2956,2932,5891,1094,609,1705,303,752,1055,106,98,204,226,153,374,1730,1606,3341,1004,1088,2100,13.1,9.5,11.2,58.5,54.8,56.7,50.8,49.8,50.3,13,13,22,18,35,57,65,183,249,101,233,333,841,392,1233,54,99,146,42,80,123,940,569,1505,2818,2864,5682,388,452,836,1940,1905,3843,1105,1236,2340
511041287,2732,2993,5726,1298,798,2099,286,789,1077,113,104,218,140,121,265,1840,1820,3657,743,1016,1754,7.6,6.6,7.2,67.3,60.8,63.9,62.1,56.5,59.3,22,29,54,19,67,91,122,333,460,172,286,460,941,460,1406,49,52,99,41,83,125,1025,598,1624,2713,2812,5519,629,734,1357,1661,1671,3333,1452,1688,3139
511041288,3580,3945,7518,1839,1144,2986,391,1097,1482,144,155,297,214,161,375,2581,2552,5133,769,1157,1928,8.3,6.3,7.3,72.1,64.7,68.3,66.3,60.7,63.4,91,90,177,44,110,157,302,509,807,282,374,656,1054,524,1577,59,91,156,56,96,153,1179,715,1892,3527,3792,7312,761,847,1609,2177,2340,4519,1871,2108,3979
