SA2_MAINCODE_2016,OO_DS_Sep_hse,OO_DS_Sde_row_or_ter_h_t,OO_DS_Flt_apt,OO_DS_Oth_dwel,OO_DS_NS,Owned_Outright_Total,OWM_DS_Sep_hse,OWM_DS_Sde_row_or_ter_h_t,OWM_DS_Flt_apt,OWM_DS_Oth_dwel,OWM_DS_NS,Owned_with_mortgage_Total,R_REA_DS_Sep_hse,R_REA_DS_Sde_row_or_ter_h_t,R_REA_DS_Flt_apt,R_REA_DS_Oth_dwel,R_REA_DS_NS,R_Real_estate_agent_Total,R_SteTer_h_auth_DS_Separat_hs,R_ST_h_aut_DS_Sd_r_ter_h_t,R_SteT_h_auth_DS_Flt_apt,R_SteTer_h_auth_DS_Oth_dwel,R_SteTer_h_auth_DS_NS,R_SteTer_h_auth_Total,R_Pn_not_s_hh_DS_Sep_hse,R_P_not_s_hh_DS_Sd_ro_ter_h_t,R_Pn_not_s_hh_DS_Flt_apt,R_Pn_not_s_hh_DS_Oth_dwel,R_Pn_not_s_hh_DS_NS,R_Psn_not_same_hh_Total,R_Hs_coop_c_ch_grp_DS_Sep_hse,R_Hs_cp_c_ch_g_DS_Sd_r_te_h_t,R_Hs_cp_c_ch_gp_DS_Flt_apt,R_Hs_coop_c_ch_grp_DS_Oth_dwe,R_Hs_coop_c_ch_grp_DS_NS,R_Hs_coop_c_ch_grp_Total,R_Oth_llord_type_DS_Sep_hse,R_Oth_lld_typ_DS_S_ro_ter_h_t,R_Oth_lld_type_DS_Flt_apt,R_Oth_llord_type_DS_Oth_dwel,R_Oth_llord_type_DS_NS,R_Oth_llord_type_Total,R_Llord_type_NS_DS_Sep_hse,R_Lld_ty_NS_DS_Sd_row_ter_h_t,R_Llord_typ_NS_DS_Flt_apt,R_Llord_type_NS_DS_Oth_dwel,R_Llord_type_NS_DS_NS,R_Llord_type_NS_Total,R_Total_DS_Sep_hse,R_Total_DS_Sde_row_or_ter_h_t,R_Total_DS_Flt_apt,R_Total_DS_Oth_dwel,R_Total_DS_NS,R_Total_Total,Oth_tenu_typ_DS_Sep_hse,Oth_ten_typ_DS_Sd_row_ter_h_t,Oth_tenu_typ_DS_Flt_apt,Oth_tenu_typ_DS_Oth_dwel,Oth_tenu_typ_DS_NS,Oth_tenu_typ_Total,Tenu_typ_NS_DS_Sep_hse,Ten_ty_NS_DS_Sd_row_ter_h_t,Tenu_typ_NS_DS_Flt_apt,Tenu_typ_NS_DS_Oth_dwel,Tenu_typ_NS_DS_NS,Tenu_typ_NS_Total,Total_DS_Sep_hse,Total_DS_Sde_row_or_ter_h_t,Total_DS_Flt_apt,Total_DS_Oth_dwel,Total_DS_NS,Total_Total
506031130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,3,0,0,4
506031131,2214,63,78,0,3,2359,2127,73,79,0,0,2281,510,54,75,0,0,637,21,30,6,0,0,67,315,42,46,0,0,409,3,0,0,0,0,9,24,5,0,0,0,29,12,3,3,0,0,19,891,141,130,0,0,1167,15,0,0,0,0,16,148,24,4,0,0,177,5391,300,299,4,4,5999
506041132,1609,56,5,0,0,1671,2409,198,26,3,3,2634,654,217,34,0,4,904,149,111,0,0,0,259,576,76,4,7,0,664,5,8,0,0,0,17,62,16,0,0,0,74,31,10,0,0,0,46,1483,424,38,6,7,1958,35,3,0,0,0,38,360,62,17,3,3,446,5898,745,84,12,11,6752
506041133,1466,128,26,0,3,1621,3361,288,12,0,3,3664,680,190,9,0,0,879,10,4,0,0,0,10,268,55,3,0,0,326,3,0,0,0,0,5,26,3,0,0,0,22,5,5,0,0,0,9,984,257,8,3,0,1261,32,42,28,0,0,94,212,40,4,0,3,260,6057,754,69,3,6,6894
506041134,1664,194,19,0,4,1879,2644,268,31,0,9,2954,603,252,38,0,0,897,190,146,14,0,0,348,519,83,19,0,0,622,18,48,3,0,0,72,86,16,4,0,0,107,28,12,0,0,0,43,1442,560,81,3,3,2090,75,52,0,0,0,133,486,206,9,4,3,702,6313,1276,132,9,18,7754
506041135,1112,28,0,0,0,1136,3604,84,0,0,0,3690,500,68,4,0,3,576,70,0,0,0,0,70,304,16,0,0,0,319,3,0,0,0,0,3,39,0,0,0,0,39,18,0,0,0,0,19,939,82,4,0,6,1026,23,3,0,0,0,24,231,14,0,0,0,253,5899,207,4,3,4,6128
506041136,1012,152,15,65,0,1243,1874,76,33,20,11,2006,312,94,23,7,4,435,89,33,32,3,0,164,351,35,13,11,4,411,6,34,3,3,0,49,62,6,0,50,3,127,23,6,0,0,0,32,847,205,75,77,10,1216,22,93,0,3,0,114,270,53,10,43,18,386,4028,578,132,199,36,4969
506041137,2448,162,3,0,0,2612,3421,159,17,4,0,3592,615,113,31,0,4,763,99,70,3,0,0,178,490,62,9,0,0,559,5,7,0,0,0,15,53,3,0,0,0,61,28,3,0,0,0,31,1292,252,54,0,3,1601,32,55,0,0,0,88,361,50,8,3,0,414,7548,668,77,3,8,8312
506051138,1505,100,0,68,0,1670,3182,94,0,4,0,3279,568,59,0,0,3,634,76,58,0,0,0,139,423,45,0,0,3,468,3,10,0,0,0,18,26,3,0,17,0,48,22,0,0,0,0,19,1118,175,0,22,9,1327,15,101,0,3,0,119,315,51,0,45,3,411,6135,522,0,133,17,6809
506051139,1211,14,0,3,0,1234,2051,41,0,0,0,2094,429,46,0,0,0,473,56,10,0,0,0,65,302,10,0,0,0,315,3,3,0,0,0,3,25,3,0,0,0,29,17,0,0,0,0,17,830,65,0,0,3,902,28,3,0,0,0,34,352,11,0,0,7,372,4475,139,0,4,6,4629
506051140,2351,135,4,0,5,2493,2175,36,3,3,0,2217,278,40,0,0,0,319,13,28,0,0,0,44,246,33,0,0,0,279,0,0,0,0,0,0,8,0,0,0,0,10,16,4,0,0,0,19,560,107,0,0,5,674,22,4,0,0,0,26,284,33,0,3,3,321,5386,313,3,11,8,5723
506051141,1527,21,0,18,5,1582,1656,10,3,7,10,1690,134,18,0,0,0,154,0,4,9,0,0,14,164,10,0,3,0,176,6,20,28,0,0,56,13,0,0,0,0,9,11,0,0,0,0,17,328,51,34,3,0,423,27,18,0,0,0,45,190,7,3,0,0,198,3729,110,43,39,22,3935
506061142,729,3,7,0,0,737,3487,43,4,0,3,3533,448,16,0,0,0,468,0,0,0,0,0,0,237,5,0,0,0,251,0,6,0,0,0,9,12,0,0,0,0,12,15,0,0,0,0,15,719,28,0,0,3,754,14,0,0,0,0,21,278,8,3,0,0,290,5228,83,15,4,5,5332
