SA2_MAINCODE_2016,M_0_4_yr_Need_for_assist,M_0_4_yr_No_need_for_assist,M_0_4_yr_Need_for_assist_ns,M_0_4_yr_OS_v,M_0_4_yr_Tot,M_5_14_yr_Need_for_assist,M_5_14_yr_No_need_for_assist,M_5_14_yr_Need_for_assist_ns,M_5_14_yr_OS_v,M_5_14_yr_Tot,M_15_19_yr_Need_for_assist,M_15_19_No_need_for_assist,M_15_19_Need_for_assist_ns,M_15_19_yr_OS_v,M_15_19_yr_Tot,M_20_24_yr_Need_for_assist,M_20_24_No_need_for_assist,M_20_24_Need_for_assist_ns,M_20_24_yr_OS_v,M_20_24_yr_Tot,M_25_34_yr_Need_for_assist,M_25_34_No_need_for_assist,M_25_34_Need_for_assist_ns,M_25_34_yr_OS_v,M_25_34_yr_Tot,M_35_44_yr_Need_for_assist,M_35_44_No_need_for_assist,M_35_44_Need_for_assist_ns,M_35_44_yr_OS_v,M_35_44_yr_Tot,M_45_54_yr_Need_for_assist,M_45_54_No_need_for_assist,M_45_54_Need_for_assist_ns,M_45_54_yr_OS_v,M_45_54_yr_Tot,M_55_64_yr_Need_for_assist,M_55_64_No_need_for_assist,M_55_64_Need_for_assist_ns,M_55_64_yr_OS_v,M_55_64_yr_Tot,M_65_74_yr_Need_for_assist,M_65_74_No_need_for_assist,M_65_74_Need_for_assist_ns,M_65_74_yr_OS_v,M_65_74_yr_Tot,M_75_84_yr_Need_for_assist,M_75_84_No_need_for_assist,M_75_84_Need_for_assist_ns,M_75_84_yr_OS_v,M_75_84_yr_Tot,M_85_yr_over_Need_for_assist,M_85_over_No_need_for_assist,M_85_over_Need_for_assist_ns,M_85_over_OS_v,M_85_yr_over_Tot,M_Tot_Need_for_assist,M_Tot_No_need_for_assist,M_Tot_Need_for_assist_ns,M_Tot_OS_v,M_Tot_Tot,F_0_4_yr_Need_for_assist,F_0_4_yr_No_need_for_assist,F_0_4_yr_Need_for_assist_ns,F_0_4_yr_OS_v,F_0_4_yr_Tot,F_5_14_yr_Need_for_assist,F_5_14_yr_No_need_for_assist,F_5_14_yr_Need_for_assist_ns,F_5_14_yr_OS_v,F_5_14_yr_Tot,F_15_19_yr_Need_for_assist,F_15_19_No_need_for_assist,F_15_19_Need_for_assist_ns,F_15_19_yr_OS_v,F_15_19_yr_Tot,F_20_24_yr_Need_for_assist,F_20_24_No_need_for_assist,F_20_24_Need_for_assist_ns,F_20_24_yr_OS_v,F_20_24_yr_Tot,F_25_34_yr_Need_for_assist,F_25_34_No_need_for_assist,F_25_34_Need_for_assist_ns,F_25_34_yr_OS_v,F_25_34_yr_Tot,F_35_44_yr_Need_for_assist,F_35_44_No_need_for_assist,F_35_44_Need_for_assist_ns,F_35_44_yr_OS_v,F_35_44_yr_Tot,F_45_54_yr_Need_for_assist,F_45_54_No_need_for_assist,F_45_54_Need_for_assist_ns,F_45_54_yr_OS_v,F_45_54_yr_Tot,F_55_64_yr_Need_for_assist,F_55_64_No_need_for_assist,F_55_64_Need_for_assist_ns,F_55_64_yr_OS_v,F_55_64_yr_Tot,F_65_74_yr_Need_for_assist,F_65_74_No_need_for_assist,F_65_74_Need_for_assist_ns,F_65_74_yr_OS_v,F_65_74_yr_Tot,F_75_84_yr_Need_for_assist,F_75_84_No_need_for_assist,F_75_84_Need_for_assist_ns,F_75_84_yr_OS_v,F_75_84_yr_Tot,F_85_yr_over_Need_for_assist,F_85_over_No_need_for_assist,F_85_over_Need_for_assist_ns,F_85_over_OS_v,F_85_yr_over_Tot,F_Tot_Need_for_assist,F_Tot_No_need_for_assist,F_Tot_Need_for_assist_ns,F_Tot_OS_v,F_Tot_Tot,P_0_4_yr_Need_for_assist,P_0_4_yr_No_need_for_assist,P_0_4_yr_Need_for_assist_ns,P_0_4_yr_OS_v,P_0_4_yr_Tot,P_5_14_yr_Need_for_assist,P_5_14_yr_No_need_for_assist,P_5_14_yr_Need_for_assist_ns,P_5_14_yr_OS_v,P_5_14_yr_Tot,P_15_19_yr_Need_for_assist,P_15_19_No_need_for_assist,P_15_19_Need_for_assist_ns,P_15_19_yr_OS_v,P_15_19_yr_Tot,P_20_24_yr_Need_for_assist,P_20_24_No_need_for_assist,P_20_24_Need_for_assist_ns,P_20_24_yr_OS_v,P_20_24_yr_Tot,P_25_34_yr_Need_for_assist,P_25_34_No_need_for_assist,P_25_34_Need_for_assist_ns,P_25_34_yr_OS_v,P_25_34_yr_Tot,P_35_44_yr_Need_for_assist,P_35_44_No_need_for_assist,P_35_44_Need_for_assist_ns,P_35_44_yr_OS_v,P_35_44_yr_Tot,P_45_54_yr_Need_for_assist,P_45_54_No_need_for_assist,P_45_54_Need_for_assist_ns,P_45_54_yr_OS_v,P_45_54_yr_Tot,P_55_64_yr_Need_for_assist,P_55_64_No_need_for_assist,P_55_64_Need_for_assist_ns,P_55_64_yr_OS_v,P_55_64_yr_Tot,P_65_74_yr_Need_for_assist,P_65_74_No_need_for_assist,P_65_74_Need_for_assist_ns,P_65_74_yr_OS_v,P_65_74_yr_Tot,P_75_84_yr_Need_for_assist,P_75_84_No_need_for_assist,P_75_84_Need_for_assist_ns,P_75_84_yr_OS_v,P_75_84_yr_Tot,P_85_yr_over_Need_for_assist,P_85_over_No_need_for_assist,P_85_over_Need_for_assist_ns,P_85_over_OS_v,P_85_yr_over_Tot,P_Tot_Need_for_assist,P_Tot_No_need_for_assist,P_Tot_Need_for_assist_ns,P_Tot_OS_v,P_Tot_Tot
501021012,3,442,20,0,468,37,720,56,3,817,17,344,19,0,379,12,309,15,3,334,15,691,42,3,745,17,627,41,3,682,15,617,42,0,681,27,509,41,10,587,42,382,36,0,455,63,168,27,0,261,49,41,7,0,94,293,4856,337,19,5505,0,404,22,0,427,20,737,33,0,788,7,336,19,4,373,8,312,17,8,339,10,770,55,3,837,18,697,43,6,759,15,700,39,9,769,29,563,43,3,634,50,397,32,4,483,67,211,34,7,322,84,50,18,0,152,301,5181,355,39,5873,5,849,47,0,896,63,1450,89,3,1602,23,679,44,3,751,18,618,32,5,678,21,1458,94,4,1580,28,1331,78,4,1443,33,1320,85,6,1448,57,1075,80,9,1228,92,774,62,4,931,131,383,62,6,583,125,94,25,0,244,595,10029,690,60,11374
501021014,0,230,18,0,250,16,585,60,0,657,3,342,45,8,401,3,175,17,11,206,11,380,45,17,460,6,488,54,0,544,20,562,58,0,640,20,529,51,0,602,42,373,42,0,466,38,174,20,0,233,25,18,3,0,49,188,3861,424,47,4519,0,196,14,0,213,3,550,42,3,598,3,275,51,3,332,6,151,29,9,191,5,390,37,14,447,8,501,57,0,570,12,593,47,0,656,24,483,62,4,565,26,389,49,3,464,39,164,33,0,238,35,42,10,0,85,165,3724,440,35,4357,0,427,33,0,459,21,1130,96,5,1256,6,611,98,11,729,9,322,52,22,403,18,775,91,29,910,14,986,108,0,1114,32,1162,104,0,1301,41,1008,119,3,1167,70,763,97,3,927,80,345,49,0,475,66,57,13,0,134,355,7581,862,74,8878
501021015,4,202,11,0,222,12,375,27,0,418,8,181,11,0,199,0,185,16,3,206,9,423,22,7,462,3,348,20,0,374,7,358,32,3,397,22,360,30,0,407,23,248,31,0,303,18,131,15,0,165,18,35,7,0,62,136,2838,216,16,3204,0,223,14,0,240,10,406,25,0,440,3,173,10,0,189,6,189,15,4,210,5,477,28,6,516,5,365,20,3,394,12,417,29,4,467,23,412,17,5,451,28,274,22,3,328,41,164,19,0,223,32,35,13,0,77,174,3138,213,22,3551,8,429,23,0,462,20,783,52,4,860,15,353,24,0,387,9,375,25,4,416,22,894,53,8,979,13,714,39,3,770,26,775,58,6,862,42,772,49,3,865,56,518,53,3,627,63,295,25,3,387,49,69,22,0,143,308,5977,433,38,6752
501021016,0,88,13,0,106,9,252,29,0,285,0,114,18,0,129,0,83,13,0,96,3,150,21,0,173,5,179,28,0,208,12,253,16,0,287,22,248,26,0,297,17,177,28,0,219,20,84,24,0,134,12,19,9,0,41,107,1649,217,3,1979,3,95,10,0,109,7,220,30,0,265,0,110,6,0,118,3,79,8,0,90,3,172,21,0,196,3,198,25,0,227,4,268,22,0,295,9,248,30,0,291,14,177,28,0,227,30,87,33,0,146,23,17,22,0,60,99,1681,241,5,2025,4,188,22,0,220,18,471,57,0,548,0,222,26,0,246,3,157,17,0,185,7,325,39,0,366,5,375,56,0,438,18,526,41,0,583,36,495,56,0,586,34,352,52,3,443,51,175,53,0,277,30,40,29,0,101,212,3327,461,7,4003
501021251,9,354,30,0,388,33,805,55,3,891,7,367,19,0,393,10,208,14,3,236,4,468,31,0,516,3,600,31,0,632,11,535,33,0,584,12,272,12,3,302,23,160,12,0,196,13,43,3,0,69,3,0,3,0,5,136,3815,238,15,4205,4,326,26,0,353,17,771,41,3,827,3,381,20,4,407,0,221,6,3,233,7,582,52,3,637,5,705,41,0,750,14,608,47,3,665,8,281,15,3,315,19,203,11,3,240,21,51,5,4,78,5,7,0,0,17,112,4137,271,27,4544,13,681,54,0,742,50,1574,93,3,1719,14,751,38,7,807,8,430,24,8,462,14,1052,84,5,1152,9,1300,67,3,1388,22,1147,77,3,1253,22,560,30,9,623,43,365,21,3,434,32,101,12,4,149,11,6,3,0,24,248,7947,510,42,8747
501021252,0,67,3,0,72,5,220,11,0,235,3,145,11,0,155,0,55,5,0,61,4,72,0,0,80,0,147,6,0,156,0,222,3,0,231,7,208,12,0,231,12,112,10,0,135,11,32,6,3,44,6,6,0,0,10,50,1279,72,6,1402,0,57,0,0,57,6,243,6,0,254,3,152,0,7,160,0,45,0,0,49,0,74,3,3,81,0,190,12,0,201,0,264,12,0,276,3,212,14,0,237,6,99,5,0,113,9,22,3,0,38,13,9,0,0,16,37,1383,55,6,1489,0,122,3,0,127,9,464,17,0,488,3,290,9,7,310,0,103,5,0,110,6,152,7,3,159,3,342,18,0,362,3,483,18,3,508,14,422,28,0,467,19,214,13,0,249,22,55,9,4,82,10,17,3,0,32,92,2667,131,11,2899
501021253,3,303,21,0,324,18,629,38,4,689,11,290,24,6,329,5,258,19,4,293,15,632,75,18,735,14,654,80,9,755,21,707,72,7,805,36,691,69,5,804,40,519,47,3,616,66,214,26,0,308,63,73,5,0,144,298,4969,480,56,5802,3,261,23,0,286,11,577,47,0,634,5,245,18,5,275,5,283,19,16,322,13,690,56,14,773,16,688,56,8,770,16,754,61,7,844,28,787,61,14,890,50,562,59,4,673,108,290,31,0,436,189,120,17,0,333,443,5261,460,72,6228,3,563,42,0,612,27,1206,79,4,1317,19,533,46,14,610,12,546,35,22,613,28,1324,134,24,1509,32,1343,135,13,1521,40,1458,134,13,1646,61,1476,129,16,1690,93,1076,111,13,1291,176,507,57,0,741,253,193,31,0,480,739,10230,937,127,12037
501021254,3,147,20,0,168,12,308,26,0,347,12,144,18,0,171,11,132,13,0,154,14,278,33,4,321,20,278,30,0,324,24,274,31,0,330,17,251,18,0,289,23,173,19,3,218,19,79,16,0,109,5,18,3,0,23,164,2068,218,11,2460,0,157,10,0,167,5,289,29,0,325,5,147,16,0,168,3,138,15,0,154,14,302,29,3,345,14,315,39,3,377,18,272,31,0,322,37,289,25,3,358,30,199,17,0,246,23,82,9,0,115,12,10,0,0,19,165,2207,216,16,2604,6,302,29,0,332,22,598,53,0,675,18,294,26,0,335,15,268,27,0,304,21,581,60,6,672,35,597,66,3,701,42,545,59,3,656,55,544,49,3,644,57,371,39,3,471,43,156,27,0,226,17,28,3,0,47,325,4277,441,26,5063
501031017,3,142,13,0,158,16,359,30,0,407,10,155,9,0,169,3,65,4,3,81,8,176,16,0,206,8,285,21,7,316,13,387,44,4,448,30,442,35,3,516,35,414,42,0,493,23,171,20,0,219,16,24,3,0,45,166,2627,243,19,3052,0,135,13,0,150,10,392,34,0,434,3,138,13,3,155,4,81,7,6,92,5,202,14,5,227,5,349,16,5,379,18,407,57,4,483,31,472,34,0,539,29,411,38,0,476,31,136,19,0,187,36,39,10,0,77,165,2756,251,21,3194,3,276,22,0,307,23,752,60,3,836,9,287,19,3,325,4,150,12,8,171,19,379,35,3,432,14,634,41,10,692,33,790,102,8,930,63,919,70,4,1053,65,826,78,0,967,51,310,40,0,406,49,63,15,0,122,334,5386,492,36,6245
501031018,0,146,15,0,162,9,321,30,0,363,7,147,10,3,167,3,82,11,3,102,3,222,20,17,259,6,276,28,0,308,10,335,36,0,376,15,406,29,0,451,28,333,42,3,400,17,113,15,0,145,12,27,4,0,46,117,2405,236,28,2784,0,133,11,0,149,9,331,30,0,370,0,131,10,0,142,3,78,13,11,102,6,235,24,21,287,5,302,30,0,333,15,379,30,0,417,10,454,51,3,520,11,309,34,0,356,36,107,22,0,168,28,25,5,0,66,123,2484,257,35,2900,3,280,22,0,311,20,653,56,0,733,9,279,18,4,314,7,163,26,10,204,10,454,46,36,550,13,573,62,0,644,29,708,64,0,795,23,858,81,3,967,37,640,73,6,753,56,220,35,0,314,43,53,12,0,107,242,4886,498,65,5688
501031019,6,152,13,0,171,11,353,22,0,388,0,192,14,3,213,7,139,9,3,158,8,275,24,10,313,6,257,20,0,284,13,322,28,0,371,20,328,31,0,383,14,220,12,0,254,27,112,11,0,148,20,17,8,0,41,121,2378,193,24,2711,3,152,13,0,172,4,341,23,0,370,0,157,9,0,170,5,134,14,7,153,6,264,18,7,300,10,278,22,0,316,9,378,22,3,416,13,328,21,0,365,18,196,20,0,235,39,118,29,0,187,38,20,30,0,86,149,2366,226,16,2764,5,307,26,0,339,12,694,47,0,758,0,349,19,3,376,10,275,19,7,314,13,533,39,24,611,16,532,47,0,599,25,702,57,3,790,39,650,57,0,746,26,422,35,0,487,67,225,40,0,335,59,40,35,0,126,272,4744,427,39,5481
501031020,0,92,13,0,105,9,289,39,0,337,4,110,14,14,147,0,77,9,14,99,0,151,24,23,193,6,220,34,11,276,13,354,43,8,419,15,411,53,10,489,22,384,42,0,452,8,131,22,0,171,5,30,3,0,38,92,2249,307,81,2728,0,73,14,0,86,4,289,29,3,324,3,88,9,0,104,3,55,7,12,76,9,158,33,16,218,3,233,21,6,264,11,363,40,12,426,19,390,51,11,471,21,309,37,4,370,24,97,24,0,140,15,23,6,0,40,113,2082,263,71,2526,3,165,28,0,198,15,576,68,3,661,5,199,21,15,242,3,137,15,23,176,9,305,59,41,409,17,452,59,16,539,20,719,87,21,847,39,797,104,22,968,43,693,85,4,824,31,229,45,0,311,24,52,10,0,83,208,4331,575,145,5259
