SA2_MAINCODE_2016,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6_Fam_hh,Nu_pn_pre_Ce_Ngt_6_No_fam_hh,Num_pns_pres_Cen_Ngt_6_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
506071147,191,2231,2420,1924,519,2440,845,176,1018,813,88,899,296,23,317,91,3,94,4158,3036,7200
507011148,129,593,721,1296,152,1445,1027,66,1094,1427,57,1477,551,22,575,243,10,254,4666,902,5563
507011150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507011151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507011152,77,588,666,941,138,1079,517,29,546,599,26,633,222,11,230,80,0,76,2437,793,3227
507011153,75,953,1021,870,212,1078,508,53,557,412,37,450,141,11,154,83,3,91,2086,1263,3348
507011154,100,1422,1524,1194,316,1507,583,90,671,423,47,472,170,20,189,93,13,104,2557,1913,4471
507011155,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14
507011158,45,225,268,318,77,401,114,11,123,128,10,139,43,0,45,20,0,20,663,327,995
507011159,102,1148,1245,1276,237,1511,693,70,763,636,41,673,210,20,230,130,8,133,3048,1515,4561
507011160,92,1071,1157,1216,209,1425,590,59,648,473,30,510,212,10,224,96,7,101,2677,1381,4065
507011161,123,781,905,1289,230,1518,930,82,1009,1061,46,1104,379,29,405,190,11,201,3963,1176,5145
507011163,72,512,582,739,110,845,454,53,506,477,33,504,169,16,184,92,3,98,1999,719,2713
