SA2_MAINCODE_2016,P_Sol_sp_En_T_2006_2010,P_Sol_sp_En_T_2011,P_Sol_sp_En_T_2012,P_Sol_sp_En_T_2013,P_Sol_sp_En_T_2014,P_Sol_sp_En_T_2015,P_Sol_sp_En_T_2016,P_Sol_sp_En_T_Yr_arr_ns,P_Sol_sp_En_T_T,P_LanProf_En_ns_Bef_2000,P_LanProf_En_ns_2000_2005,P_LanProf_En_ns_2006_2010,P_LanProf_En_ns_2011,P_LanProf_En_ns_2012,P_LanProf_En_ns_2013,P_LanProf_En_ns_2014,P_LanProf_En_ns_2015,P_LanProf_En_ns_2016,P_LanProf_En_ns_Yr_arr_ns,P_LanProf_En_ns_T,P_T_B_2000,P_T_2000_2005,P_T_2006_2010,P_T_2011,P_T_2012,P_T_2013,P_T_2014,P_T_2015,P_T_2016,P_T_Yr_arrival_ns,P_T_T
507031173,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5
507031174,324,101,97,79,83,57,29,21,1174,9,0,0,0,0,0,0,0,0,0,8,1719,229,538,153,142,110,113,71,40,89,3193
507031261,269,65,46,46,29,21,19,23,740,0,0,0,0,0,0,0,0,0,156,155,653,170,431,119,102,83,61,43,27,196,1872
507041175,294,82,85,108,103,110,50,47,1900,5,0,0,0,0,0,0,0,0,3,14,2227,476,538,129,164,163,162,136,55,91,4139
507041176,156,33,50,25,58,36,21,27,857,0,0,0,0,0,0,0,0,0,0,0,750,184,229,58,85,43,70,46,23,35,1519
507041177,192,39,75,49,32,47,13,24,889,3,0,0,0,0,0,0,0,0,6,9,1898,336,481,107,153,116,68,77,34,92,3364
507041178,452,117,142,138,97,118,56,37,2477,3,0,0,0,0,0,0,0,0,4,14,2812,592,770,194,241,198,149,158,80,88,5285
507041179,343,72,111,81,103,84,80,49,1878,0,0,0,0,0,0,0,0,0,4,4,1641,429,492,107,152,134,130,99,91,103,3372
507041180,293,73,62,80,54,61,37,38,1656,0,0,0,0,0,0,0,0,0,0,3,2132,484,627,121,136,121,83,88,50,65,3907
507041181,212,33,69,52,72,37,27,26,1244,14,0,0,3,0,0,0,0,0,23,43,2445,376,534,127,144,105,117,59,49,106,4054
507041182,371,77,123,184,201,240,148,58,2851,0,0,0,0,0,0,0,0,0,45,49,2476,464,588,124,181,219,226,294,185,162,4910
507041183,131,30,28,20,18,19,12,12,498,0,0,0,0,0,0,0,0,0,0,0,633,125,205,58,43,36,46,36,8,41,1232
507041184,183,32,56,52,37,28,13,26,1644,3,0,0,0,0,0,0,0,0,0,3,1686,393,287,57,69,66,39,44,15,40,2696
507051185,933,199,215,151,131,80,52,39,2452,4,0,4,0,0,0,0,0,0,3,10,3326,1100,2840,679,894,546,388,251,123,213,10366
507051186,146,29,40,37,34,21,12,15,532,8,0,0,0,0,0,0,0,0,3,15,1526,188,337,58,92,84,65,31,18,82,2480
