SA2_MAINCODE_2016,P_55_64_Ud_wk_L_5_hrs,P_55_64_Ud_wk_5_14_hrs,P_55_64_Ud_wk_15_29_hrs,P_55_64_Ud_wk_30h_more,P_55_64_no_Ud_wk,P_55_64_Ud_wk_ns,P_55_64_OS_v,P_55_64_yr_Tot,P_65_74_Ud_wk_L_5_hrs,P_65_74_Ud_wk_5_14_hrs,P_65_74_Ud_wk_15_29_hrs,P_65_74_Ud_wk_30h_more,P_65_74_no_Ud_wk,P_65_74_Ud_wk_ns,P_65_74_OS_v,P_65_74_yr_Tot,P_75_84_Ud_wk_L_5_hrs,P_75_84_Ud_wk_5_14_hrs,P_75_84_Ud_wk_15_29_hrs,P_75_84_Ud_wk_30h_more,P_75_84_no_Ud_wk,P_75_84_Ud_wk_ns,P_75_84_OS_v,P_75_84_yr_Tot,P_85ov_Ud_wk_L_5_h,P_85ov_Ud_wk_5_14_h,P_85ov_Ud_wk_15_29_h,P_85ov_Ud_wk_30h_more,P_85ov_no_Ud_wk,P_85ov_Ud_wk_ns,P_85ov_OS_v,P_85_yr_over_Tot,P_Tot_Ud_wk_L_5_hrs,P_Tot_Ud_wk_5_14_hrs,P_Tot_Ud_wk_15_29_hrs,P_Tot_Ud_wk_30h_more,P_Tot_no_Ud_wk,P_Tot_Ud_wk_ns,P_Total_OS_v,P_Total_Total
506041134,323,581,292,188,487,179,42,2091,154,350,226,209,465,182,25,1607,107,178,145,118,362,190,4,1090,41,46,34,20,190,88,0,430,3065,3683,1665,1524,4239,1605,127,15908
506041135,295,489,249,194,333,69,101,1737,101,241,161,125,248,65,40,990,29,45,37,31,130,36,4,316,7,12,3,3,53,9,0,89,3342,3764,1620,1449,3184,622,218,14190
506041136,236,380,203,166,338,131,41,1492,116,221,157,155,297,121,18,1091,66,126,66,62,179,132,3,645,24,27,16,15,102,96,0,278,2085,2506,1129,1064,3007,1019,111,10916
506041137,509,829,450,283,615,134,90,2916,212,480,320,318,509,142,40,2022,106,204,129,119,272,118,4,939,28,49,15,15,112,44,0,267,4030,4755,2094,1848,4552,1019,245,18545
506051138,355,614,301,205,368,133,57,2024,180,330,221,187,307,140,25,1386,69,131,87,87,199,96,10,679,13,24,16,6,83,65,0,214,3258,3919,1721,1479,3116,985,153,14630
506051139,213,392,175,129,276,107,9,1302,98,218,164,134,246,89,3,951,52,103,63,58,141,83,3,493,15,23,11,6,47,27,0,123,2141,2617,1071,949,1955,780,50,9561
506051140,317,708,365,240,244,106,7,2001,223,468,402,344,317,85,5,1850,90,220,192,192,238,105,13,1047,38,52,44,32,104,52,0,314,2584,3422,1764,1509,2018,677,66,12032
506051141,229,483,269,177,180,97,5,1443,124,327,238,255,211,96,9,1260,47,142,104,93,167,82,0,643,14,42,16,21,98,46,4,243,1922,2521,1300,1086,1545,579,67,9024
506061142,201,377,175,135,212,65,37,1207,80,175,105,105,167,38,15,679,15,64,35,37,105,23,3,276,4,9,8,4,63,12,0,97,2702,3260,1268,1324,2222,642,98,11513
506061143,117,270,122,106,137,45,3,803,47,93,88,101,113,40,7,485,16,39,26,24,48,25,0,172,10,5,5,5,19,10,0,49,1072,1378,651,609,936,315,27,4981
506061144,69,167,93,75,83,94,3,587,41,81,71,87,104,59,3,442,15,36,21,33,58,43,3,207,0,10,5,5,16,8,0,44,580,838,418,457,570,667,31,3564
506071145,299,581,227,118,268,131,32,1660,166,314,178,115,266,87,22,1142,68,134,90,75,197,89,5,652,42,64,30,22,140,95,0,395,3339,3567,1189,785,2219,984,166,12245
506071146,265,422,218,166,203,61,23,1363,138,262,193,121,169,74,19,972,56,115,77,63,139,86,9,556,31,35,14,15,161,147,0,402,2362,2411,1040,793,2121,694,260,9675
506071147,438,739,350,171,274,160,47,2170,239,422,250,140,328,117,39,1537,84,132,73,63,175,70,7,599,40,45,33,19,147,43,4,325,3796,3792,1526,1034,2625,1147,294,14221
507011148,191,398,194,135,208,63,67,1250,73,184,126,85,170,36,52,718,34,55,40,22,103,23,4,273,11,11,4,10,63,6,0,105,3181,3647,1556,1248,2397,518,221,12771
507011150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507011151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507011152,217,325,170,112,223,54,3,1103,96,201,137,117,180,67,5,798,56,80,51,58,132,63,3,440,10,26,8,11,27,21,0,101,1678,1830,879,693,1545,403,37,7052
507011153,151,293,110,92,192,59,8,905,84,156,111,97,199,82,3,726,49,62,66,43,130,66,3,419,6,23,9,6,56,9,0,110,1488,1808,776,578,1401,519,43,6616
507011154,197,344,142,108,259,111,8,1171,107,212,141,117,267,123,10,972,49,114,76,72,198,122,0,636,18,35,19,14,120,94,0,300,1869,2203,903,706,1923,960,70,8649
507011155,0,0,0,0,3,0,0,5,0,3,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,6,0,16
507011158,83,109,51,15,56,32,5,344,30,60,36,20,42,15,3,203,9,16,5,4,8,12,0,58,0,3,0,0,3,10,0,11,540,571,210,127,320,203,20,1992
507011159,281,413,201,122,280,72,28,1396,102,190,122,87,205,55,20,779,43,93,43,46,154,70,0,453,23,28,15,12,74,41,0,192,2269,2497,1058,760,2135,622,101,9440
507011160,215,316,180,147,259,90,10,1222,123,251,148,167,272,88,11,1047,70,129,86,60,202,137,3,685,15,39,10,9,125,120,0,320,1726,2080,864,796,2073,809,61,8409
507011161,190,306,138,79,209,64,72,1057,52,112,56,61,126,36,41,480,29,29,29,35,63,47,3,239,13,13,8,6,53,31,0,130,2715,3083,1184,1002,2184,708,204,11084
507011163,152,258,116,68,179,55,3,830,38,86,63,44,121,37,9,403,25,39,15,21,55,24,3,191,7,7,4,8,14,11,0,49,1392,1560,651,515,1241,446,32,5830
507011259,142,222,86,66,143,50,12,727,41,106,79,55,98,29,9,424,23,34,17,20,56,19,0,164,8,4,3,3,19,7,0,46,1458,1759,704,578,1275,409,68,6250
507011260,66,118,77,52,67,19,9,405,35,79,56,45,52,20,3,284,10,17,9,16,20,6,0,75,3,5,0,0,9,3,0,18,507,562,273,214,434,117,97,2203
507021164,234,427,149,82,84,45,8,1017,100,196,125,83,88,42,9,647,42,82,63,47,88,55,0,380,10,17,11,20,38,72,0,168,1577,1713,765,557,827,443,65,5945
507021165,429,679,280,119,359,272,35,2166,209,442,230,129,296,220,22,1545,98,146,105,72,214,198,4,835,31,47,30,16,177,103,0,403,3273,3740,1357,793,2289,1958,396,13797
507021166,381,611,275,155,299,132,10,1861,189,374,224,161,268,117,8,1338,98,183,132,89,248,120,5,881,55,43,22,17,124,87,0,348,2912,3313,1474,1005,2101,979,113,11895
507021167,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10
507031169,135,236,125,91,150,39,81,854,32,103,53,53,108,28,38,419,12,19,19,25,44,12,10,134,3,6,0,3,6,6,0,23,2334,2846,1061,1038,2084,571,190,10127
507031170,107,201,87,65,191,77,12,737,52,125,73,68,153,76,3,548,33,64,48,39,172,70,3,433,11,10,4,10,86,36,0,167,1146,1453,595,574,1448,676,36,5933
507031172,0,8,0,0,0,0,0,11,5,0,0,3,0,0,0,12,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,21,17,5,3,11,10,0,64
507031173,4,3,0,0,0,3,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,12,0,27
507031174,159,284,128,141,329,128,21,1179,83,173,135,107,261,131,6,890,46,64,35,43,157,98,3,456,15,7,3,9,48,29,0,110,1640,1947,936,880,2092,988,52,8526
507031261,74,161,98,73,79,52,15,555,32,60,41,46,62,43,3,294,7,18,8,16,20,9,0,82,3,3,0,3,7,3,0,20,983,1160,488,417,750,1195,47,5041
